context: We're Gonna Be *** response:	I know I know, let's play hide and seek!
context: We're Gonna Be ***\I know I know, let's play hide and seek! response:	Today's class is a joint recess with the first graders.
context: We're Gonna Be ***\I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders. response:	Time to go even faster!
context: We're Gonna Be ***\I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders.\Time to go even faster! response:	Wheee!
context: We're Gonna Be ***\I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders.\Time to go even faster!\Wheee! response:	Don't let him get hurt!
context: We're Gonna Be ***\I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders.\Time to go even faster!\Wheee!\Don't let him get hurt! response:	Hey!
context: We're Gonna Be ***\I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders.\Time to go even faster!\Wheee!\Don't let him get hurt!\Hey! response:	None of the kids are playing with me because you're here!
context: We're Gonna Be ***\I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders.\Time to go even faster!\Wheee!\Don't let him get hurt!\Hey!\None of the kids are playing with me because you're here! response:	Then go away.
context: I know I know, let's play hide and seek!\Today's class is a joint recess with the first graders.\Time to go even faster!\Wheee!\Don't let him get hurt!\Hey!\None of the kids are playing with me because you're here!\Then go away. response:	How pathetic, blaming your unpopularity on someone else.
context: Today's class is a joint recess with the first graders.\Time to go even faster!\Wheee!\Don't let him get hurt!\Hey!\None of the kids are playing with me because you're here!\Then go away.\How pathetic, blaming your unpopularity on someone else. response:	Kids are pure of heart.
context: Time to go even faster!\Wheee!\Don't let him get hurt!\Hey!\None of the kids are playing with me because you're here!\Then go away.\How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart. response:	They can tell the difference between good people and evil people.
context: Wheee!\Don't let him get hurt!\Hey!\None of the kids are playing with me because you're here!\Then go away.\How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart.\They can tell the difference between good people and evil people. response:	Look at this.
context: Don't let him get hurt!\Hey!\None of the kids are playing with me because you're here!\Then go away.\How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart.\They can tell the difference between good people and evil people.\Look at this. response:	Neat!
context: Hey!\None of the kids are playing with me because you're here!\Then go away.\How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart.\They can tell the difference between good people and evil people.\Look at this.\Neat! response:	Hey-don't mess it up!
context: None of the kids are playing with me because you're here!\Then go away.\How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart.\They can tell the difference between good people and evil people.\Look at this.\Neat!\Hey-don't mess it up! response:	Kids love weird things.
context: Then go away.\How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart.\They can tell the difference between good people and evil people.\Look at this.\Neat!\Hey-don't mess it up!\Kids love weird things. response:	Sh-Shut up!
context: How pathetic, blaming your unpopularity on someone else.\Kids are pure of heart.\They can tell the difference between good people and evil people.\Look at this.\Neat!\Hey-don't mess it up!\Kids love weird things.\Sh-Shut up! response:	Come on.
context: Kids are pure of heart.\They can tell the difference between good people and evil people.\Look at this.\Neat!\Hey-don't mess it up!\Kids love weird things.\Sh-Shut up!\Come on. response:	Whatever, little kids are pests.
context: They can tell the difference between good people and evil people.\Look at this.\Neat!\Hey-don't mess it up!\Kids love weird things.\Sh-Shut up!\Come on.\Whatever, little kids are pests. response:	Whoa, whoa, let's not destroy the environment.
context: Look at this.\Neat!\Hey-don't mess it up!\Kids love weird things.\Sh-Shut up!\Come on.\Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment. response:	Although if you're trying to relieve stress, it's okay.
context: Neat!\Hey-don't mess it up!\Kids love weird things.\Sh-Shut up!\Come on.\Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay. response:	It's never okay...
context: Hey-don't mess it up!\Kids love weird things.\Sh-Shut up!\Come on.\Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay.\It's never okay... response:	My RC copter's stuck.
context: Kids love weird things.\Sh-Shut up!\Come on.\Whatever, little kids are pests.\Whoa, whoa, let's not destroy the environment.\Although if you're trying to relieve stress, it's okay.\It's never okay...\My RC copter's stuck. response:	RC?
