context: Episode 2 Umaru and Ebina-chan response:	Today was another rough day...
context: Episode 2 Umaru and Ebina-chan\Today was another rough day... response:	But it's about to get rougher.
context: Episode 2 Umaru and Ebina-chan\Today was another rough day...\But it's about to get rougher. response:	Shonen Jumpu
context: Episode 2 Umaru and Ebina-chan\Today was another rough day...\But it's about to get rougher.\Shonen Jumpu response:	I'm home...
context: Episode 2 Umaru and Ebina-chan\Today was another rough day...\But it's about to get rougher.\Shonen Jumpu\I'm home... response:	Hm?
context: Episode 2 Umaru and Ebina-chan\Today was another rough day...\But it's about to get rougher.\Shonen Jumpu\I'm home...\Hm? response:	That's not true.
context: Episode 2 Umaru and Ebina-chan\Today was another rough day...\But it's about to get rougher.\Shonen Jumpu\I'm home...\Hm?\That's not true. response:	No, really. Everyone says you're amazing, Umaru-chan.
context: Episode 2 Umaru and Ebina-chan\Today was another rough day...\But it's about to get rougher.\Shonen Jumpu\I'm home...\Hm?\That's not true.\No, really. Everyone says you're amazing, Umaru-chan. response:	Onii-chan!
context: Today was another rough day...\But it's about to get rougher.\Shonen Jumpu\I'm home...\Hm?\That's not true.\No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan! response:	Huh?! What happened to you?
context: But it's about to get rougher.\Shonen Jumpu\I'm home...\Hm?\That's not true.\No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan!\Huh?! What happened to you? response:	Oh, stop. This is how I always am.
context: Shonen Jumpu\I'm home...\Hm?\That's not true.\No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan!\Huh?! What happened to you?\Oh, stop. This is how I always am. response:	No, usually you're...
context: I'm home...\Hm?\That's not true.\No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan!\Huh?! What happened to you?\Oh, stop. This is how I always am.\No, usually you're... response:	Ebina-chan's over, so you know the drill.
context: Hm?\That's not true.\No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan!\Huh?! What happened to you?\Oh, stop. This is how I always am.\No, usually you're...\Ebina-chan's over, so you know the drill. response:	Oh, now I get it...
context: That's not true.\No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan!\Huh?! What happened to you?\Oh, stop. This is how I always am.\No, usually you're...\Ebina-chan's over, so you know the drill.\Oh, now I get it... response:	Sorry about that, Ebina-chan!
context: No, really. Everyone says you're amazing, Umaru-chan.\Onii-chan!\Huh?! What happened to you?\Oh, stop. This is how I always am.\No, usually you're...\Ebina-chan's over, so you know the drill.\Oh, now I get it...\Sorry about that, Ebina-chan! response:	But it's pretty rare for Umaru to bring someone over to the house.
context: Onii-chan!\Huh?! What happened to you?\Oh, stop. This is how I always am.\No, usually you're...\Ebina-chan's over, so you know the drill.\Oh, now I get it...\Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house. response:	G-Good evening... Pardon the intrusion.
context: Huh?! What happened to you?\Oh, stop. This is how I always am.\No, usually you're...\Ebina-chan's over, so you know the drill.\Oh, now I get it...\Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion. response:	Whose room is this? It's so clean!
context: Oh, stop. This is how I always am.\No, usually you're...\Ebina-chan's over, so you know the drill.\Oh, now I get it...\Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean! response:	Ebina-chan and I were having a study session.
context: No, usually you're...\Ebina-chan's over, so you know the drill.\Oh, now I get it...\Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean!\Ebina-chan and I were having a study session. response:	Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.
context: Ebina-chan's over, so you know the drill.\Oh, now I get it...\Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean!\Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate. response:	Thanks for being so nice to Umaru.
context: Oh, now I get it...\Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean!\Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru. response:	All of the online order boxes are put away...
context: Sorry about that, Ebina-chan!\But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean!\Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru.\All of the online order boxes are put away... response:	Umaru... Did you put them away?
context: But it's pretty rare for Umaru to bring someone over to the house.\G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean!\Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru.\All of the online order boxes are put away...\Umaru... Did you put them away? response:	Umaru, who hates doing anything?!
context: G-Good evening... Pardon the intrusion.\Whose room is this? It's so clean!\Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru.\All of the online order boxes are put away...\Umaru... Did you put them away?\Umaru, who hates doing anything?! response:	Ebina-chan!
context: Whose room is this? It's so clean!\Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru.\All of the online order boxes are put away...\Umaru... Did you put them away?\Umaru, who hates doing anything?!\Ebina-chan! response:	Y-Yes?
context: Ebina-chan and I were having a study session.\Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru.\All of the online order boxes are put away...\Umaru... Did you put them away?\Umaru, who hates doing anything?!\Ebina-chan!\Y-Yes? response:	Ebina-chan... You can come over anytime.
context: Ebina Nana-chan, who also lives in our apartment building, is Umaru's classmate.\Thanks for being so nice to Umaru.\All of the online order boxes are put away...\Umaru... Did you put them away?\Umaru, who hates doing anything?!\Ebina-chan!\Y-Yes?\Ebina-chan... You can come over anytime. response:	O-O-O-Okay...
context: Thanks for being so nice to Umaru.\All of the online order boxes are put away...\Umaru... Did you put them away?\Umaru, who hates doing anything?!\Ebina-chan!\Y-Yes?\Ebina-chan... You can come over anytime.\O-O-O-Okay... response:	Maybe Umaru can be self-reliant with her around!
context: All of the online order boxes are put away...\Umaru... Did you put them away?\Umaru, who hates doing anything?!\Ebina-chan!\Y-Yes?\Ebina-chan... You can come over anytime.\O-O-O-Okay...\Maybe Umaru can be self-reliant with her around! response:	O-Onii-san...
context: Umaru... Did you put them away?\Umaru, who hates doing anything?!\Ebina-chan!\Y-Yes?\Ebina-chan... You can come over anytime.\O-O-O-Okay...\Maybe Umaru can be self-reliant with her around!\O-Onii-san... response:	I want my cola...
context: Umaru, who hates doing anything?!\Ebina-chan!\Y-Yes?\Ebina-chan... You can come over anytime.\O-O-O-Okay...\Maybe Umaru can be self-reliant with her around!\O-Onii-san...\I want my cola... response:	Th-Thank you for dinner.
context: Ebina-chan!\Y-Yes?\Ebina-chan... You can come over anytime.\O-O-O-Okay...\Maybe Umaru can be self-reliant with her around!\O-Onii-san...\I want my cola...\Th-Thank you for dinner. response:	You were so kind to let me eat with you.
context: Y-Yes?\Ebina-chan... You can come over anytime.\O-O-O-Okay...\Maybe Umaru can be self-reliant with her around!\O-Onii-san...\I want my cola...\Th-Thank you for dinner.\You were so kind to let me eat with you. response:	You can come over anytime.
context: Ebina-chan... You can come over anytime.\O-O-O-Okay...\Maybe Umaru can be self-reliant with her around!\O-Onii-san...\I want my cola...\Th-Thank you for dinner.\You were so kind to let me eat with you.\You can come over anytime. response:	See you later, Ebina-chan.
context: O-O-O-Okay...\Maybe Umaru can be self-reliant with her around!\O-Onii-san...\I want my cola...\Th-Thank you for dinner.\You were so kind to let me eat with you.\You can come over anytime.\See you later, Ebina-chan. response:	Nothing's better than cola after holding back for so long!
context: Maybe Umaru can be self-reliant with her around!\O-Onii-san...\I want my cola...\Th-Thank you for dinner.\You were so kind to let me eat with you.\You can come over anytime.\See you later, Ebina-chan.\Nothing's better than cola after holding back for so long! response:	The taste of the devil!
context: O-Onii-san...\I want my cola...\Th-Thank you for dinner.\You were so kind to let me eat with you.\You can come over anytime.\See you later, Ebina-chan.\Nothing's better than cola after holding back for so long!\The taste of the devil! response:	I-Is he going to yell at me?
context: I want my cola...\Th-Thank you for dinner.\You were so kind to let me eat with you.\You can come over anytime.\See you later, Ebina-chan.\Nothing's better than cola after holding back for so long!\The taste of the devil!\I-Is he going to yell at me? response:	Drink from a cup.
context: Th-Thank you for dinner.\You were so kind to let me eat with you.\You can come over anytime.\See you later, Ebina-chan.\Nothing's better than cola after holding back for so long!\The taste of the devil!\I-Is he going to yell at me?\Drink from a cup. response:	Also, I bought some Takoyaki Snack today.
context: You were so kind to let me eat with you.\You can come over anytime.\See you later, Ebina-chan.\Nothing's better than cola after holding back for so long!\The taste of the devil!\I-Is he going to yell at me?\Drink from a cup.\Also, I bought some Takoyaki Snack today. response:	What?! Tako-Suna?! Awesome!
context: You can come over anytime.\See you later, Ebina-chan.\Nothing's better than cola after holding back for so long!\The taste of the devil!\I-Is he going to yell at me?\Drink from a cup.\Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome! response:	Since she cleaned the place today, I won't say anything.
context: See you later, Ebina-chan.\Nothing's better than cola after holding back for so long!\The taste of the devil!\I-Is he going to yell at me?\Drink from a cup.\Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything. response:	This might actually motivate her to do things on her own.
context: Nothing's better than cola after holding back for so long!\The taste of the devil!\I-Is he going to yell at me?\Drink from a cup.\Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own. response:	Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...
context: The taste of the devil!\I-Is he going to yell at me?\Drink from a cup.\Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that... response:	Hey, Onii-chan, these are wasabi-flavored!
context: I-Is he going to yell at me?\Drink from a cup.\Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored! response:	I can't eat wasabi!
context: Drink from a cup.\Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi! response:	Damn it, Umaru!
context: Also, I bought some Takoyaki Snack today.\What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi!\Damn it, Umaru! response:	What?! I'm the one who's mad here!
context: What?! Tako-Suna?! Awesome!\Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi!\Damn it, Umaru!\What?! I'm the one who's mad here! response:	Onii-san...
context: Since she cleaned the place today, I won't say anything.\This might actually motivate her to do things on her own.\Umaru, I'll get the bath ready, so you can have the Tako-Suna after that...\Hey, Onii-chan, these are wasabi-flavored!\I can't eat wasabi!\Damn it, Umaru!\What?! I'm the one who's mad here!\Onii-san... response:	I knew it. Umaru-chan's brother is so nice!
