context: Let's go! response:	Doryo Bridge
context: Let's go!\Doryo Bridge response:	Feels so good!
context: Let's go!\Doryo Bridge\Feels so good! response:	Next!
context: Let's go!\Doryo Bridge\Feels so good!\Next! response:	Kousei! Go!
context: Let's go!\Doryo Bridge\Feels so good!\Next!\Kousei! Go! response:	I don't think so...
context: Let's go!\Doryo Bridge\Feels so good!\Next!\Kousei! Go!\I don't think so... response:	You'll go if you're a man!
context: Let's go!\Doryo Bridge\Feels so good!\Next!\Kousei! Go!\I don't think so...\You'll go if you're a man! response:	It's gonna change your whole world!
context: Let's go!\Doryo Bridge\Feels so good!\Next!\Kousei! Go!\I don't think so...\You'll go if you're a man!\It's gonna change your whole world! response:	But I have a lesson... My mom's gonna yell at me...
context: Doryo Bridge\Feels so good!\Next!\Kousei! Go!\I don't think so...\You'll go if you're a man!\It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me... response:	*Irritated*
context: Feels so good!\Next!\Kousei! Go!\I don't think so...\You'll go if you're a man!\It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me...\*Irritated* response:	Shoulder wheel backdrop!
context: Next!\Kousei! Go!\I don't think so...\You'll go if you're a man!\It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me...\*Irritated*\Shoulder wheel backdrop! response:	Tsubaki?
context: Kousei! Go!\I don't think so...\You'll go if you're a man!\It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me...\*Irritated*\Shoulder wheel backdrop!\Tsubaki? response:	Kousei?
context: I don't think so...\You'll go if you're a man!\It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me...\*Irritated*\Shoulder wheel backdrop!\Tsubaki?\Kousei? response:	Hey, he can't swim!
context: You'll go if you're a man!\It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me...\*Irritated*\Shoulder wheel backdrop!\Tsubaki?\Kousei?\Hey, he can't swim! response:	Kousei!
context: It's gonna change your whole world!\But I have a lesson... My mom's gonna yell at me...\*Irritated*\Shoulder wheel backdrop!\Tsubaki?\Kousei?\Hey, he can't swim!\Kousei! response:	He came to!
context: But I have a lesson... My mom's gonna yell at me...\*Irritated*\Shoulder wheel backdrop!\Tsubaki?\Kousei?\Hey, he can't swim!\Kousei!\He came to! response:	Kousei!
context: *Irritated*\Shoulder wheel backdrop!\Tsubaki?\Kousei?\Hey, he can't swim!\Kousei!\He came to!\Kousei! response:	Again! Again!
context: Shoulder wheel backdrop!\Tsubaki?\Kousei?\Hey, he can't swim!\Kousei!\He came to!\Kousei!\Again! Again! response:	Aha! He's addicted now!
context: Tsubaki?\Kousei?\Hey, he can't swim!\Kousei!\He came to!\Kousei!\Again! Again!\Aha! He's addicted now! response:	Kao-chan, we came to pay you a visit...
context: Kousei?\Hey, he can't swim!\Kousei!\He came to!\Kousei!\Again! Again!\Aha! He's addicted now!\Kao-chan, we came to pay you a visit... response:	Kou Tsubaki Watari
context: Hey, he can't swim!\Kousei!\He came to!\Kousei!\Again! Again!\Aha! He's addicted now!\Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari response:	The nape of her neck!
context: Kousei!\He came to!\Kousei!\Again! Again!\Aha! He's addicted now!\Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari\The nape of her neck! response:	Ever heard of knocking?
context: He came to!\Kousei!\Again! Again!\Aha! He's addicted now!\Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari\The nape of her neck!\Ever heard of knocking? response:	Her skin's so fair!
context: Kousei!\Again! Again!\Aha! He's addicted now!\Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari\The nape of her neck!\Ever heard of knocking?\Her skin's so fair! response:	Delete that memory!
context: Again! Again!\Aha! He's addicted now!\Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari\The nape of her neck!\Ever heard of knocking?\Her skin's so fair!\Delete that memory! response:	Oh, wow, what a shock.
context: Aha! He's addicted now!\Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari\The nape of her neck!\Ever heard of knocking?\Her skin's so fair!\Delete that memory!\Oh, wow, what a shock. response:	Now I can never be anyone's bride!
context: Kao-chan, we came to pay you a visit...\Kou Tsubaki Watari\The nape of her neck!\Ever heard of knocking?\Her skin's so fair!\Delete that memory!\Oh, wow, what a shock.\Now I can never be anyone's bride! response:	Totsuhara University Hospital
context: Kou Tsubaki Watari\The nape of her neck!\Ever heard of knocking?\Her skin's so fair!\Delete that memory!\Oh, wow, what a shock.\Now I can never be anyone's bride!\Totsuhara University Hospital response:	You really threw us a curve, getting hospitalized like this.
context: The nape of her neck!\Ever heard of knocking?\Her skin's so fair!\Delete that memory!\Oh, wow, what a shock.\Now I can never be anyone's bride!\Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this. response:	Well, my dad's so over-the-top.
context: Ever heard of knocking?\Her skin's so fair!\Delete that memory!\Oh, wow, what a shock.\Now I can never be anyone's bride!\Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top. response:	I'm only here for routine testing, just to make sure.
context: Her skin's so fair!\Delete that memory!\Oh, wow, what a shock.\Now I can never be anyone's bride!\Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure. response:	Have you ever passed out like that before?
context: Delete that memory!\Oh, wow, what a shock.\Now I can never be anyone's bride!\Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure.\Have you ever passed out like that before? response:	It's the first time.
context: Oh, wow, what a shock.\Now I can never be anyone's bride!\Totsuhara University Hospital\You really threw us a curve, getting hospitalized like this.\Well, my dad's so over-the-top.\I'm only here for routine testing, just to make sure.\Have you ever passed out like that before?\It's the first time. response:	I've always been a little anemic,
