context: The treasure that was stored in your house response:	has definitely been transferred into my hands.
context: The treasure that was stored in your house\has definitely been transferred into my hands. response:	Fouquet the Sculptor.
context: The treasure that was stored in your house\has definitely been transferred into my hands.\Fouquet the Sculptor. response:	A history of the couple's romance that starts from the first kiss
context: The treasure that was stored in your house\has definitely been transferred into my hands.\Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: The treasure that was stored in your house\has definitely been transferred into my hands.\Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: The treasure that was stored in your house\has definitely been transferred into my hands.\Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: The treasure that was stored in your house\has definitely been transferred into my hands.\Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: The treasure that was stored in your house\has definitely been transferred into my hands.\Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: has definitely been transferred into my hands.\Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: Fouquet the Sculptor.\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Tristein's Princess
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess response:	Straighten your back more!
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess\Straighten your back more! response:	Like this?
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess\Straighten your back more!\Like this? response:	Your right arm and right leg are moving together!
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Tristein's Princess\Straighten your back more!\Like this?\Your right arm and right leg are moving together! response:	You know, I suck at this stuff when I have to think about it.
