context: The landscape around here has become a lot spikier. response:	Our depth is...
context: The landscape around here has become a lot spikier.\Our depth is... response:	Let's see...
context: The landscape around here has become a lot spikier.\Our depth is...\Let's see... response:	6,750 meters, I think.
context: The landscape around here has become a lot spikier.\Our depth is...\Let's see...\6,750 meters, I think. response:	Riko, I can see something down there!
context: The landscape around here has become a lot spikier.\Our depth is...\Let's see...\6,750 meters, I think.\Riko, I can see something down there! response:	It's the Goblet of Giants!
context: The landscape around here has become a lot spikier.\Our depth is...\Let's see...\6,750 meters, I think.\Riko, I can see something down there!\It's the Goblet of Giants! response:	It's fine - it's just hot water.
context: The landscape around here has become a lot spikier.\Our depth is...\Let's see...\6,750 meters, I think.\Riko, I can see something down there!\It's the Goblet of Giants!\It's fine - it's just hot water. response:	Still, it is terribly humid here.
context: The landscape around here has become a lot spikier.\Our depth is...\Let's see...\6,750 meters, I think.\Riko, I can see something down there!\It's the Goblet of Giants!\It's fine - it's just hot water.\Still, it is terribly humid here. response:	The goblets of giants...
context: Our depth is...\Let's see...\6,750 meters, I think.\Riko, I can see something down there!\It's the Goblet of Giants!\It's fine - it's just hot water.\Still, it is terribly humid here.\The goblets of giants... response:	the flat-creepers are responsible for that.
context: Let's see...\6,750 meters, I think.\Riko, I can see something down there!\It's the Goblet of Giants!\It's fine - it's just hot water.\Still, it is terribly humid here.\The goblets of giants...\the flat-creepers are responsible for that. response:	I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.
context: 6,750 meters, I think.\Riko, I can see something down there!\It's the Goblet of Giants!\It's fine - it's just hot water.\Still, it is terribly humid here.\The goblets of giants...\the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field. response:	Oh...
context: Riko, I can see something down there!\It's the Goblet of Giants!\It's fine - it's just hot water.\Still, it is terribly humid here.\The goblets of giants...\the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh... response:	You know, the part that supports the flat-creepers is actually a different plant.
context: It's the Goblet of Giants!\It's fine - it's just hot water.\Still, it is terribly humid here.\The goblets of giants...\the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh...\You know, the part that supports the flat-creepers is actually a different plant. response:	The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...
context: It's fine - it's just hot water.\Still, it is terribly humid here.\The goblets of giants...\the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh...\You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years... response:	But it's said that then the plants below all compete to grow,
context: Still, it is terribly humid here.\The goblets of giants...\the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh...\You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow, response:	giving rise to a completely new landscape.
