context: What was that all about? response:	What do you mean?
context: What was that all about?\What do you mean? response:	Oh, just so we're clear,
context: What was that all about?\What do you mean?\Oh, just so we're clear, response:	we're siblings, so this isn't weird.
context: What was that all about?\What do you mean?\Oh, just so we're clear,\we're siblings, so this isn't weird. response:	Brother rejected me...
context: What was that all about?\What do you mean?\Oh, just so we're clear,\we're siblings, so this isn't weird.\Brother rejected me... response:	I don't care about that!
context: What was that all about?\What do you mean?\Oh, just so we're clear,\we're siblings, so this isn't weird.\Brother rejected me...\I don't care about that! response:	If you knew she was cheating,
context: What was that all about?\What do you mean?\Oh, just so we're clear,\we're siblings, so this isn't weird.\Brother rejected me...\I don't care about that!\If you knew she was cheating, response:	why didn't you tell me what she was doing?
context: What was that all about?\What do you mean?\Oh, just so we're clear,\we're siblings, so this isn't weird.\Brother rejected me...\I don't care about that!\If you knew she was cheating,\why didn't you tell me what she was doing? response:	I could've won if you had!
context: What do you mean?\Oh, just so we're clear,\we're siblings, so this isn't weird.\Brother rejected me...\I don't care about that!\If you knew she was cheating,\why didn't you tell me what she was doing?\I could've won if you had! response:	Pledge eight: Being caught cheating during a game is grounds for an instant loss, right?
context: Oh, just so we're clear,\we're siblings, so this isn't weird.\Brother rejected me...\I don't care about that!\If you knew she was cheating,\why didn't you tell me what she was doing?\I could've won if you had!\Pledge eight: Being caught cheating during a game is grounds for an instant loss, right? response:	That's right.
context: we're siblings, so this isn't weird.\Brother rejected me...\I don't care about that!\If you knew she was cheating,\why didn't you tell me what she was doing?\I could've won if you had!\Pledge eight: Being caught cheating during a game is grounds for an instant loss, right?\That's right. response:	And thanks to you, I lost!
context: Brother rejected me...\I don't care about that!\If you knew she was cheating,\why didn't you tell me what she was doing?\I could've won if you had!\Pledge eight: Being caught cheating during a game is grounds for an instant loss, right?\That's right.\And thanks to you, I lost! response:	I lost my chance to become king, and everything is over!
context: I don't care about that!\If you knew she was cheating,\why didn't you tell me what she was doing?\I could've won if you had!\Pledge eight: Being caught cheating during a game is grounds for an instant loss, right?\That's right.\And thanks to you, I lost!\I lost my chance to become king, and everything is over! response:	In other words...
