context: If doing that means no one will cry, then... response:	You certainly took your time getting here, Emiya Shirou.
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou. response:	Yes, it finally occurred to me.
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me. response:	There can't be two of those pendants.
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me.\There can't be two of those pendants. response:	It was originally
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me.\There can't be two of those pendants.\It was originally response:	That's right.
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me.\There can't be two of those pendants.\It was originally\That's right. response:	After your life was saved, you carried it for the rest of your days.
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me.\There can't be two of those pendants.\It was originally\That's right.\After your life was saved, you carried it for the rest of your days. response:	A bequest of Tohsaka Rin's father, unique in all the world.
context: If doing that means no one will cry, then...\You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me.\There can't be two of those pendants.\It was originally\That's right.\After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world. response:	When summoning a Heroic Spirit, a catalyst is needed.
context: You certainly took your time getting here, Emiya Shirou.\Yes, it finally occurred to me.\There can't be two of those pendants.\It was originally\That's right.\After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed. response:	But Tohsaka Rin did not have one for the invocation.
context: Yes, it finally occurred to me.\There can't be two of those pendants.\It was originally\That's right.\After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation. response:	Because of that,
context: There can't be two of those pendants.\It was originally\That's right.\After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation.\Because of that, response:	she assumed she'd summoned a Servant at random.
context: It was originally\That's right.\After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation.\Because of that,\she assumed she'd summoned a Servant at random. response:	But no Heroic Spirit is summoned by chance.
context: That's right.\After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation.\Because of that,\she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance. response:	A link is always required between summoner and spirit.
context: After your life was saved, you carried it for the rest of your days.\A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation.\Because of that,\she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit. response:	If Rin had no catalyst, that means...
context: A bequest of Tohsaka Rin's father, unique in all the world.\When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation.\Because of that,\she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit.\If Rin had no catalyst, that means... response:	Yes.
context: When summoning a Heroic Spirit, a catalyst is needed.\But Tohsaka Rin did not have one for the invocation.\Because of that,\she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit.\If Rin had no catalyst, that means...\Yes. response:	The summoned Heroic Spirit, not the summoner, possessed the catalyst.
context: But Tohsaka Rin did not have one for the invocation.\Because of that,\she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit.\If Rin had no catalyst, that means...\Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst. response:	The concept of time does not exist where the Heroic Spirits are recorded.
context: Because of that,\she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit.\If Rin had no catalyst, that means...\Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded. response:	Heroic Spirits from the past are treated identically to those of the future.
context: she assumed she'd summoned a Servant at random.\But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit.\If Rin had no catalyst, that means...\Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future. response:	In short...
