context: The Third Plate response:	Ten
context: The Third Plate\Ten response:	Kusunoki Rentaro versus Kurokiba Ryo.
context: The Third Plate\Ten\Kusunoki Rentaro versus Kurokiba Ryo. response:	Let the Shokugeki begin!
context: The Third Plate\Ten\Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin! response:	Wow! He filleted the salmon so fast!
context: The Third Plate\Ten\Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin!\Wow! He filleted the salmon so fast! response:	He was so dynamic,
context: The Third Plate\Ten\Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin!\Wow! He filleted the salmon so fast!\He was so dynamic, response:	but the fish was filleted with precision.
context: The Third Plate\Ten\Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin!\Wow! He filleted the salmon so fast!\He was so dynamic,\but the fish was filleted with precision. response:	Kurokiba-kun's even more amazing than he was
context: The Third Plate\Ten\Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin!\Wow! He filleted the salmon so fast!\He was so dynamic,\but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was response:	when I faced him at the Autumn Elections!
context: Ten\Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin!\Wow! He filleted the salmon so fast!\He was so dynamic,\but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections! response:	Kusunoki-senpai isn't holding back, either!
context: Kusunoki Rentaro versus Kurokiba Ryo.\Let the Shokugeki begin!\Wow! He filleted the salmon so fast!\He was so dynamic,\but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either! response:	His knife work is Kurokiba's equal.
context: Let the Shokugeki begin!\Wow! He filleted the salmon so fast!\He was so dynamic,\but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal. response:	Central...
context: Wow! He filleted the salmon so fast!\He was so dynamic,\but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal.\Central... response:	All their members do seem to possess top-notch skills.
context: He was so dynamic,\but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal.\Central...\All their members do seem to possess top-notch skills. response:	Well, Kurokiba-kun? How do you find your senpai's skills?
context: but the fish was filleted with precision.\Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal.\Central...\All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills? response:	I hope you're don't regret having accepted this Shokugeki.
context: Kurokiba-kun's even more amazing than he was\when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal.\Central...\All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki. response:	That'd be very off-putting.
context: when I faced him at the Autumn Elections!\Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal.\Central...\All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting. response:	What's that?
context: Kusunoki-senpai isn't holding back, either!\His knife work is Kurokiba's equal.\Central...\All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting.\What's that? response:	It's rice!
context: His knife work is Kurokiba's equal.\Central...\All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting.\What's that?\It's rice! response:	And two kinds of rice at that!
context: Central...\All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting.\What's that?\It's rice!\And two kinds of rice at that! response:	Not to mentionis that bread dough in the bowl?
context: All their members do seem to possess top-notch skills.\Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting.\What's that?\It's rice!\And two kinds of rice at that!\Not to mentionis that bread dough in the bowl? response:	What's the boy planning to make?
context: Well, Kurokiba-kun? How do you find your senpai's skills?\I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting.\What's that?\It's rice!\And two kinds of rice at that!\Not to mentionis that bread dough in the bowl?\What's the boy planning to make? response:	This is the best salmon dish I can make right now!
context: I hope you're don't regret having accepted this Shokugeki.\That'd be very off-putting.\What's that?\It's rice!\And two kinds of rice at that!\Not to mentionis that bread dough in the bowl?\What's the boy planning to make?\This is the best salmon dish I can make right now! response:	You can't lose, Ryo-kun.
context: That'd be very off-putting.\What's that?\It's rice!\And two kinds of rice at that!\Not to mentionis that bread dough in the bowl?\What's the boy planning to make?\This is the best salmon dish I can make right now!\You can't lose, Ryo-kun. response:	What's the matter, Central?
context: What's that?\It's rice!\And two kinds of rice at that!\Not to mentionis that bread dough in the bowl?\What's the boy planning to make?\This is the best salmon dish I can make right now!\You can't lose, Ryo-kun.\What's the matter, Central? response:	All you've done is copy me
context: It's rice!\And two kinds of rice at that!\Not to mentionis that bread dough in the bowl?\What's the boy planning to make?\This is the best salmon dish I can make right now!\You can't lose, Ryo-kun.\What's the matter, Central?\All you've done is copy me response:	and act all high and mighty.
context: And two kinds of rice at that!\Not to mentionis that bread dough in the bowl?\What's the boy planning to make?\This is the best salmon dish I can make right now!\You can't lose, Ryo-kun.\What's the matter, Central?\All you've done is copy me\and act all high and mighty. response:	Hit me with everything you've got, you poser elite.
context: Not to mentionis that bread dough in the bowl?\What's the boy planning to make?\This is the best salmon dish I can make right now!\You can't lose, Ryo-kun.\What's the matter, Central?\All you've done is copy me\and act all high and mighty.\Hit me with everything you've got, you poser elite. response:	Or do you just want a lame excuse for when you've lost?
context: What's the boy planning to make?\This is the best salmon dish I can make right now!\You can't lose, Ryo-kun.\What's the matter, Central?\All you've done is copy me\and act all high and mighty.\Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost? response:	Yukihira and Aldini were something else,
context: This is the best salmon dish I can make right now!\You can't lose, Ryo-kun.\What's the matter, Central?\All you've done is copy me\and act all high and mighty.\Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else, response:	but you're also pretty annoying.
context: You can't lose, Ryo-kun.\What's the matter, Central?\All you've done is copy me\and act all high and mighty.\Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else,\but you're also pretty annoying. response:	Don't worry. I've been wanting to show off
context: What's the matter, Central?\All you've done is copy me\and act all high and mighty.\Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else,\but you're also pretty annoying.\Don't worry. I've been wanting to show off response:	my precious partners in crime to you.
context: All you've done is copy me\and act all high and mighty.\Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else,\but you're also pretty annoying.\Don't worry. I've been wanting to show off\my precious partners in crime to you. response:	What's all that?
context: and act all high and mighty.\Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else,\but you're also pretty annoying.\Don't worry. I've been wanting to show off\my precious partners in crime to you.\What's all that? response:	Just you watch, riffraff.
context: Hit me with everything you've got, you poser elite.\Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else,\but you're also pretty annoying.\Don't worry. I've been wanting to show off\my precious partners in crime to you.\What's all that?\Just you watch, riffraff. response:	Food Wars
context: Or do you just want a lame excuse for when you've lost?\Yukihira and Aldini were something else,\but you're also pretty annoying.\Don't worry. I've been wanting to show off\my precious partners in crime to you.\What's all that?\Just you watch, riffraff.\Food Wars response:	The Third Plate
context: Yukihira and Aldini were something else,\but you're also pretty annoying.\Don't worry. I've been wanting to show off\my precious partners in crime to you.\What's all that?\Just you watch, riffraff.\Food Wars\The Third Plate response:	Hall B Entrance
context: but you're also pretty annoying.\Don't worry. I've been wanting to show off\my precious partners in crime to you.\What's all that?\Just you watch, riffraff.\Food Wars\The Third Plate\Hall B Entrance response:	The Salmon Will Dance
context: Don't worry. I've been wanting to show off\my precious partners in crime to you.\What's all that?\Just you watch, riffraff.\Food Wars\The Third Plate\Hall B Entrance\The Salmon Will Dance response:	Hall B is done with all scheduled matches for the day.
context: my precious partners in crime to you.\What's all that?\Just you watch, riffraff.\Food Wars\The Third Plate\Hall B Entrance\The Salmon Will Dance\Hall B is done with all scheduled matches for the day. response:	Central has won a sweeping victory!
context: What's all that?\Just you watch, riffraff.\Food Wars\The Third Plate\Hall B Entrance\The Salmon Will Dance\Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory! response:	Did you get good footage of that?
context: Just you watch, riffraff.\Food Wars\The Third Plate\Hall B Entrance\The Salmon Will Dance\Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory!\Did you get good footage of that? response:	Yeah. Those were some impressive matches.
context: Food Wars\The Third Plate\Hall B Entrance\The Salmon Will Dance\Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory!\Did you get good footage of that?\Yeah. Those were some impressive matches. response:	The sixth seat, Kinokuni Nene...
context: The Third Plate\Hall B Entrance\The Salmon Will Dance\Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory!\Did you get good footage of that?\Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene... response:	Totsuki Elite Ten, Sixth Seat Kinokuni Nene
context: Hall B Entrance\The Salmon Will Dance\Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory!\Did you get good footage of that?\Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene response:	She's one rank higher than Isshiki-senpai.
context: The Salmon Will Dance\Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory!\Did you get good footage of that?\Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai. response:	That makes her the top chef among the current second-years.
context: Hall B is done with all scheduled matches for the day.\Central has won a sweeping victory!\Did you get good footage of that?\Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years. response:	Totsuki Elite Ten, Fifth Seat
context: Central has won a sweeping victory!\Did you get good footage of that?\Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years.\Totsuki Elite Ten, Fifth Seat response:	Saito Somei
context: Did you get good footage of that?\Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years.\Totsuki Elite Ten, Fifth Seat\Saito Somei response:	Meanwhile: Hall A, All Matches Complete
context: Yeah. Those were some impressive matches.\The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years.\Totsuki Elite Ten, Fifth Seat\Saito Somei\Meanwhile: Hall A, All Matches Complete response:	You've got to be kidding me!
context: The sixth seat, Kinokuni Nene...\Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years.\Totsuki Elite Ten, Fifth Seat\Saito Somei\Meanwhile: Hall A, All Matches Complete\You've got to be kidding me! response:	So many clubs and research groups have challenged them to a Shokugeki!
context: Totsuki Elite Ten, Sixth Seat Kinokuni Nene\She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years.\Totsuki Elite Ten, Fifth Seat\Saito Somei\Meanwhile: Hall A, All Matches Complete\You've got to be kidding me!\So many clubs and research groups have challenged them to a Shokugeki! response:	And yet, none have won.
context: She's one rank higher than Isshiki-senpai.\That makes her the top chef among the current second-years.\Totsuki Elite Ten, Fifth Seat\Saito Somei\Meanwhile: Hall A, All Matches Complete\You've got to be kidding me!\So many clubs and research groups have challenged them to a Shokugeki!\And yet, none have won. response:	Damn it.
