context: We're here. response:	Keep out
context: We're here.\Keep out response:	Keep out Doesn't this mean that we shouldn't go in?
context: We're here.\Keep out\Keep out Doesn't this mean that we shouldn't go in? response:	Even a grade school kid wouldn't choose this place for a shoot.
context: We're here.\Keep out\Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot. response:	Not counting the really crazy ones.
context: We're here.\Keep out\Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones. response:	What are you guys doing? Hurry up and climb over.
context: We're here.\Keep out\Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over. response:	I forgot that she's really crazy.
context: We're here.\Keep out\Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy. response:	Hurry up, Mikuru.
context: We're here.\Keep out\Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy.\Hurry up, Mikuru. response:	This fence is a bit tall to climb over.
context: Keep out\Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy.\Hurry up, Mikuru.\This fence is a bit tall to climb over. response:	Don't you think so?
context: Keep out Doesn't this mean that we shouldn't go in?\Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy.\Hurry up, Mikuru.\This fence is a bit tall to climb over.\Don't you think so? response:	Huh, I guess it was pretty old.
context: Even a grade school kid wouldn't choose this place for a shoot.\Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy.\Hurry up, Mikuru.\This fence is a bit tall to climb over.\Don't you think so?\Huh, I guess it was pretty old. response:	Are we supposed to be playing kappa or something?
context: Not counting the really crazy ones.\What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy.\Hurry up, Mikuru.\This fence is a bit tall to climb over.\Don't you think so?\Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something? response:	This lake didn't have a fence around it a long time ago.
context: What are you guys doing? Hurry up and climb over.\I forgot that she's really crazy.\Hurry up, Mikuru.\This fence is a bit tall to climb over.\Don't you think so?\Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago. response:	People used to fall in a lot.
context: I forgot that she's really crazy.\Hurry up, Mikuru.\This fence is a bit tall to climb over.\Don't you think so?\Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago.\People used to fall in a lot. response:	Thank God they're all so easy-going.
context: Hurry up, Mikuru.\This fence is a bit tall to climb over.\Don't you think so?\Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago.\People used to fall in a lot.\Thank God they're all so easy-going. response:	This scene is one where Mikuru is finally backed into a sticky situation.
context: This fence is a bit tall to climb over.\Don't you think so?\Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago.\People used to fall in a lot.\Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation. response:	The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.
context: Don't you think so?\Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago.\People used to fall in a lot.\Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation. response:	This scene is one where Mikuru is finally backed into a sticky situation.
context: Huh, I guess it was pretty old.\Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago.\People used to fall in a lot.\Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation. response:	Her blue-eyed beam has been sealed away by Yuki.
context: Are we supposed to be playing kappa or something?\This lake didn't have a fence around it a long time ago.\People used to fall in a lot.\Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki. response:	Yeah, this looks good. Here, you hold this.
context: This lake didn't have a fence around it a long time ago.\People used to fall in a lot.\Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this. response:	Mikuru, are you ready?
context: People used to fall in a lot.\Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this.\Mikuru, are you ready? response:	Yes.
context: Thank God they're all so easy-going.\This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this.\Mikuru, are you ready?\Yes. response:	- Louder! - Yes!
context: This scene is one where Mikuru is finally backed into a sticky situation.\The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this.\Mikuru, are you ready?\Yes.\- Louder! - Yes! response:	You have my sympathy.
context: The Sigh of Haruhi Suzumiya IV This scene is one where Mikuru is finally backed into a sticky situation.\This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this.\Mikuru, are you ready?\Yes.\- Louder! - Yes!\You have my sympathy. response:	Okay, here we go. Ready...
context: This scene is one where Mikuru is finally backed into a sticky situation.\Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this.\Mikuru, are you ready?\Yes.\- Louder! - Yes!\You have my sympathy.\Okay, here we go. Ready... response:	Action!
context: Her blue-eyed beam has been sealed away by Yuki.\Yeah, this looks good. Here, you hold this.\Mikuru, are you ready?\Yes.\- Louder! - Yes!\You have my sympathy.\Okay, here we go. Ready...\Action! response:	S-Something like this won't make me give up!
context: Yeah, this looks good. Here, you hold this.\Mikuru, are you ready?\Yes.\- Louder! - Yes!\You have my sympathy.\Okay, here we go. Ready...\Action!\S-Something like this won't make me give up! response:	Y-Yuki, the bad alien...
context: Mikuru, are you ready?\Yes.\- Louder! - Yes!\You have my sympathy.\Okay, here we go. Ready...\Action!\S-Something like this won't make me give up!\Y-Yuki, the bad alien... response:	Cut!
context: Yes.\- Louder! - Yes!\You have my sympathy.\Okay, here we go. Ready...\Action!\S-Something like this won't make me give up!\Y-Yuki, the bad alien...\Cut! response:	He is of much precious value.
context: - Louder! - Yes!\You have my sympathy.\Okay, here we go. Ready...\Action!\S-Something like this won't make me give up!\Y-Yuki, the bad alien...\Cut!\He is of much precious value. response:	As part of that, we will first take over the Earth.
context: You have my sympathy.\Okay, here we go. Ready...\Action!\S-Something like this won't make me give up!\Y-Yuki, the bad alien...\Cut!\He is of much precious value.\As part of that, we will first take over the Earth. response:	Cut!
context: Okay, here we go. Ready...\Action!\S-Something like this won't make me give up!\Y-Yuki, the bad alien...\Cut!\He is of much precious value.\As part of that, we will first take over the Earth.\Cut! response:	I-I won't let you do so! I'm willing to risk my life for this!
context: Action!\S-Something like this won't make me give up!\Y-Yuki, the bad alien...\Cut!\He is of much precious value.\As part of that, we will first take over the Earth.\Cut!\I-I won't let you do so! I'm willing to risk my life for this! response:	Cut!
context: S-Something like this won't make me give up!\Y-Yuki, the bad alien...\Cut!\He is of much precious value.\As part of that, we will first take over the Earth.\Cut!\I-I won't let you do so! I'm willing to risk my life for this!\Cut! response:	You're starting to get the hang of it, aren't you? Keep it up!
context: Y-Yuki, the bad alien...\Cut!\He is of much precious value.\As part of that, we will first take over the Earth.\Cut!\I-I won't let you do so! I'm willing to risk my life for this!\Cut!\You're starting to get the hang of it, aren't you? Keep it up! response:	Oh yeah, Mikuru, come here a second.
context: Cut!\He is of much precious value.\As part of that, we will first take over the Earth.\Cut!\I-I won't let you do so! I'm willing to risk my life for this!\Cut!\You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second. response:	Yes?
context: He is of much precious value.\As part of that, we will first take over the Earth.\Cut!\I-I won't let you do so! I'm willing to risk my life for this!\Cut!\You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second.\Yes? response:	It'd be best for us to get out of here
context: As part of that, we will first take over the Earth.\Cut!\I-I won't let you do so! I'm willing to risk my life for this!\Cut!\You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second.\Yes?\It'd be best for us to get out of here response:	before we become the talk of the neighborhood, but...
context: Cut!\I-I won't let you do so! I'm willing to risk my life for this!\Cut!\You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second.\Yes?\It'd be best for us to get out of here\before we become the talk of the neighborhood, but... response:	So this is what video cameras are like these days?
context: I-I won't let you do so! I'm willing to risk my life for this!\Cut!\You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second.\Yes?\It'd be best for us to get out of here\before we become the talk of the neighborhood, but...\So this is what video cameras are like these days? response:	Huh... So there's a lot of goofy footage of Mikuru in here?
context: Cut!\You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second.\Yes?\It'd be best for us to get out of here\before we become the talk of the neighborhood, but...\So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here? response:	It's nothing to laugh about.
context: You're starting to get the hang of it, aren't you? Keep it up!\Oh yeah, Mikuru, come here a second.\Yes?\It'd be best for us to get out of here\before we become the talk of the neighborhood, but...\So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about. response:	There's a lot of psychologically damaging stuff in here.
context: Oh yeah, Mikuru, come here a second.\Yes?\It'd be best for us to get out of here\before we become the talk of the neighborhood, but...\So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here. response:	What'll happen if Miss Asahina stops coming to school?
context: Yes?\It'd be best for us to get out of here\before we become the talk of the neighborhood, but...\So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school? response:	We're back!
context: It'd be best for us to get out of here\before we become the talk of the neighborhood, but...\So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school?\We're back! response:	And now we're going to get serious about this.
context: before we become the talk of the neighborhood, but...\So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school?\We're back!\And now we're going to get serious about this. response:	Take a look!
context: So this is what video cameras are like these days?\Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school?\We're back!\And now we're going to get serious about this.\Take a look! response:	Oh God, what a nightmare.
context: Huh... So there's a lot of goofy footage of Mikuru in here?\It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school?\We're back!\And now we're going to get serious about this.\Take a look!\Oh God, what a nightmare. response:	Are we going to repeat what happened yesterday again?
context: It's nothing to laugh about.\There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school?\We're back!\And now we're going to get serious about this.\Take a look!\Oh God, what a nightmare.\Are we going to repeat what happened yesterday again? response:	Okay, Mikuru. Make something fantastic, it doesn't matter what,
context: There's a lot of psychologically damaging stuff in here.\What'll happen if Miss Asahina stops coming to school?\We're back!\And now we're going to get serious about this.\Take a look!\Oh God, what a nightmare.\Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what, response:	come out of the Miracle Mikuru Eye R and attack!
context: What'll happen if Miss Asahina stops coming to school?\We're back!\And now we're going to get serious about this.\Take a look!\Oh God, what a nightmare.\Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack! response:	M-M-Miss Nagato-
context: We're back!\And now we're going to get serious about this.\Take a look!\Oh God, what a nightmare.\Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato- response:	Hey, Yuki! You're supposed to be a witch!
context: And now we're going to get serious about this.\Take a look!\Oh God, what a nightmare.\Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch! response:	You don't need to do any pro wrestling here...
context: Take a look!\Oh God, what a nightmare.\Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here... response:	Well, I guess this works. It'll probably get us some more viewers.
context: Oh God, what a nightmare.\Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers. response:	Kyon! Be sure to film this! Yuki came up with this idea, after all!
context: Are we going to repeat what happened yesterday again?\Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all! response:	It's not an idea.
context: Okay, Mikuru. Make something fantastic, it doesn't matter what,\come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea. response:	Man, but this is risque... I mean, I don't mean to film this at all, but...
context: come out of the Miracle Mikuru Eye R and attack!\M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but... response:	Center the target and press the record- No, I mustn't. I mustn't!
context: M-M-Miss Nagato-\Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't! response:	Leave the Earth now!
context: Hey, Yuki! You're supposed to be a witch!\You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now! response:	Oh man, we lost another contact.
context: You don't need to do any pro wrestling here...\Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now!\Oh man, we lost another contact. response:	I was careless.
context: Well, I guess this works. It'll probably get us some more viewers.\Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now!\Oh man, we lost another contact.\I was careless. response:	I had made it so that she could not fire off lasers anymore.
context: Kyon! Be sure to film this! Yuki came up with this idea, after all!\It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now!\Oh man, we lost another contact.\I was careless.\I had made it so that she could not fire off lasers anymore. response:	This time it was a high frequency molecular cutter.
context: It's not an idea.\Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now!\Oh man, we lost another contact.\I was careless.\I had made it so that she could not fire off lasers anymore.\This time it was a high frequency molecular cutter. response:	It looks like monofilament.
context: Man, but this is risque... I mean, I don't mean to film this at all, but...\Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now!\Oh man, we lost another contact.\I was careless.\I had made it so that she could not fire off lasers anymore.\This time it was a high frequency molecular cutter.\It looks like monofilament. response:	Umm... this time... what did you inject into me?
context: Center the target and press the record- No, I mustn't. I mustn't!\Leave the Earth now!\Oh man, we lost another contact.\I was careless.\I had made it so that she could not fire off lasers anymore.\This time it was a high frequency molecular cutter.\It looks like monofilament.\Umm... this time... what did you inject into me? response:	I modulated the phase of your dimensional vibratory cycle,
context: Leave the Earth now!\Oh man, we lost another contact.\I was careless.\I had made it so that she could not fire off lasers anymore.\This time it was a high frequency molecular cutter.\It looks like monofilament.\Umm... this time... what did you inject into me?\I modulated the phase of your dimensional vibratory cycle, response:	and generated a force field on the surface of your body
context: Oh man, we lost another contact.\I was careless.\I had made it so that she could not fire off lasers anymore.\This time it was a high frequency molecular cutter.\It looks like monofilament.\Umm... this time... what did you inject into me?\I modulated the phase of your dimensional vibratory cycle,\and generated a force field on the surface of your body response:	capable of transposing gravitational waves.
context: I was careless.\I had made it so that she could not fire off lasers anymore.\This time it was a high frequency molecular cutter.\It looks like monofilament.\Umm... this time... what did you inject into me?\I modulated the phase of your dimensional vibratory cycle,\and generated a force field on the surface of your body\capable of transposing gravitational waves. response:	I see. So it's been dealt with for now.
