context: How irresponsible. response:	You don't care if she dies or succeeds?
context: How irresponsible.\You don't care if she dies or succeeds? response:	She won't die, and I don't intend to let her.
context: How irresponsible.\You don't care if she dies or succeeds?\She won't die, and I don't intend to let her. response:	She was expensive, after all.
context: How irresponsible.\You don't care if she dies or succeeds?\She won't die, and I don't intend to let her.\She was expensive, after all. response:	You can neither become human, nor return to being a fairy, you filthy creature.
context: How irresponsible.\You don't care if she dies or succeeds?\She won't die, and I don't intend to let her.\She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature. response:	Do you really think you'll be forgiven for buying a human?
context: How irresponsible.\You don't care if she dies or succeeds?\She won't die, and I don't intend to let her.\She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human? response:	It seems you're still as much of a human supremacist as ever, Renfred.
context: How irresponsible.\You don't care if she dies or succeeds?\She won't die, and I don't intend to let her.\She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred. response:	Why do you know about Chise?
context: How irresponsible.\You don't care if she dies or succeeds?\She won't die, and I don't intend to let her.\She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise? response:	You've never liked auctions, have you?
context: You don't care if she dies or succeeds?\She won't die, and I don't intend to let her.\She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise?\You've never liked auctions, have you? response:	That event is strictly private.
context: She won't die, and I don't intend to let her.\She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise?\You've never liked auctions, have you?\That event is strictly private. response:	What happens there is to be kept secret.
context: She was expensive, after all.\You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise?\You've never liked auctions, have you?\That event is strictly private.\What happens there is to be kept secret. response:	Besides, what use do you have for this mass of human rage and regret?
context: You can neither become human, nor return to being a fairy, you filthy creature.\Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise?\You've never liked auctions, have you?\That event is strictly private.\What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret? response:	I see.
