context: The experiments we've run so far response:	prove that the D-mails are being sent to the past.
context: The experiments we've run so far\prove that the D-mails are being sent to the past. response:	But I couldn't change the outcome of my match with Feyris-tan!
context: The experiments we've run so far\prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan! response:	That's a problem with you, not with the D-mail.
context: The experiments we've run so far\prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail. response:	There are problems with the system,
context: The experiments we've run so far\prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail.\There are problems with the system, response:	including the issue with Rukako,
context: The experiments we've run so far\prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail.\There are problems with the system,\including the issue with Rukako, response:	but if we work on it, we can turn it into a real time machine...
context: The experiments we've run so far\prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail.\There are problems with the system,\including the issue with Rukako,\but if we work on it, we can turn it into a real time machine... response:	Time machine?
context: The experiments we've run so far\prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail.\There are problems with the system,\including the issue with Rukako,\but if we work on it, we can turn it into a real time machine...\Time machine? response:	You were listening to us?
context: prove that the D-mails are being sent to the past.\But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail.\There are problems with the system,\including the issue with Rukako,\but if we work on it, we can turn it into a real time machine...\Time machine?\You were listening to us? response:	Feyris just brought your order!
context: But I couldn't change the outcome of my match with Feyris-tan!\That's a problem with you, not with the D-mail.\There are problems with the system,\including the issue with Rukako,\but if we work on it, we can turn it into a real time machine...\Time machine?\You were listening to us?\Feyris just brought your order! response:	Do you want any gum syrup or milk?
context: That's a problem with you, not with the D-mail.\There are problems with the system,\including the issue with Rukako,\but if we work on it, we can turn it into a real time machine...\Time machine?\You were listening to us?\Feyris just brought your order!\Do you want any gum syrup or milk? response:	I refuse!
context: There are problems with the system,\including the issue with Rukako,\but if we work on it, we can turn it into a real time machine...\Time machine?\You were listening to us?\Feyris just brought your order!\Do you want any gum syrup or milk?\I refuse! response:	And thus, you can have my everything!
context: including the issue with Rukako,\but if we work on it, we can turn it into a real time machine...\Time machine?\You were listening to us?\Feyris just brought your order!\Do you want any gum syrup or milk?\I refuse!\And thus, you can have my everything! response:	There it is!
context: but if we work on it, we can turn it into a real time machine...\Time machine?\You were listening to us?\Feyris just brought your order!\Do you want any gum syrup or milk?\I refuse!\And thus, you can have my everything!\There it is! response:	Secret Move: Stir While Gazing Into Their Eyes!
context: Time machine?\You were listening to us?\Feyris just brought your order!\Do you want any gum syrup or milk?\I refuse!\And thus, you can have my everything!\There it is!\Secret Move: Stir While Gazing Into Their Eyes! response:	I'm so jealous, Okarin. Explode.
context: You were listening to us?\Feyris just brought your order!\Do you want any gum syrup or milk?\I refuse!\And thus, you can have my everything!\There it is!\Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode. response:	Kyouma, what do you mean by a time machine?
context: Feyris just brought your order!\Do you want any gum syrup or milk?\I refuse!\And thus, you can have my everything!\There it is!\Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine? response:	Do you think you can seduce me
context: Do you want any gum syrup or milk?\I refuse!\And thus, you can have my everything!\There it is!\Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine?\Do you think you can seduce me response:	into giving up classified information?
context: I refuse!\And thus, you can have my everything!\There it is!\Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine?\Do you think you can seduce me\into giving up classified information? response:	I won't ask Kyouma.
context: And thus, you can have my everything!\There it is!\Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine?\Do you think you can seduce me\into giving up classified information?\I won't ask Kyouma. response:	Daru-nyan!
context: There it is!\Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine?\Do you think you can seduce me\into giving up classified information?\I won't ask Kyouma.\Daru-nyan! response:	You think Daru would betray me?
context: Secret Move: Stir While Gazing Into Their Eyes!\I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine?\Do you think you can seduce me\into giving up classified information?\I won't ask Kyouma.\Daru-nyan!\You think Daru would betray me? response:	We built a machine that sends texts to the past!
context: I'm so jealous, Okarin. Explode.\Kyouma, what do you mean by a time machine?\Do you think you can seduce me\into giving up classified information?\I won't ask Kyouma.\Daru-nyan!\You think Daru would betray me?\We built a machine that sends texts to the past! response:	And by we, I mean mostly me!
context: Kyouma, what do you mean by a time machine?\Do you think you can seduce me\into giving up classified information?\I won't ask Kyouma.\Daru-nyan!\You think Daru would betray me?\We built a machine that sends texts to the past!\And by we, I mean mostly me! response:	That was entirely too fast!
context: Do you think you can seduce me\into giving up classified information?\I won't ask Kyouma.\Daru-nyan!\You think Daru would betray me?\We built a machine that sends texts to the past!\And by we, I mean mostly me!\That was entirely too fast! response:	Messages to the past?
