context: Such Regret...! Vegeta, Pride of the Saiyans, Dies response:	Damn...
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn... response:	Piccolo-san!
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn...\Piccolo-san! response:	All right, they're very close. My apologies, I'm coming now!
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn...\Piccolo-san!\All right, they're very close. My apologies, I'm coming now! response:	Something might just become of this!
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn...\Piccolo-san!\All right, they're very close. My apologies, I'm coming now!\Something might just become of this! response:	How dull. You've utterly lost the will to fight back.
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn...\Piccolo-san!\All right, they're very close. My apologies, I'm coming now!\Something might just become of this!\How dull. You've utterly lost the will to fight back. response:	It's a little soon, but maybe I should finish you off.
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn...\Piccolo-san!\All right, they're very close. My apologies, I'm coming now!\Something might just become of this!\How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off. response:	So then, the identity of that huge Ki was Piccolo after all.
context: Such Regret...! Vegeta, Pride of the Saiyans, Dies\Damn...\Piccolo-san!\All right, they're very close. My apologies, I'm coming now!\Something might just become of this!\How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all. response:	S- Son!
context: Damn...\Piccolo-san!\All right, they're very close. My apologies, I'm coming now!\Something might just become of this!\How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all.\S- Son! response:	Nice. You were brought back here with the Dragonballs, huh?
context: Piccolo-san!\All right, they're very close. My apologies, I'm coming now!\Something might just become of this!\How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all.\S- Son!\Nice. You were brought back here with the Dragonballs, huh? response:	Father!
context: All right, they're very close. My apologies, I'm coming now!\Something might just become of this!\How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all.\S- Son!\Nice. You were brought back here with the Dragonballs, huh?\Father! response:	Are you all right now?
context: Something might just become of this!\How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all.\S- Son!\Nice. You were brought back here with the Dragonballs, huh?\Father!\Are you all right now? response:	Yeah. Thanks to you guys, I've recovered from all that damage.
context: How dull. You've utterly lost the will to fight back.\It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all.\S- Son!\Nice. You were brought back here with the Dragonballs, huh?\Father!\Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage. response:	You've stuck it out well, Gohan! Leave it up to me now.
