context: How audacious it was for them to attempt to inflict even one injury upon me. response:	Such extreme examples of those who did not keep their places.
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places. response:	Now then, Grand Elder- san, it would appear that there is
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is response:	still one foolish individual out here who does not know his place.
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place. response:	I believe that if this gentleman were about to be killed,
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed, response:	you would soon change your mind and tell me
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me response:	how to have the Dragon Balls grant my wish.
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me\how to have the Dragon Balls grant my wish. response:	You will also regret not having spoken up sooner,
context: How audacious it was for them to attempt to inflict even one injury upon me.\Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me\how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner, response:	while you were still unharmed.
context: Such extreme examples of those who did not keep their places.\Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me\how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner,\while you were still unharmed. response:	If you like, we can spare your life right here and now.
context: Now then, Grand Elder- san, it would appear that there is\still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me\how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner,\while you were still unharmed.\If you like, we can spare your life right here and now. response:	You've probably already realized this,
context: still one foolish individual out here who does not know his place.\I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me\how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner,\while you were still unharmed.\If you like, we can spare your life right here and now.\You've probably already realized this, response:	but Grand Elder- sama has only a short time left to live.
context: I believe that if this gentleman were about to be killed,\you would soon change your mind and tell me\how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner,\while you were still unharmed.\If you like, we can spare your life right here and now.\You've probably already realized this,\but Grand Elder- sama has only a short time left to live. response:	It would be bad for you and I both
