context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	Hmm...
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\Hmm... response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\Hmm...\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\Hmm...\= MAIN END =\= ED START = response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\Hmm...\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO END =\= OP START =\= MAIN START =\Hmm...\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = OP START =\= MAIN START =\Hmm...\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = MAIN START =\Hmm...\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: Hmm...\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai yo kimi to tooku he
context: = ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we would go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	Wolf and Lonely Smile
context: Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Lonely Smile response:	Lawrence!
context: we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Lonely Smile\Lawrence! response:	Lawrence!
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Lonely Smile\Lawrence!\Lawrence! response:	Wipe yourself off.
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Lonely Smile\Lawrence!\Lawrence!\Wipe yourself off. response:	Ah, sorry.
context: Shining eyes\Your singing voice\Let's share it\Wolf and Lonely Smile\Lawrence!\Lawrence!\Wipe yourself off.\Ah, sorry. response:	I need to leave my scent on you.
context: Your singing voice\Let's share it\Wolf and Lonely Smile\Lawrence!\Lawrence!\Wipe yourself off.\Ah, sorry.\I need to leave my scent on you. response:	I'm worried about you.
context: Let's share it\Wolf and Lonely Smile\Lawrence!\Lawrence!\Wipe yourself off.\Ah, sorry.\I need to leave my scent on you.\I'm worried about you. response:	She asked me to take part in a large business scheme.
context: Wolf and Lonely Smile\Lawrence!\Lawrence!\Wipe yourself off.\Ah, sorry.\I need to leave my scent on you.\I'm worried about you.\She asked me to take part in a large business scheme. response:	That fox?
context: Lawrence!\Lawrence!\Wipe yourself off.\Ah, sorry.\I need to leave my scent on you.\I'm worried about you.\She asked me to take part in a large business scheme.\That fox? response:	To be precise, Abe.
context: Lawrence!\Wipe yourself off.\Ah, sorry.\I need to leave my scent on you.\I'm worried about you.\She asked me to take part in a large business scheme.\That fox?\To be precise, Abe. response:	That female merchant and the landlord here, Harold.
context: Wipe yourself off.\Ah, sorry.\I need to leave my scent on you.\I'm worried about you.\She asked me to take part in a large business scheme.\That fox?\To be precise, Abe.\That female merchant and the landlord here, Harold. response:	I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.
context: Ah, sorry.\I need to leave my scent on you.\I'm worried about you.\She asked me to take part in a large business scheme.\That fox?\To be precise, Abe.\That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part. response:	It's just...
context: I need to leave my scent on you.\I'm worried about you.\She asked me to take part in a large business scheme.\That fox?\To be precise, Abe.\That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just... response:	Just?
context: I'm worried about you.\She asked me to take part in a large business scheme.\That fox?\To be precise, Abe.\That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just...\Just? response:	The profits are..
context: She asked me to take part in a large business scheme.\That fox?\To be precise, Abe.\That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just...\Just?\The profits are.. response:	Worth more than my temperament?
context: That fox?\To be precise, Abe.\That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just...\Just?\The profits are..\Worth more than my temperament? response:	Yes.
context: To be precise, Abe.\That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just...\Just?\The profits are..\Worth more than my temperament?\Yes. response:	It seems the Fifty-man meeting decided on allowing sale of furs to foreign merchants, with one condition.
context: That female merchant and the landlord here, Harold.\I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just...\Just?\The profits are..\Worth more than my temperament?\Yes.\It seems the Fifty-man meeting decided on allowing sale of furs to foreign merchants, with one condition. response:	What's your source?
context: I haven't confirmed it's trustworthy yet, and of course haven't yet agreed to take part.\It's just...\Just?\The profits are..\Worth more than my temperament?\Yes.\It seems the Fifty-man meeting decided on allowing sale of furs to foreign merchants, with one condition.\What's your source? response:	The church.
context: It's just...\Just?\The profits are..\Worth more than my temperament?\Yes.\It seems the Fifty-man meeting decided on allowing sale of furs to foreign merchants, with one condition.\What's your source?\The church. response:	Even though they turned on you?
context: Just?\The profits are..\Worth more than my temperament?\Yes.\It seems the Fifty-man meeting decided on allowing sale of furs to foreign merchants, with one condition.\What's your source?\The church.\Even though they turned on you? response:	We may have parted on unfriendly terms, but I still have contacts on the inside.
