context: What are you looking at? response:	What can you see?
context: What are you looking at?\What can you see? response:	Hey, girlie, are you waiting for someone?
context: What are you looking at?\What can you see?\Hey, girlie, are you waiting for someone? response:	Come to think of it, I saw you here yesterday, too.
context: What are you looking at?\What can you see?\Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too. response:	Have you been here the whole time?
context: What are you looking at?\What can you see?\Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too.\Have you been here the whole time? response:	Maybe she's a doll.
context: What are you looking at?\What can you see?\Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too.\Have you been here the whole time?\Maybe she's a doll. response:	Oh, she blinked!
context: What are you looking at?\What can you see?\Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too.\Have you been here the whole time?\Maybe she's a doll.\Oh, she blinked! response:	Whoa!
context: What are you looking at?\What can you see?\Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too.\Have you been here the whole time?\Maybe she's a doll.\Oh, she blinked!\Whoa! response:	She moved!
context: What can you see?\Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too.\Have you been here the whole time?\Maybe she's a doll.\Oh, she blinked!\Whoa!\She moved! response:	Huh?
context: Hey, girlie, are you waiting for someone?\Come to think of it, I saw you here yesterday, too.\Have you been here the whole time?\Maybe she's a doll.\Oh, she blinked!\Whoa!\She moved!\Huh? response:	What?
context: Come to think of it, I saw you here yesterday, too.\Have you been here the whole time?\Maybe she's a doll.\Oh, she blinked!\Whoa!\She moved!\Huh?\What? response:	Found you.
context: Have you been here the whole time?\Maybe she's a doll.\Oh, she blinked!\Whoa!\She moved!\Huh?\What?\Found you. response:	This isn't good...
context: Maybe she's a doll.\Oh, she blinked!\Whoa!\She moved!\Huh?\What?\Found you.\This isn't good... response:	Dazai's gone missing?
context: Oh, she blinked!\Whoa!\She moved!\Huh?\What?\Found you.\This isn't good...\Dazai's gone missing? response:	He's not answering his phone,
context: Whoa!\She moved!\Huh?\What?\Found you.\This isn't good...\Dazai's gone missing?\He's not answering his phone, response:	and he hasn't returned to the dorm, either.
context: She moved!\Huh?\What?\Found you.\This isn't good...\Dazai's gone missing?\He's not answering his phone,\and he hasn't returned to the dorm, either. response:	He's just floating in some river again.
context: Huh?\What?\Found you.\This isn't good...\Dazai's gone missing?\He's not answering his phone,\and he hasn't returned to the dorm, either.\He's just floating in some river again. response:	Or he could be in prison this time.
context: What?\Found you.\This isn't good...\Dazai's gone missing?\He's not answering his phone,\and he hasn't returned to the dorm, either.\He's just floating in some river again.\Or he could be in prison this time. response:	My guess would be that he went off somewhere with a woman.
