context: The Third Plate response:	Two
context: The Third Plate\Two response:	Moon Festival Guide Book
context: The Third Plate\Two\Moon Festival Guide Book response:	Come get the Moon Festival Guide Book, hot off the press!
context: The Third Plate\Two\Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press! response:	Get one, take one!
context: The Third Plate\Two\Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press!\Get one, take one! response:	Here you go!
context: The Third Plate\Two\Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press!\Get one, take one!\Here you go! response:	Hey, look at this!
context: The Third Plate\Two\Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press!\Get one, take one!\Here you go!\Hey, look at this! response:	Is Yukihira Soma for real?
context: The Third Plate\Two\Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press!\Get one, take one!\Here you go!\Hey, look at this!\Is Yukihira Soma for real? response:	Yukihira-senpai, I put you right where you asked.
context: Two\Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press!\Get one, take one!\Here you go!\Hey, look at this!\Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked. response:	I had the article about your booth set
context: Moon Festival Guide Book\Come get the Moon Festival Guide Book, hot off the press!\Get one, take one!\Here you go!\Hey, look at this!\Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked.\I had the article about your booth set response:	Totsuki Academy High School Division 1st Year, Yukihira Soma
context: Come get the Moon Festival Guide Book, hot off the press!\Get one, take one!\Here you go!\Hey, look at this!\Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked.\I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma response:	right on the next page after the Chinese Cuisine RS!
context: Get one, take one!\Here you go!\Hey, look at this!\Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked.\I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS! response:	He's setting up right in front of the Chinese Cuisine RS?!
context: Here you go!\Hey, look at this!\Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked.\I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?! response:	And he's going to serve Chinese food?!
context: Hey, look at this!\Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked.\I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?! response:	And he had to get his booth listed right next to their page, too.
context: Is Yukihira Soma for real?\Yukihira-senpai, I put you right where you asked.\I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too. response:	It doesn't surprise me one bit.
context: Yukihira-senpai, I put you right where you asked.\I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit. response:	I figured he'd start something up to stir the pot,
context: I had the article about your booth set\Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit.\I figured he'd start something up to stir the pot, response:	but I didn't expect him to take them on head-on like this.
context: Totsuki Academy High School Division 1st Year, Yukihira Soma\right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit.\I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this. response:	Yukihira, damn you!
