context: Scrambled Eggs response:	Let's do this, then.
context: Scrambled Eggs\Let's do this, then. response:	I'll hear you guys out.
context: Scrambled Eggs\Let's do this, then.\I'll hear you guys out. response:	Did she not hear that?
context: Scrambled Eggs\Let's do this, then.\I'll hear you guys out.\Did she not hear that? response:	Thank you!
context: Scrambled Eggs\Let's do this, then.\I'll hear you guys out.\Did she not hear that?\Thank you! response:	Dude! Why are you on this side?!
context: Scrambled Eggs\Let's do this, then.\I'll hear you guys out.\Did she not hear that?\Thank you!\Dude! Why are you on this side?! response:	It's a mixed bath. There's no issue here.
context: Scrambled Eggs\Let's do this, then.\I'll hear you guys out.\Did she not hear that?\Thank you!\Dude! Why are you on this side?!\It's a mixed bath. There's no issue here. response:	I'm right here!
context: Scrambled Eggs\Let's do this, then.\I'll hear you guys out.\Did she not hear that?\Thank you!\Dude! Why are you on this side?!\It's a mixed bath. There's no issue here.\I'm right here! response:	What are you talking about?
context: Let's do this, then.\I'll hear you guys out.\Did she not hear that?\Thank you!\Dude! Why are you on this side?!\It's a mixed bath. There's no issue here.\I'm right here!\What are you talking about? response:	We're friends. This is perfectly normal.
context: I'll hear you guys out.\Did she not hear that?\Thank you!\Dude! Why are you on this side?!\It's a mixed bath. There's no issue here.\I'm right here!\What are you talking about?\We're friends. This is perfectly normal. response:	Maybe not.
context: Did she not hear that?\Thank you!\Dude! Why are you on this side?!\It's a mixed bath. There's no issue here.\I'm right here!\What are you talking about?\We're friends. This is perfectly normal.\Maybe not. response:	I'm sorry. I'd appreciate if you'd forget that.
context: Thank you!\Dude! Why are you on this side?!\It's a mixed bath. There's no issue here.\I'm right here!\What are you talking about?\We're friends. This is perfectly normal.\Maybe not.\I'm sorry. I'd appreciate if you'd forget that. response:	There's something I'm counting on you to do.
context: Dude! Why are you on this side?!\It's a mixed bath. There's no issue here.\I'm right here!\What are you talking about?\We're friends. This is perfectly normal.\Maybe not.\I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do. response:	Take care of it.
