context: Looks like the first piece will be moving soon. response:	Question: Do you desire the destruction of the Imanity?
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity? response:	Or have you finally decided to act?
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act? response:	Really, spying on people isn't a very commendable hobby...
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby... response:	Question: an event fluctuation was detected just before
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before response:	the new king of Imanity was crowned.
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before\the new king of Imanity was crowned. response:	We assume this heralds your intent to join the battle: yes/no?
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before\the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no? response:	You guys are so boring.
context: Looks like the first piece will be moving soon.\Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before\the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no?\You guys are so boring. response:	The fallen gods...
context: Question: Do you desire the destruction of the Imanity?\Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before\the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no?\You guys are so boring.\The fallen gods... response:	The first in the ranks of the Exceed, the Old Deus.
context: Or have you finally decided to act?\Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before\the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no?\You guys are so boring.\The fallen gods...\The first in the ranks of the Exceed, the Old Deus. response:	I'm not on anybody's side.
context: Really, spying on people isn't a very commendable hobby...\Question: an event fluctuation was detected just before\the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no?\You guys are so boring.\The fallen gods...\The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side. response:	You guys can just keep playing your idle games.
context: Question: an event fluctuation was detected just before\the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no?\You guys are so boring.\The fallen gods...\The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side.\You guys can just keep playing your idle games. response:	They're coming.
context: the new king of Imanity was crowned.\We assume this heralds your intent to join the battle: yes/no?\You guys are so boring.\The fallen gods...\The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side.\You guys can just keep playing your idle games.\They're coming. response:	They're coming all the way up here.
context: We assume this heralds your intent to join the battle: yes/no?\You guys are so boring.\The fallen gods...\The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side.\You guys can just keep playing your idle games.\They're coming.\They're coming all the way up here. response:	There was a time when I thought that those two could save Elkia.
context: You guys are so boring.\The fallen gods...\The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side.\You guys can just keep playing your idle games.\They're coming.\They're coming all the way up here.\There was a time when I thought that those two could save Elkia. response:	But now...
context: The fallen gods...\The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side.\You guys can just keep playing your idle games.\They're coming.\They're coming all the way up here.\There was a time when I thought that those two could save Elkia.\But now... response:	Ever since they took the throne, they've given all the work to me
context: The first in the ranks of the Exceed, the Old Deus.\I'm not on anybody's side.\You guys can just keep playing your idle games.\They're coming.\They're coming all the way up here.\There was a time when I thought that those two could save Elkia.\But now...\Ever since they took the throne, they've given all the work to me response:	and the ministers, and they spend every day playing games.
context: I'm not on anybody's side.\You guys can just keep playing your idle games.\They're coming.\They're coming all the way up here.\There was a time when I thought that those two could save Elkia.\But now...\Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games. response:	We're moving. If you need something done, ask Steph.
context: You guys can just keep playing your idle games.\They're coming.\They're coming all the way up here.\There was a time when I thought that those two could save Elkia.\But now...\Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph. response:	Today's the day...
context: They're coming.\They're coming all the way up here.\There was a time when I thought that those two could save Elkia.\But now...\Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph.\Today's the day... response:	Sora and Shiro's House
context: They're coming all the way up here.\There was a time when I thought that those two could save Elkia.\But now...\Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph.\Today's the day...\Sora and Shiro's House response:	Today's the day I'm putting a stop to this!
context: There was a time when I thought that those two could save Elkia.\But now...\Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph.\Today's the day...\Sora and Shiro's House\Today's the day I'm putting a stop to this! response:	Hi
context: But now...\Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph.\Today's the day...\Sora and Shiro's House\Today's the day I'm putting a stop to this!\Hi response:	Hi-yah!
context: Ever since they took the throne, they've given all the work to me\and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph.\Today's the day...\Sora and Shiro's House\Today's the day I'm putting a stop to this!\Hi\Hi-yah! response:	My eyes! My eyes!
context: and the ministers, and they spend every day playing games.\We're moving. If you need something done, ask Steph.\Today's the day...\Sora and Shiro's House\Today's the day I'm putting a stop to this!\Hi\Hi-yah!\My eyes! My eyes! response:	Wake up, you two.
context: We're moving. If you need something done, ask Steph.\Today's the day...\Sora and Shiro's House\Today's the day I'm putting a stop to this!\Hi\Hi-yah!\My eyes! My eyes!\Wake up, you two. response:	Weak Square
context: Today's the day...\Sora and Shiro's House\Today's the day I'm putting a stop to this!\Hi\Hi-yah!\My eyes! My eyes!\Wake up, you two.\Weak Square response:	It's time for you to do your job as kings.
context: Sora and Shiro's House\Today's the day I'm putting a stop to this!\Hi\Hi-yah!\My eyes! My eyes!\Wake up, you two.\Weak Square\It's time for you to do your job as kings. response:	How? This room was in the perfect location, out of the morning sunlight!
context: Today's the day I'm putting a stop to this!\Hi\Hi-yah!\My eyes! My eyes!\Wake up, you two.\Weak Square\It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight! response:	It's already afternoon.
context: Hi\Hi-yah!\My eyes! My eyes!\Wake up, you two.\Weak Square\It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon. response:	It's 36:00. The middle of the night.
context: Hi-yah!\My eyes! My eyes!\Wake up, you two.\Weak Square\It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon.\It's 36:00. The middle of the night. response:	What kind of clock do you follow?!
context: My eyes! My eyes!\Wake up, you two.\Weak Square\It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon.\It's 36:00. The middle of the night.\What kind of clock do you follow?! response:	You've got those valuable books scattered everywhere...
context: Wake up, you two.\Weak Square\It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon.\It's 36:00. The middle of the night.\What kind of clock do you follow?!\You've got those valuable books scattered everywhere... response:	Take them back to your grandpa's room.
context: Weak Square\It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon.\It's 36:00. The middle of the night.\What kind of clock do you follow?!\You've got those valuable books scattered everywhere...\Take them back to your grandpa's room. response:	That room is yours now.
context: It's time for you to do your job as kings.\How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon.\It's 36:00. The middle of the night.\What kind of clock do you follow?!\You've got those valuable books scattered everywhere...\Take them back to your grandpa's room.\That room is yours now. response:	That's been the king's room for generations. You can't just move out!
context: How? This room was in the perfect location, out of the morning sunlight!\It's already afternoon.\It's 36:00. The middle of the night.\What kind of clock do you follow?!\You've got those valuable books scattered everywhere...\Take them back to your grandpa's room.\That room is yours now.\That's been the king's room for generations. You can't just move out! response:	The bed's tilted, though. It's hard to sleep in.
context: It's already afternoon.\It's 36:00. The middle of the night.\What kind of clock do you follow?!\You've got those valuable books scattered everywhere...\Take them back to your grandpa's room.\That room is yours now.\That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in. response:	Futons are the best.
context: It's 36:00. The middle of the night.\What kind of clock do you follow?!\You've got those valuable books scattered everywhere...\Take them back to your grandpa's room.\That room is yours now.\That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in.\Futons are the best. response:	Why are you going back to sleep?
context: What kind of clock do you follow?!\You've got those valuable books scattered everywhere...\Take them back to your grandpa's room.\That room is yours now.\That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in.\Futons are the best.\Why are you going back to sleep? response:	It's embarrassing to think that you're the king who controls the
context: You've got those valuable books scattered everywhere...\Take them back to your grandpa's room.\That room is yours now.\That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in.\Futons are the best.\Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the response:	destinies of three million Imanity!
