context: If I were to borrow Tendo's words... response:	I'm starting to get into it.
context: If I were to borrow Tendo's words...\I'm starting to get into it. response:	There's something wrong with his hand.
context: If I were to borrow Tendo's words...\I'm starting to get into it.\There's something wrong with his hand. response:	There'll be no victory without risks, either.
context: If I were to borrow Tendo's words...\I'm starting to get into it.\There's something wrong with his hand.\There'll be no victory without risks, either. response:	Fly
context: If I were to borrow Tendo's words...\I'm starting to get into it.\There's something wrong with his hand.\There'll be no victory without risks, either.\Fly response:	Karasuno is only Karasuno when we're persistently attacking!
context: If I were to borrow Tendo's words...\I'm starting to get into it.\There's something wrong with his hand.\There'll be no victory without risks, either.\Fly\Karasuno is only Karasuno when we're persistently attacking! response:	Synchronized attack: all!
context: If I were to borrow Tendo's words...\I'm starting to get into it.\There's something wrong with his hand.\There'll be no victory without risks, either.\Fly\Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all! response:	Haikyu!!
context: If I were to borrow Tendo's words...\I'm starting to get into it.\There's something wrong with his hand.\There'll be no victory without risks, either.\Fly\Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all!\Haikyu!! response:	Karasuno High School vs Shiratorizawa Academy
context: I'm starting to get into it.\There's something wrong with his hand.\There'll be no victory without risks, either.\Fly\Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy response:	Karasuno Shiratorizawa
context: There's something wrong with his hand.\There'll be no victory without risks, either.\Fly\Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa response:	All right!
context: There'll be no victory without risks, either.\Fly\Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\All right! response:	Episode 08: An Annoying Guy
context: Fly\Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\All right!\Episode 08: An Annoying Guy response:	Damn it!
context: Karasuno is only Karasuno when we're persistently attacking!\Synchronized attack: all!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\All right!\Episode 08: An Annoying Guy\Damn it! response:	See? That's why you've got to have someone follow up with a block.
context: Synchronized attack: all!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\All right!\Episode 08: An Annoying Guy\Damn it!\See? That's why you've got to have someone follow up with a block. response:	Having everyone attack is way too reckless!
context: Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\All right!\Episode 08: An Annoying Guy\Damn it!\See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless! response:	That block was rather effective.
context: Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\All right!\Episode 08: An Annoying Guy\Damn it!\See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless!\That block was rather effective. response:	Did that just decide this match?
context: Karasuno Shiratorizawa\All right!\Episode 08: An Annoying Guy\Damn it!\See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless!\That block was rather effective.\Did that just decide this match? response:	Next time...
context: All right!\Episode 08: An Annoying Guy\Damn it!\See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless!\That block was rather effective.\Did that just decide this match?\Next time... response:	We'll do that again next time.
context: Episode 08: An Annoying Guy\Damn it!\See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless!\That block was rather effective.\Did that just decide this match?\Next time...\We'll do that again next time. response:	Shiratorizawa!
context: Damn it!\See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless!\That block was rather effective.\Did that just decide this match?\Next time...\We'll do that again next time.\Shiratorizawa! response:	Hinata.
context: See? That's why you've got to have someone follow up with a block.\Having everyone attack is way too reckless!\That block was rather effective.\Did that just decide this match?\Next time...\We'll do that again next time.\Shiratorizawa!\Hinata. response:	Shiratorizawa!
context: Having everyone attack is way too reckless!\That block was rather effective.\Did that just decide this match?\Next time...\We'll do that again next time.\Shiratorizawa!\Hinata.\Shiratorizawa! response:	Always keep the block timing in your head.
context: That block was rather effective.\Did that just decide this match?\Next time...\We'll do that again next time.\Shiratorizawa!\Hinata.\Shiratorizawa!\Always keep the block timing in your head. response:	Since you lack height, that'll be much more important for you.
context: Did that just decide this match?\Next time...\We'll do that again next time.\Shiratorizawa!\Hinata.\Shiratorizawa!\Always keep the block timing in your head.\Since you lack height, that'll be much more important for you. response:	Shiratorizawa!
context: Next time...\We'll do that again next time.\Shiratorizawa!\Hinata.\Shiratorizawa!\Always keep the block timing in your head.\Since you lack height, that'll be much more important for you.\Shiratorizawa! response:	Yeah.
