context: OP response:	ED
context: OP\ED response:	Log on to www.ruri-subs.com or visit us at
context: OP\ED\Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	Our neighboring country of Biscotti managed to regain peace.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace. response:	The hero also seems to be enjoying a peaceful life.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life. response:	However, our Princess Leo still looks troubled.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled. response:	So we, as her trusted aides, must find out what the whole story is about.
context: OP\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about. response:	Declaration of War
context: ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about.\Declaration of War response:	Princess, I advise against you starting your work early in the morning.
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about.\Declaration of War\Princess, I advise against you starting your work early in the morning. response:	But I've got a date with Sink this morning.
context: Fansubbed by Ruri Subs\Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about.\Declaration of War\Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning. response:	Before I do something fun, I'd like to finish my work.
context: Our neighboring country of Biscotti managed to regain peace.\The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about.\Declaration of War\Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work. response:	They have completed the weapon production.
context: The hero also seems to be enjoying a peaceful life.\However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about.\Declaration of War\Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work.\They have completed the weapon production. response:	In fact, it was slightly earlier than planned.
context: However, our Princess Leo still looks troubled.\So we, as her trusted aides, must find out what the whole story is about.\Declaration of War\Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work.\They have completed the weapon production.\In fact, it was slightly earlier than planned. response:	Yes. The members of the Chamber of Commerce were very excited about two victories in a row.
context: So we, as her trusted aides, must find out what the whole story is about.\Declaration of War\Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work.\They have completed the weapon production.\In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row. response:	That's why they worked it all out.
context: Declaration of War\Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work.\They have completed the weapon production.\In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out. response:	They really deserve a treat then!
context: Princess, I advise against you starting your work early in the morning.\But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work.\They have completed the weapon production.\In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out.\They really deserve a treat then! response:	Leave that to Amelita's assistant.
context: But I've got a date with Sink this morning.\Before I do something fun, I'd like to finish my work.\They have completed the weapon production.\In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out.\They really deserve a treat then!\Leave that to Amelita's assistant. response:	All right.
context: Before I do something fun, I'd like to finish my work.\They have completed the weapon production.\In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out.\They really deserve a treat then!\Leave that to Amelita's assistant.\All right. response:	With this, I'm done with the morning's work.
context: They have completed the weapon production.\In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out.\They really deserve a treat then!\Leave that to Amelita's assistant.\All right.\With this, I'm done with the morning's work. response:	Emilio, this is Princess's cerkle, right?
context: In fact, it was slightly earlier than planned.\Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out.\They really deserve a treat then!\Leave that to Amelita's assistant.\All right.\With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right? response:	She's Haran.
context: Yes. The members of the Chamber of Commerce were very excited about two victories in a row.\That's why they worked it all out.\They really deserve a treat then!\Leave that to Amelita's assistant.\All right.\With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right?\She's Haran. response:	It's one of the rarest kinds of cerkle in all of Flonyard.
context: That's why they worked it all out.\They really deserve a treat then!\Leave that to Amelita's assistant.\All right.\With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right?\She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard. response:	So, you're a rare one.
context: They really deserve a treat then!\Leave that to Amelita's assistant.\All right.\With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right?\She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one. response:	Sink, sorry to keep you waiting!
context: Leave that to Amelita's assistant.\All right.\With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right?\She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one.\Sink, sorry to keep you waiting! response:	Wait... Stop...
context: All right.\With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right?\She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one.\Sink, sorry to keep you waiting!\Wait... Stop... response:	Haran seems to like you. I guess even cerkles like you too.
context: With this, I'm done with the morning's work.\Emilio, this is Princess's cerkle, right?\She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one.\Sink, sorry to keep you waiting!\Wait... Stop...\Haran seems to like you. I guess even cerkles like you too. response:	I'm happy,
context: Emilio, this is Princess's cerkle, right?\She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one.\Sink, sorry to keep you waiting!\Wait... Stop...\Haran seems to like you. I guess even cerkles like you too.\I'm happy, response:	but if you could, please... just save me.
context: She's Haran.\It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one.\Sink, sorry to keep you waiting!\Wait... Stop...\Haran seems to like you. I guess even cerkles like you too.\I'm happy,\but if you could, please... just save me. response:	It feels so good to be moving this fast early in the morning.
context: It's one of the rarest kinds of cerkle in all of Flonyard.\So, you're a rare one.\Sink, sorry to keep you waiting!\Wait... Stop...\Haran seems to like you. I guess even cerkles like you too.\I'm happy,\but if you could, please... just save me.\It feels so good to be moving this fast early in the morning. response:	Yup!
context: So, you're a rare one.\Sink, sorry to keep you waiting!\Wait... Stop...\Haran seems to like you. I guess even cerkles like you too.\I'm happy,\but if you could, please... just save me.\It feels so good to be moving this fast early in the morning.\Yup! response:	Isn't it a pretty sight? This is my secret hideout.
context: Sink, sorry to keep you waiting!\Wait... Stop...\Haran seems to like you. I guess even cerkles like you too.\I'm happy,\but if you could, please... just save me.\It feels so good to be moving this fast early in the morning.\Yup!\Isn't it a pretty sight? This is my secret hideout. response:	What do you normally do here, Princess?
context: Wait... Stop...\Haran seems to like you. I guess even cerkles like you too.\I'm happy,\but if you could, please... just save me.\It feels so good to be moving this fast early in the morning.\Yup!\Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess? response:	Well,
context: Haran seems to like you. I guess even cerkles like you too.\I'm happy,\but if you could, please... just save me.\It feels so good to be moving this fast early in the morning.\Yup!\Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess?\Well, response:	I take a relaxing stroll and eat my meals.
context: I'm happy,\but if you could, please... just save me.\It feels so good to be moving this fast early in the morning.\Yup!\Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess?\Well,\I take a relaxing stroll and eat my meals. response:	That sounds nice.
context: but if you could, please... just save me.\It feels so good to be moving this fast early in the morning.\Yup!\Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess?\Well,\I take a relaxing stroll and eat my meals.\That sounds nice. response:	Before all that, how about some light exercise?
context: It feels so good to be moving this fast early in the morning.\Yup!\Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess?\Well,\I take a relaxing stroll and eat my meals.\That sounds nice.\Before all that, how about some light exercise? response:	Huh?
context: Yup!\Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess?\Well,\I take a relaxing stroll and eat my meals.\That sounds nice.\Before all that, how about some light exercise?\Huh? response:	Actually, I sort of tried something out yesterday.
context: Isn't it a pretty sight? This is my secret hideout.\What do you normally do here, Princess?\Well,\I take a relaxing stroll and eat my meals.\That sounds nice.\Before all that, how about some light exercise?\Huh?\Actually, I sort of tried something out yesterday. response:	Here's how it goes. I'll toss this over to you, and I hope you catch it.
context: What do you normally do here, Princess?\Well,\I take a relaxing stroll and eat my meals.\That sounds nice.\Before all that, how about some light exercise?\Huh?\Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it. response:	Okay.
context: Well,\I take a relaxing stroll and eat my meals.\That sounds nice.\Before all that, how about some light exercise?\Huh?\Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay. response:	One, two, go!
context: I take a relaxing stroll and eat my meals.\That sounds nice.\Before all that, how about some light exercise?\Huh?\Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay.\One, two, go! response:	Princess, go!
context: That sounds nice.\Before all that, how about some light exercise?\Huh?\Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay.\One, two, go!\Princess, go! response:	O-Okay!
context: Before all that, how about some light exercise?\Huh?\Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay.\One, two, go!\Princess, go!\O-Okay! response:	Wait up!
context: Huh?\Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay.\One, two, go!\Princess, go!\O-Okay!\Wait up! response:	Nice catch!
context: Actually, I sort of tried something out yesterday.\Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay.\One, two, go!\Princess, go!\O-Okay!\Wait up!\Nice catch! response:	Princess!
context: Here's how it goes. I'll toss this over to you, and I hope you catch it.\Okay.\One, two, go!\Princess, go!\O-Okay!\Wait up!\Nice catch!\Princess! response:	Are you all right?
context: Okay.\One, two, go!\Princess, go!\O-Okay!\Wait up!\Nice catch!\Princess!\Are you all right? response:	Yup, I'm fine!
context: One, two, go!\Princess, go!\O-Okay!\Wait up!\Nice catch!\Princess!\Are you all right?\Yup, I'm fine! response:	What do I do once I've caught it?
context: Princess, go!\O-Okay!\Wait up!\Nice catch!\Princess!\Are you all right?\Yup, I'm fine!\What do I do once I've caught it? response:	Toss it back to me!
context: O-Okay!\Wait up!\Nice catch!\Princess!\Are you all right?\Yup, I'm fine!\What do I do once I've caught it?\Toss it back to me! response:	Hold it like this, then toss!
context: Wait up!\Nice catch!\Princess!\Are you all right?\Yup, I'm fine!\What do I do once I've caught it?\Toss it back to me!\Hold it like this, then toss! response:	Um, you mean like this, and then I toss?
context: Nice catch!\Princess!\Are you all right?\Yup, I'm fine!\What do I do once I've caught it?\Toss it back to me!\Hold it like this, then toss!\Um, you mean like this, and then I toss? response:	That's right!
context: Princess!\Are you all right?\Yup, I'm fine!\What do I do once I've caught it?\Toss it back to me!\Hold it like this, then toss!\Um, you mean like this, and then I toss?\That's right! response:	Like that!
context: Are you all right?\Yup, I'm fine!\What do I do once I've caught it?\Toss it back to me!\Hold it like this, then toss!\Um, you mean like this, and then I toss?\That's right!\Like that! response:	Good!
context: Yup, I'm fine!\What do I do once I've caught it?\Toss it back to me!\Hold it like this, then toss!\Um, you mean like this, and then I toss?\That's right!\Like that!\Good! response:	Sink!
context: What do I do once I've caught it?\Toss it back to me!\Hold it like this, then toss!\Um, you mean like this, and then I toss?\That's right!\Like that!\Good!\Sink! response:	Yeah!
context: Toss it back to me!\Hold it like this, then toss!\Um, you mean like this, and then I toss?\That's right!\Like that!\Good!\Sink!\Yeah! response:	This is so much fun!
context: Hold it like this, then toss!\Um, you mean like this, and then I toss?\That's right!\Like that!\Good!\Sink!\Yeah!\This is so much fun! response:	Yeah! Let's play more!
context: Um, you mean like this, and then I toss?\That's right!\Like that!\Good!\Sink!\Yeah!\This is so much fun!\Yeah! Let's play more! response:	Okay!
context: That's right!\Like that!\Good!\Sink!\Yeah!\This is so much fun!\Yeah! Let's play more!\Okay! response:	I'm gonna toss it real hard this round!
context: Like that!\Good!\Sink!\Yeah!\This is so much fun!\Yeah! Let's play more!\Okay!\I'm gonna toss it real hard this round! response:	That's high!
context: Good!\Sink!\Yeah!\This is so much fun!\Yeah! Let's play more!\Okay!\I'm gonna toss it real hard this round!\That's high! response:	I'm sorry, Sink! Try your best!
context: Sink!\Yeah!\This is so much fun!\Yeah! Let's play more!\Okay!\I'm gonna toss it real hard this round!\That's high!\I'm sorry, Sink! Try your best! response:	But it really is a little too high.
context: Yeah!\This is so much fun!\Yeah! Let's play more!\Okay!\I'm gonna toss it real hard this round!\That's high!\I'm sorry, Sink! Try your best!\But it really is a little too high. response:	Palladion. Form a staff! Make it fairly long!
context: This is so much fun!\Yeah! Let's play more!\Okay!\I'm gonna toss it real hard this round!\That's high!\I'm sorry, Sink! Try your best!\But it really is a little too high.\Palladion. Form a staff! Make it fairly long! response:	Crest! Glide version!
context: Yeah! Let's play more!\Okay!\I'm gonna toss it real hard this round!\That's high!\I'm sorry, Sink! Try your best!\But it really is a little too high.\Palladion. Form a staff! Make it fairly long!\Crest! Glide version! response:	Thanks. That's probably enough.
context: Okay!\I'm gonna toss it real hard this round!\That's high!\I'm sorry, Sink! Try your best!\But it really is a little too high.\Palladion. Form a staff! Make it fairly long!\Crest! Glide version!\Thanks. That's probably enough. response:	It's been a while since I last ran so much and yelled so loudly.
context: I'm gonna toss it real hard this round!\That's high!\I'm sorry, Sink! Try your best!\But it really is a little too high.\Palladion. Form a staff! Make it fairly long!\Crest! Glide version!\Thanks. That's probably enough.\It's been a while since I last ran so much and yelled so loudly. response:	But still, Sink, you're really amazing!
context: That's high!\I'm sorry, Sink! Try your best!\But it really is a little too high.\Palladion. Form a staff! Make it fairly long!\Crest! Glide version!\Thanks. That's probably enough.\It's been a while since I last ran so much and yelled so loudly.\But still, Sink, you're really amazing! response:	You're not only familiar with Ki-Power and Crest Attacks, you can also easily use Palladion.
context: I'm sorry, Sink! Try your best!\But it really is a little too high.\Palladion. Form a staff! Make it fairly long!\Crest! Glide version!\Thanks. That's probably enough.\It's been a while since I last ran so much and yelled so loudly.\But still, Sink, you're really amazing!\You're not only familiar with Ki-Power and Crest Attacks, you can also easily use Palladion. response:	Not only can you transform it into weapons, but you can decompose it and make it into objects too.
