context: Don't. response:	That is far enough. Do not touch Her Highness,
context: Don't.\That is far enough. Do not touch Her Highness, response:	Bat...
context: Don't.\That is far enough. Do not touch Her Highness,\Bat... response:	Andalusia Leader to all units. Target the transport only.
context: Don't.\That is far enough. Do not touch Her Highness,\Bat...\Andalusia Leader to all units. Target the transport only. response:	Even if they launch Kataphrakts, do not engage.
context: Don't.\That is far enough. Do not touch Her Highness,\Bat...\Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage. response:	We will use Kaufmann 6 as an anchor to perform wire swingby
context: Don't.\That is far enough. Do not touch Her Highness,\Bat...\Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby response:	and return to Trident Base.
context: Don't.\That is far enough. Do not touch Her Highness,\Bat...\Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base. response:	Good hunting, people.
context: Don't.\That is far enough. Do not touch Her Highness,\Bat...\Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base.\Good hunting, people. response:	Roger that.
context: That is far enough. Do not touch Her Highness,\Bat...\Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base.\Good hunting, people.\Roger that. response:	Target located.
context: Bat...\Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base.\Good hunting, people.\Roger that.\Target located. response:	All units, commence attack.
context: Andalusia Leader to all units. Target the transport only.\Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base.\Good hunting, people.\Roger that.\Target located.\All units, commence attack. response:	Wind's too strong... Our rounds are drifting!
context: Even if they launch Kataphrakts, do not engage.\We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base.\Good hunting, people.\Roger that.\Target located.\All units, commence attack.\Wind's too strong... Our rounds are drifting! response:	Stay calm! They're in the same boat!
context: We will use Kaufmann 6 as an anchor to perform wire swingby\and return to Trident Base.\Good hunting, people.\Roger that.\Target located.\All units, commence attack.\Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat! response:	Hit'em before they can get close!
context: and return to Trident Base.\Good hunting, people.\Roger that.\Target located.\All units, commence attack.\Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat!\Hit'em before they can get close! response:	Multiple high-density satellites!
context: Good hunting, people.\Roger that.\Target located.\All units, commence attack.\Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat!\Hit'em before they can get close!\Multiple high-density satellites! response:	We can't hit them at this range!
context: Roger that.\Target located.\All units, commence attack.\Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat!\Hit'em before they can get close!\Multiple high-density satellites!\We can't hit them at this range! response:	Don't hold back on the bullets! Keep firing!
context: Target located.\All units, commence attack.\Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat!\Hit'em before they can get close!\Multiple high-density satellites!\We can't hit them at this range!\Don't hold back on the bullets! Keep firing! response:	Andalusia 33, I'm hit!
context: All units, commence attack.\Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat!\Hit'em before they can get close!\Multiple high-density satellites!\We can't hit them at this range!\Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit! response:	Damage minor! Continuing missi
context: Wind's too strong... Our rounds are drifting!\Stay calm! They're in the same boat!\Hit'em before they can get close!\Multiple high-density satellites!\We can't hit them at this range!\Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit!\Damage minor! Continuing missi response:	Andalusia 33!
context: Stay calm! They're in the same boat!\Hit'em before they can get close!\Multiple high-density satellites!\We can't hit them at this range!\Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit!\Damage minor! Continuing missi\Andalusia 33! response:	Andalusia 22!
context: Hit'em before they can get close!\Multiple high-density satellites!\We can't hit them at this range!\Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit!\Damage minor! Continuing missi\Andalusia 33!\Andalusia 22! response:	That's not possible!
context: Multiple high-density satellites!\We can't hit them at this range!\Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit!\Damage minor! Continuing missi\Andalusia 33!\Andalusia 22!\That's not possible! response:	How can he land any shots in this wind?
context: We can't hit them at this range!\Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit!\Damage minor! Continuing missi\Andalusia 33!\Andalusia 22!\That's not possible!\How can he land any shots in this wind? response:	What in the world?
context: Don't hold back on the bullets! Keep firing!\Andalusia 33, I'm hit!\Damage minor! Continuing missi\Andalusia 33!\Andalusia 22!\That's not possible!\How can he land any shots in this wind?\What in the world? response:	Intense thermal reading approaching!
context: Andalusia 33, I'm hit!\Damage minor! Continuing missi\Andalusia 33!\Andalusia 22!\That's not possible!\How can he land any shots in this wind?\What in the world?\Intense thermal reading approaching! response:	An enemy?
context: Damage minor! Continuing missi\Andalusia 33!\Andalusia 22!\That's not possible!\How can he land any shots in this wind?\What in the world?\Intense thermal reading approaching!\An enemy? response:	No, sir!
context: Andalusia 33!\Andalusia 22!\That's not possible!\How can he land any shots in this wind?\What in the world?\Intense thermal reading approaching!\An enemy?\No, sir! response:	That's...
context: Andalusia 22!\That's not possible!\How can he land any shots in this wind?\What in the world?\Intense thermal reading approaching!\An enemy?\No, sir!\That's... response:	The Tharsis!
context: That's not possible!\How can he land any shots in this wind?\What in the world?\Intense thermal reading approaching!\An enemy?\No, sir!\That's...\The Tharsis! response:	Please get clear. I'll handle them.
context: How can he land any shots in this wind?\What in the world?\Intense thermal reading approaching!\An enemy?\No, sir!\That's...\The Tharsis!\Please get clear. I'll handle them. response:	Sir Slaine Troyard...
context: What in the world?\Intense thermal reading approaching!\An enemy?\No, sir!\That's...\The Tharsis!\Please get clear. I'll handle them.\Sir Slaine Troyard... response:	Andalusia 11!
context: Intense thermal reading approaching!\An enemy?\No, sir!\That's...\The Tharsis!\Please get clear. I'll handle them.\Sir Slaine Troyard...\Andalusia 11! response:	Bastard!
context: An enemy?\No, sir!\That's...\The Tharsis!\Please get clear. I'll handle them.\Sir Slaine Troyard...\Andalusia 11!\Bastard! response:	I'm not hitting... I'm this close, so how can that be?!
context: No, sir!\That's...\The Tharsis!\Please get clear. I'll handle them.\Sir Slaine Troyard...\Andalusia 11!\Bastard!\I'm not hitting... I'm this close, so how can that be?! response:	The blessings of my lady, Princess Royal Asseylum, are upon me.
context: That's...\The Tharsis!\Please get clear. I'll handle them.\Sir Slaine Troyard...\Andalusia 11!\Bastard!\I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me. response:	Slaine Troyard has come.
context: The Tharsis!\Please get clear. I'll handle them.\Sir Slaine Troyard...\Andalusia 11!\Bastard!\I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come. response:	Ever since I was young, I idolized Earth.
context: Please get clear. I'll handle them.\Sir Slaine Troyard...\Andalusia 11!\Bastard!\I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come.\Ever since I was young, I idolized Earth. response:	Its blue seas. Its blue skies.
context: Sir Slaine Troyard...\Andalusia 11!\Bastard!\I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come.\Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies. response:	That world has the privilege of water and air and sunlight,
context: Andalusia 11!\Bastard!\I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come.\Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight, response:	and is blessed with an abundance of life and natural resources.
context: Bastard!\I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come.\Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources. response:	I once lost my life on that world of Earth.
context: I'm not hitting... I'm this close, so how can that be?!\The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come.\Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth. response:	And then, my eyes were opened to the truth.
context: The blessings of my lady, Princess Royal Asseylum, are upon me.\Slaine Troyard has come.\Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth.\And then, my eyes were opened to the truth. response:	How outrageous it was for the Terrans
context: Slaine Troyard has come.\Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth.\And then, my eyes were opened to the truth.\How outrageous it was for the Terrans response:	to live among that bounty without appreciating it.
context: Ever since I was young, I idolized Earth.\Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth.\And then, my eyes were opened to the truth.\How outrageous it was for the Terrans\to live among that bounty without appreciating it. response:	A foolish race that covets resources, destroys nature,
