context: Fairy Tail has been completely absorbed by the hyperspace magic Anima, response:	which was used by an alternate world Edolas
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas response:	that has begun to lose its magic power.
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas\that has begun to lose its magic power. response:	Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas\that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends, response:	where they meet the members of the Edolas Fairy Tail.
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas\that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail. response:	Plus, Edolas's Erza is a captain in the Royal Army,
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas\that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army, response:	but is also known by the title Fairy Hunter Erza.
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas\that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza. response:	This is Edolas's Fairy Tail.
context: Fairy Tail has been completely absorbed by the hyperspace magic Anima,\which was used by an alternate world Edolas\that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail. response:	So, what again?
context: which was used by an alternate world Edolas\that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail.\So, what again? response:	You came from another world called Earthland, then...
context: that has begun to lose its magic power.\Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail.\So, what again?\You came from another world called Earthland, then... response:	And you came to Edolas in order to rescue your friends?
context: Natsu, Happy, Wendy, and Carla have headed to Edolas to rescue their friends,\where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail.\So, what again?\You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends? response:	Right.
