context: Madam Manager! Madam Manager! response:	I'll call the young master!
context: Madam Manager! Madam Manager!\I'll call the young master! response:	All I ever hear you say is the customer.
context: Madam Manager! Madam Manager!\I'll call the young master!\All I ever hear you say is the customer. response:	Because that's what this job is all about.
context: Madam Manager! Madam Manager!\I'll call the young master!\All I ever hear you say is the customer.\Because that's what this job is all about. response:	We'll find out who the mystery guest is
context: Madam Manager! Madam Manager!\I'll call the young master!\All I ever hear you say is the customer.\Because that's what this job is all about.\We'll find out who the mystery guest is response:	and show them the time of their life,
context: Madam Manager! Madam Manager!\I'll call the young master!\All I ever hear you say is the customer.\Because that's what this job is all about.\We'll find out who the mystery guest is\and show them the time of their life, response:	resulting in us scoring high in the rankings!
context: Madam Manager! Madam Manager!\I'll call the young master!\All I ever hear you say is the customer.\Because that's what this job is all about.\We'll find out who the mystery guest is\and show them the time of their life,\resulting in us scoring high in the rankings! response:	I can help out with the preparations for cooking,
context: Madam Manager! Madam Manager!\I'll call the young master!\All I ever hear you say is the customer.\Because that's what this job is all about.\We'll find out who the mystery guest is\and show them the time of their life,\resulting in us scoring high in the rankings!\I can help out with the preparations for cooking, response:	but I can't cook anything yet, and I...
context: I'll call the young master!\All I ever hear you say is the customer.\Because that's what this job is all about.\We'll find out who the mystery guest is\and show them the time of their life,\resulting in us scoring high in the rankings!\I can help out with the preparations for cooking,\but I can't cook anything yet, and I... response:	I can't be of any help,
context: All I ever hear you say is the customer.\Because that's what this job is all about.\We'll find out who the mystery guest is\and show them the time of their life,\resulting in us scoring high in the rankings!\I can help out with the preparations for cooking,\but I can't cook anything yet, and I...\I can't be of any help, response:	so...
context: Because that's what this job is all about.\We'll find out who the mystery guest is\and show them the time of their life,\resulting in us scoring high in the rankings!\I can help out with the preparations for cooking,\but I can't cook anything yet, and I...\I can't be of any help,\so... response:	All customers are equal,
context: We'll find out who the mystery guest is\and show them the time of their life,\resulting in us scoring high in the rankings!\I can help out with the preparations for cooking,\but I can't cook anything yet, and I...\I can't be of any help,\so...\All customers are equal, response:	thus, we need to treat them all equally.
context: and show them the time of their life,\resulting in us scoring high in the rankings!\I can help out with the preparations for cooking,\but I can't cook anything yet, and I...\I can't be of any help,\so...\All customers are equal,\thus, we need to treat them all equally. response:	That's what Madam Manager lives for!
context: resulting in us scoring high in the rankings!\I can help out with the preparations for cooking,\but I can't cook anything yet, and I...\I can't be of any help,\so...\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for! response:	That's what Kissuiso stands for!
context: I can help out with the preparations for cooking,\but I can't cook anything yet, and I...\I can't be of any help,\so...\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for! response:	Episode 9 The Longest Day at Kissuiso
context: but I can't cook anything yet, and I...\I can't be of any help,\so...\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso response:	The train stationed at
context: I can't be of any help,\so...\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso\The train stationed at response:	platform 9 headed for Morita will be
context: so...\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso\The train stationed at\platform 9 headed for Morita will be response:	leaving soon at 14:15.
context: All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso\The train stationed at\platform 9 headed for Morita will be\leaving soon at 14:15. response:	Sorry for interrupting while you're all having a great time,
context: thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso\The train stationed at\platform 9 headed for Morita will be\leaving soon at 14:15.\Sorry for interrupting while you're all having a great time, response:	but I'd like for you all
context: That's what Madam Manager lives for!\That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso\The train stationed at\platform 9 headed for Morita will be\leaving soon at 14:15.\Sorry for interrupting while you're all having a great time,\but I'd like for you all response:	to check out a performance by the
context: That's what Kissuiso stands for!\Episode 9 The Longest Day at Kissuiso\The train stationed at\platform 9 headed for Morita will be\leaving soon at 14:15.\Sorry for interrupting while you're all having a great time,\but I'd like for you all\to check out a performance by the response:	newlywed wife's friends!
context: Episode 9 The Longest Day at Kissuiso\The train stationed at\platform 9 headed for Morita will be\leaving soon at 14:15.\Sorry for interrupting while you're all having a great time,\but I'd like for you all\to check out a performance by the\newlywed wife's friends! response:	Here we go!
