context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The Wizard King gives stars to the Magic Knights Squads
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads response:	for every achievement they accomplish.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish. response:	The squads compete to obtain the most stars.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish.\The squads compete to obtain the most stars. response:	The Star Festival is where the number of stars each squad
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish.\The squads compete to obtain the most stars.\The Star Festival is where the number of stars each squad response:	has accumulated in that year is announced to the public.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish.\The squads compete to obtain the most stars.\The Star Festival is where the number of stars each squad\has accumulated in that year is announced to the public. response:	While the usually peaceful Star Festival was going on,
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish.\The squads compete to obtain the most stars.\The Star Festival is where the number of stars each squad\has accumulated in that year is announced to the public.\While the usually peaceful Star Festival was going on, response:	Yami and the captain of the Green Praying Mantises, Jack the Ripper,
context: He was called the Wizard King, and he became a legend.\The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish.\The squads compete to obtain the most stars.\The Star Festival is where the number of stars each squad\has accumulated in that year is announced to the public.\While the usually peaceful Star Festival was going on,\Yami and the captain of the Green Praying Mantises, Jack the Ripper, response:	decide to battle it out over something insignificant.
context: The Wizard King gives stars to the Magic Knights Squads\for every achievement they accomplish.\The squads compete to obtain the most stars.\The Star Festival is where the number of stars each squad\has accumulated in that year is announced to the public.\While the usually peaceful Star Festival was going on,\Yami and the captain of the Green Praying Mantises, Jack the Ripper,\decide to battle it out over something insignificant. response:	Abra and cadabra.
