context: As we continued ourjourney in pursuit of Naraku, response:	in a strange turn of events,
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events, response:	we ended up helping an old woman exorcist.
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events,\we ended up helping an old woman exorcist. response:	Iron-Reaver, Soul-Stealer!
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events,\we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer! response:	However, this exorcist is a bit suspect...
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events,\we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect... response:	since she can't even sense a demonic aura.
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events,\we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect...\since she can't even sense a demonic aura. response:	Through her, we were hired to exterminate a demon
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events,\we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect...\since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon response:	terrorizing Demon's Head Castle.
context: As we continued ourjourney in pursuit of Naraku,\in a strange turn of events,\we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect...\since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle. response:	And we learned of the clan's strange lord
context: in a strange turn of events,\we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect...\since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle.\And we learned of the clan's strange lord response:	and met his daughter, a dazzling beauty of a princess.
context: we ended up helping an old woman exorcist.\Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect...\since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle.\And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess. response:	Since the princess requests it,
context: Iron-Reaver, Soul-Stealer!\However, this exorcist is a bit suspect...\since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle.\And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess.\Since the princess requests it, response:	I shall exterminate this demon and free this castle.
context: However, this exorcist is a bit suspect...\since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle.\And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess.\Since the princess requests it,\I shall exterminate this demon and free this castle. response:	Wind Scar!
context: since she can't even sense a demonic aura.\Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle.\And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess.\Since the princess requests it,\I shall exterminate this demon and free this castle.\Wind Scar! response:	But on the night that the giant demon head appeared,
context: Through her, we were hired to exterminate a demon\terrorizing Demon's Head Castle.\And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess.\Since the princess requests it,\I shall exterminate this demon and free this castle.\Wind Scar!\But on the night that the giant demon head appeared, response:	Inuyasha's Wind Scarhad no effect.
context: terrorizing Demon's Head Castle.\And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess.\Since the princess requests it,\I shall exterminate this demon and free this castle.\Wind Scar!\But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect. response:	It is probably an illusion.
context: And we learned of the clan's strange lord\and met his daughter, a dazzling beauty of a princess.\Since the princess requests it,\I shall exterminate this demon and free this castle.\Wind Scar!\But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect.\It is probably an illusion. response:	But then, the true form must be somewhere else!
context: and met his daughter, a dazzling beauty of a princess.\Since the princess requests it,\I shall exterminate this demon and free this castle.\Wind Scar!\But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect.\It is probably an illusion.\But then, the true form must be somewhere else! response:	The lord... Ourlord!
context: Since the princess requests it,\I shall exterminate this demon and free this castle.\Wind Scar!\But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect.\It is probably an illusion.\But then, the true form must be somewhere else!\The lord... Ourlord! response:	Let him go!
context: I shall exterminate this demon and free this castle.\Wind Scar!\But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect.\It is probably an illusion.\But then, the true form must be somewhere else!\The lord... Ourlord!\Let him go! response:	So this is the true form of the demon.
context: Wind Scar!\But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect.\It is probably an illusion.\But then, the true form must be somewhere else!\The lord... Ourlord!\Let him go!\So this is the true form of the demon. response:	Damn you!
context: But on the night that the giant demon head appeared,\Inuyasha's Wind Scarhad no effect.\It is probably an illusion.\But then, the true form must be somewhere else!\The lord... Ourlord!\Let him go!\So this is the true form of the demon.\Damn you! response:	I added my own spiritual power to the exorcist's purification salt.
context: Inuyasha's Wind Scarhad no effect.\It is probably an illusion.\But then, the true form must be somewhere else!\The lord... Ourlord!\Let him go!\So this is the true form of the demon.\Damn you!\I added my own spiritual power to the exorcist's purification salt. response:	It seems to have some effect.
context: It is probably an illusion.\But then, the true form must be somewhere else!\The lord... Ourlord!\Let him go!\So this is the true form of the demon.\Damn you!\I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect. response:	But this is bad...
context: But then, the true form must be somewhere else!\The lord... Ourlord!\Let him go!\So this is the true form of the demon.\Damn you!\I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect.\But this is bad... response:	This demon is quite powerful.
context: The lord... Ourlord!\Let him go!\So this is the true form of the demon.\Damn you!\I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect.\But this is bad...\This demon is quite powerful. response:	And my body won't move due to the demonic aura.
context: Let him go!\So this is the true form of the demon.\Damn you!\I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect.\But this is bad...\This demon is quite powerful.\And my body won't move due to the demonic aura. response:	Monk, there's no help forthcoming.
context: So this is the true form of the demon.\Damn you!\I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect.\But this is bad...\This demon is quite powerful.\And my body won't move due to the demonic aura.\Monk, there's no help forthcoming. response:	Besides, that half-demon is probably fighting
context: Damn you!\I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect.\But this is bad...\This demon is quite powerful.\And my body won't move due to the demonic aura.\Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting response:	the lord back at the castle.
