context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart? response:	What's this? Have the seeds of love finally sprouted in your barren heart?
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart? response:	She left her hat in my car, so I simply wanted to inform her before she misses it.
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it. response:	Why don't you hand deliver it to her instead?
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead? response:	Those countries have always had bad blood between them.
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them. response:	This is just an outlet for their unbridled discontent.
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent. response:	It looks like there are those participating for the entertainment.
context: How to contact Luna Nova?\What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment. response:	Sure looks that way, yeah. They're using the opportunity to wreak havoc.
context: What's this now? Have the seeds of love finally sprouted in your withered heart?\What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc. response:	I think so too. They want to ride the wave and go wild.
context: What's this? Have the seeds of love finally sprouted in your barren heart?\She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild. response:	Look, it's the no goal wave.
context: She left her hat in my car, so I simply wanted to inform her before she misses it.\Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave. response:	It's a site where people go to
context: Why don't you hand deliver it to her instead?\Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave.\It's a site where people go to response:	This is a site where people come to let their hatred loose.
