context: Now, go. response:	You have your power now.
context: Now, go.\You have your power now. response:	The last place upon which you stand will become your true home.
context: Now, go.\You have your power now.\The last place upon which you stand will become your true home. response:	Chise!
context: Now, go.\You have your power now.\The last place upon which you stand will become your true home.\Chise! response:	Are you trying to mess with me?
context: Now, go.\You have your power now.\The last place upon which you stand will become your true home.\Chise!\Are you trying to mess with me? response:	Do you despise humans so much for tying you down?
context: Now, go.\You have your power now.\The last place upon which you stand will become your true home.\Chise!\Are you trying to mess with me?\Do you despise humans so much for tying you down? response:	She'll be back if she longs to come home.
context: Now, go.\You have your power now.\The last place upon which you stand will become your true home.\Chise!\Are you trying to mess with me?\Do you despise humans so much for tying you down?\She'll be back if she longs to come home. response:	Besides, it ought to be more convenient for you to keep her with you in a non-human form.
context: Now, go.\You have your power now.\The last place upon which you stand will become your true home.\Chise!\Are you trying to mess with me?\Do you despise humans so much for tying you down?\She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form. response:	A human life is more brittle than that of a failure born in the forest.
context: You have your power now.\The last place upon which you stand will become your true home.\Chise!\Are you trying to mess with me?\Do you despise humans so much for tying you down?\She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest. response:	You all avoid me, saying that's what I am.
context: The last place upon which you stand will become your true home.\Chise!\Are you trying to mess with me?\Do you despise humans so much for tying you down?\She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am. response:	But I hate the cold.
context: Chise!\Are you trying to mess with me?\Do you despise humans so much for tying you down?\She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am.\But I hate the cold. response:	How absolutely endearing.
context: Are you trying to mess with me?\Do you despise humans so much for tying you down?\She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am.\But I hate the cold.\How absolutely endearing. response:	It's so beautiful and fun.
context: Do you despise humans so much for tying you down?\She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am.\But I hate the cold.\How absolutely endearing.\It's so beautiful and fun. response:	I'm, um...
context: She'll be back if she longs to come home.\Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am.\But I hate the cold.\How absolutely endearing.\It's so beautiful and fun.\I'm, um... response:	What was I?
context: Besides, it ought to be more convenient for you to keep her with you in a non-human form.\A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am.\But I hate the cold.\How absolutely endearing.\It's so beautiful and fun.\I'm, um...\What was I? response:	Chise...
context: A human life is more brittle than that of a failure born in the forest.\You all avoid me, saying that's what I am.\But I hate the cold.\How absolutely endearing.\It's so beautiful and fun.\I'm, um...\What was I?\Chise... response:	It seems like someone's shouting by my ear.
context: You all avoid me, saying that's what I am.\But I hate the cold.\How absolutely endearing.\It's so beautiful and fun.\I'm, um...\What was I?\Chise...\It seems like someone's shouting by my ear. response:	How far should I go?
context: But I hate the cold.\How absolutely endearing.\It's so beautiful and fun.\I'm, um...\What was I?\Chise...\It seems like someone's shouting by my ear.\How far should I go? response:	I feel like I could go on forever.
context: How absolutely endearing.\It's so beautiful and fun.\I'm, um...\What was I?\Chise...\It seems like someone's shouting by my ear.\How far should I go?\I feel like I could go on forever. response:	To where there are no people.
context: It's so beautiful and fun.\I'm, um...\What was I?\Chise...\It seems like someone's shouting by my ear.\How far should I go?\I feel like I could go on forever.\To where there are no people. response:	Are you leaving?
context: I'm, um...\What was I?\Chise...\It seems like someone's shouting by my ear.\How far should I go?\I feel like I could go on forever.\To where there are no people.\Are you leaving? response:	I am.
context: What was I?\Chise...\It seems like someone's shouting by my ear.\How far should I go?\I feel like I could go on forever.\To where there are no people.\Are you leaving?\I am. response:	I'm being called.
context: Chise...\It seems like someone's shouting by my ear.\How far should I go?\I feel like I could go on forever.\To where there are no people.\Are you leaving?\I am.\I'm being called. response:	Where to?
context: It seems like someone's shouting by my ear.\How far should I go?\I feel like I could go on forever.\To where there are no people.\Are you leaving?\I am.\I'm being called.\Where to? response:	Over there.
context: How far should I go?\I feel like I could go on forever.\To where there are no people.\Are you leaving?\I am.\I'm being called.\Where to?\Over there. response:	Is that what you want?
context: I feel like I could go on forever.\To where there are no people.\Are you leaving?\I am.\I'm being called.\Where to?\Over there.\Is that what you want? response:	Yes, it's what I want.
context: To where there are no people.\Are you leaving?\I am.\I'm being called.\Where to?\Over there.\Is that what you want?\Yes, it's what I want. response:	If it's what you want, I'll go with you.
context: Are you leaving?\I am.\I'm being called.\Where to?\Over there.\Is that what you want?\Yes, it's what I want.\If it's what you want, I'll go with you. response:	But is there nothing left for you back there?
context: I am.\I'm being called.\Where to?\Over there.\Is that what you want?\Yes, it's what I want.\If it's what you want, I'll go with you.\But is there nothing left for you back there? response:	Back there?
context: I'm being called.\Where to?\Over there.\Is that what you want?\Yes, it's what I want.\If it's what you want, I'll go with you.\But is there nothing left for you back there?\Back there? response:	Chise.
context: Where to?\Over there.\Is that what you want?\Yes, it's what I want.\If it's what you want, I'll go with you.\But is there nothing left for you back there?\Back there?\Chise. response:	Chise, there is a lot that I still don't know.
context: Over there.\Is that what you want?\Yes, it's what I want.\If it's what you want, I'll go with you.\But is there nothing left for you back there?\Back there?\Chise.\Chise, there is a lot that I still don't know. response:	I need you with me.
context: Is that what you want?\Yes, it's what I want.\If it's what you want, I'll go with you.\But is there nothing left for you back there?\Back there?\Chise.\Chise, there is a lot that I still don't know.\I need you with me. response:	Do you really?
context: Yes, it's what I want.\If it's what you want, I'll go with you.\But is there nothing left for you back there?\Back there?\Chise.\Chise, there is a lot that I still don't know.\I need you with me.\Do you really? response:	Yes, I do.
context: If it's what you want, I'll go with you.\But is there nothing left for you back there?\Back there?\Chise.\Chise, there is a lot that I still don't know.\I need you with me.\Do you really?\Yes, I do. response:	Without you, it's so cold and lonely.
context: But is there nothing left for you back there?\Back there?\Chise.\Chise, there is a lot that I still don't know.\I need you with me.\Do you really?\Yes, I do.\Without you, it's so cold and lonely. response:	I hate the cold, too.
context: Back there?\Chise.\Chise, there is a lot that I still don't know.\I need you with me.\Do you really?\Yes, I do.\Without you, it's so cold and lonely.\I hate the cold, too. response:	So I'll go home.
