context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: Hear me, humans!\I'll leave Ente Isla in your hands for now. response:	But I will definitely return!
context: Hear me, humans!\I'll leave Ente Isla in your hands for now.\But I will definitely return! response:	And when I do, you and all of Ente Isla will be mine!
context: Hear me, humans!\I'll leave Ente Isla in your hands for now.\But I will definitely return!\And when I do, you and all of Ente Isla will be mine! response:	So they ran to the gate.
context: Hear me, humans!\I'll leave Ente Isla in your hands for now.\But I will definitely return!\And when I do, you and all of Ente Isla will be mine!\So they ran to the gate. response:	What now?
context: Hear me, humans!\I'll leave Ente Isla in your hands for now.\But I will definitely return!\And when I do, you and all of Ente Isla will be mine!\So they ran to the gate.\What now? response:	We must pursue.
context: Hear me, humans!\I'll leave Ente Isla in your hands for now.\But I will definitely return!\And when I do, you and all of Ente Isla will be mine!\So they ran to the gate.\What now?\We must pursue. response:	But we don't even know
context: Hear me, humans!\I'll leave Ente Isla in your hands for now.\But I will definitely return!\And when I do, you and all of Ente Isla will be mine!\So they ran to the gate.\What now?\We must pursue.\But we don't even know response:	where it'll take us!
context: I'll leave Ente Isla in your hands for now.\But I will definitely return!\And when I do, you and all of Ente Isla will be mine!\So they ran to the gate.\What now?\We must pursue.\But we don't even know\where it'll take us! response:	It doesn't matter which world he runs to.
context: But I will definitely return!\And when I do, you and all of Ente Isla will be mine!\So they ran to the gate.\What now?\We must pursue.\But we don't even know\where it'll take us!\It doesn't matter which world he runs to. response:	He can't hide.
context: And when I do, you and all of Ente Isla will be mine!\So they ran to the gate.\What now?\We must pursue.\But we don't even know\where it'll take us!\It doesn't matter which world he runs to.\He can't hide. response:	I will find him.
context: So they ran to the gate.\What now?\We must pursue.\But we don't even know\where it'll take us!\It doesn't matter which world he runs to.\He can't hide.\I will find him. response:	I'll find him
context: What now?\We must pursue.\But we don't even know\where it'll take us!\It doesn't matter which world he runs to.\He can't hide.\I will find him.\I'll find him response:	and kill him with my own hands!
context: We must pursue.\But we don't even know\where it'll take us!\It doesn't matter which world he runs to.\He can't hide.\I will find him.\I'll find him\and kill him with my own hands! response:	The Hero
context: But we don't even know\where it'll take us!\It doesn't matter which world he runs to.\He can't hide.\I will find him.\I'll find him\and kill him with my own hands!\The Hero response:	The Hero
context: where it'll take us!\It doesn't matter which world he runs to.\He can't hide.\I will find him.\I'll find him\and kill him with my own hands!\The Hero\The Hero response:	Puts Work First
