context: Woah. response:	Oh.
context: Woah.\Oh. response:	Yeah.
context: Woah.\Oh.\Yeah. response:	A god but you say Elhit?
context: Woah.\Oh.\Yeah.\A god but you say Elhit? response:	Arrgh!
context: Woah.\Oh.\Yeah.\A god but you say Elhit?\Arrgh! response:	I couldn't care less.
context: Woah.\Oh.\Yeah.\A god but you say Elhit?\Arrgh!\I couldn't care less. response:	I don't know...
context: Woah.\Oh.\Yeah.\A god but you say Elhit?\Arrgh!\I couldn't care less.\I don't know... response:	Me too.
context: Woah.\Oh.\Yeah.\A god but you say Elhit?\Arrgh!\I couldn't care less.\I don't know...\Me too. response:	Woah!
context: Oh.\Yeah.\A god but you say Elhit?\Arrgh!\I couldn't care less.\I don't know...\Me too.\Woah! response:	Woohoo! Yeah, got my third Vice!
context: Yeah.\A god but you say Elhit?\Arrgh!\I couldn't care less.\I don't know...\Me too.\Woah!\Woohoo! Yeah, got my third Vice! response:	It doesn't really matter.
context: A god but you say Elhit?\Arrgh!\I couldn't care less.\I don't know...\Me too.\Woah!\Woohoo! Yeah, got my third Vice!\It doesn't really matter. response:	You can't own a daemon.
context: Arrgh!\I couldn't care less.\I don't know...\Me too.\Woah!\Woohoo! Yeah, got my third Vice!\It doesn't really matter.\You can't own a daemon. response:	Same here.
context: I couldn't care less.\I don't know...\Me too.\Woah!\Woohoo! Yeah, got my third Vice!\It doesn't really matter.\You can't own a daemon.\Same here. response:	My Dear White God Elhit is a huge wolf, and has a big heart, so I don't think Dear Elhit would get mad because of that.
context: I don't know...\Me too.\Woah!\Woohoo! Yeah, got my third Vice!\It doesn't really matter.\You can't own a daemon.\Same here.\My Dear White God Elhit is a huge wolf, and has a big heart, so I don't think Dear Elhit would get mad because of that. response:	What the heck!
context: Me too.\Woah!\Woohoo! Yeah, got my third Vice!\It doesn't really matter.\You can't own a daemon.\Same here.\My Dear White God Elhit is a huge wolf, and has a big heart, so I don't think Dear Elhit would get mad because of that.\What the heck! response:	O-Oh... You don't say.
context: Woah!\Woohoo! Yeah, got my third Vice!\It doesn't really matter.\You can't own a daemon.\Same here.\My Dear White God Elhit is a huge wolf, and has a big heart, so I don't think Dear Elhit would get mad because of that.\What the heck!\O-Oh... You don't say. response:	Now that really doesn't fit you.
context: Woohoo! Yeah, got my third Vice!\It doesn't really matter.\You can't own a daemon.\Same here.\My Dear White God Elhit is a huge wolf, and has a big heart, so I don't think Dear Elhit would get mad because of that.\What the heck!\O-Oh... You don't say.\Now that really doesn't fit you. response:	Yeah, let's go.
