context: I'm Kagome Higurashi. response:	Born into an old and respected family of shrine keepers,
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers, response:	I'm a third-yearstudent in middle school living a normal life.
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life. response:	But on my 15th birthday,
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday, response:	I was dragged into the Feudal Era
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday,\I was dragged into the Feudal Era response:	by a demon who suddenly appeared from the shrine well.
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday,\I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well. response:	That's how I met the half-demon, Inuyasha.
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday,\I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha. response:	The Shikon Jewel is a treasure which increases the powerof a demon.
context: I'm Kagome Higurashi.\Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday,\I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon. response:	In orderto help Inuyasha and some others
context: Born into an old and respected family of shrine keepers,\I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday,\I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others response:	find the shards of the shattered Shikon Jewel,
context: I'm a third-yearstudent in middle school living a normal life.\But on my 15th birthday,\I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel, response:	I've been going back and forth between the real world and the feudal period.
context: But on my 15th birthday,\I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period. response:	But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.
context: I was dragged into the Feudal Era\by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku. response:	Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,
context: by a demon who suddenly appeared from the shrine well.\That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother, response:	Naraku lures Sesshomaru to his castle.
context: That's how I met the half-demon, Inuyasha.\The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle. response:	And just as Naraku was about to completely consume Sesshomaru's body,
context: The Shikon Jewel is a treasure which increases the powerof a demon.\In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body, response:	Inuyasha broke through Naraku's barrier and rushed into the castle.
context: In orderto help Inuyasha and some others\find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle. response:	Take this! Wind Scar!
context: find the shards of the shattered Shikon Jewel,\I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar! response:	My barrier!
context: I've been going back and forth between the real world and the feudal period.\But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar!\My barrier! response:	Die!
