context: Please, no! response:	Please don't eat me!
context: Please, no!\Please don't eat me! response:	Party is over
context: Please, no!\Please don't eat me!\Party is over response:	But I still wanna dance
context: Please, no!\Please don't eat me!\Party is over\But I still wanna dance response:	I can't even sleep
context: Please, no!\Please don't eat me!\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Please, no!\Please don't eat me!\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Please, no!\Please don't eat me!\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Please, no!\Please don't eat me!\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Please don't eat me!\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
