context: I'm Katsuki Yuri, a figure skater representing Japan response:	who's in the middle of the Grand Prix Series' Cup of China!
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China! response:	I ended the short program in first place after scoring a personal high score!
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score! response:	I'm now within reach of my first victory in a Grand Prix Series event!
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event! response:	Congratulations, Yuri.
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri. response:	We got really fired up!
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri.\We got really fired up! response:	That was the hottest performance ever!
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri.\We got really fired up!\That was the hottest performance ever! response:	Keep it up in your free program!
context: I'm Katsuki Yuri, a figure skater representing Japan\who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri.\We got really fired up!\That was the hottest performance ever!\Keep it up in your free program! response:	Yuri, that was awesome!
context: who's in the middle of the Grand Prix Series' Cup of China!\I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri.\We got really fired up!\That was the hottest performance ever!\Keep it up in your free program!\Yuri, that was awesome! response:	Awesome, awesome!
context: I ended the short program in first place after scoring a personal high score!\I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri.\We got really fired up!\That was the hottest performance ever!\Keep it up in your free program!\Yuri, that was awesome!\Awesome, awesome! response:	Good luck!
context: I'm now within reach of my first victory in a Grand Prix Series event!\Congratulations, Yuri.\We got really fired up!\That was the hottest performance ever!\Keep it up in your free program!\Yuri, that was awesome!\Awesome, awesome!\Good luck! response:	China's On! The Grand Prix Series Opening Event!!
context: Congratulations, Yuri.\We got really fired up!\That was the hottest performance ever!\Keep it up in your free program!\Yuri, that was awesome!\Awesome, awesome!\Good luck!\China's On! The Grand Prix Series Opening Event!! response:	Seventh Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Free Skate
context: We got really fired up!\That was the hottest performance ever!\Keep it up in your free program!\Yuri, that was awesome!\Awesome, awesome!\Good luck!\China's On! The Grand Prix Series Opening Event!!\Seventh Skate China's On! The Grand Prix Series Opening Event!! The Cup of China Free Skate response:	The Cup of China Free Skate.
