context: (gulps) response:	What's this?
context: (gulps)\What's this? response:	A key?
context: (gulps)\What's this?\A key? response:	A key to what, I wonder.
context: (gulps)\What's this?\A key?\A key to what, I wonder. response:	Could it have something to do with my promise?
context: (gulps)\What's this?\A key?\A key to what, I wonder.\Could it have something to do with my promise? response:	What are you doing up there?
context: (gulps)\What's this?\A key?\A key to what, I wonder.\Could it have something to do with my promise?\What are you doing up there? response:	Mistress, is something the matter?
context: (gulps)\What's this?\A key?\A key to what, I wonder.\Could it have something to do with my promise?\What are you doing up there?\Mistress, is something the matter? response:	You haven't had anything to eat since coming home.
context: (gulps)\What's this?\A key?\A key to what, I wonder.\Could it have something to do with my promise?\What are you doing up there?\Mistress, is something the matter?\You haven't had anything to eat since coming home. response:	Oh, that's right. It totally slipped my mind.
context: What's this?\A key?\A key to what, I wonder.\Could it have something to do with my promise?\What are you doing up there?\Mistress, is something the matter?\You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind. response:	Hey, Tsugumi.
context: A key?\A key to what, I wonder.\Could it have something to do with my promise?\What are you doing up there?\Mistress, is something the matter?\You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind.\Hey, Tsugumi. response:	Uh, do you know where I met my first love?
context: A key to what, I wonder.\Could it have something to do with my promise?\What are you doing up there?\Mistress, is something the matter?\You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind.\Hey, Tsugumi.\Uh, do you know where I met my first love? response:	Huh? Oh...
context: Could it have something to do with my promise?\What are you doing up there?\Mistress, is something the matter?\You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind.\Hey, Tsugumi.\Uh, do you know where I met my first love?\Huh? Oh... response:	I could probably find out if I looked into it.
context: What are you doing up there?\Mistress, is something the matter?\You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind.\Hey, Tsugumi.\Uh, do you know where I met my first love?\Huh? Oh...\I could probably find out if I looked into it. response:	Is something the matter?
context: Mistress, is something the matter?\You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind.\Hey, Tsugumi.\Uh, do you know where I met my first love?\Huh? Oh...\I could probably find out if I looked into it.\Is something the matter? response:	I just feel like checking it out.
context: You haven't had anything to eat since coming home.\Oh, that's right. It totally slipped my mind.\Hey, Tsugumi.\Uh, do you know where I met my first love?\Huh? Oh...\I could probably find out if I looked into it.\Is something the matter?\I just feel like checking it out. response:	Can you arrange for a ride tomorrow?
context: Oh, that's right. It totally slipped my mind.\Hey, Tsugumi.\Uh, do you know where I met my first love?\Huh? Oh...\I could probably find out if I looked into it.\Is something the matter?\I just feel like checking it out.\Can you arrange for a ride tomorrow? response:	What? B-But what about school?
context: Hey, Tsugumi.\Uh, do you know where I met my first love?\Huh? Oh...\I could probably find out if I looked into it.\Is something the matter?\I just feel like checking it out.\Can you arrange for a ride tomorrow?\What? B-But what about school? response:	School? What are you talking about?
context: Uh, do you know where I met my first love?\Huh? Oh...\I could probably find out if I looked into it.\Is something the matter?\I just feel like checking it out.\Can you arrange for a ride tomorrow?\What? B-But what about school?\School? What are you talking about? response:	Tomorrow's Saturday. We don't have school, remember?
context: Huh? Oh...\I could probably find out if I looked into it.\Is something the matter?\I just feel like checking it out.\Can you arrange for a ride tomorrow?\What? B-But what about school?\School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember? response:	No, we do. Have you forgotten, Mistress?
context: I could probably find out if I looked into it.\Is something the matter?\I just feel like checking it out.\Can you arrange for a ride tomorrow?\What? B-But what about school?\School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress? response:	Tomorrow is...
context: Is something the matter?\I just feel like checking it out.\Can you arrange for a ride tomorrow?\What? B-But what about school?\School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress?\Tomorrow is... response:	Our school field trip!
context: I just feel like checking it out.\Can you arrange for a ride tomorrow?\What? B-But what about school?\School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress?\Tomorrow is...\Our school field trip! response:	I-I forgot all about it!
context: Can you arrange for a ride tomorrow?\What? B-But what about school?\School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress?\Tomorrow is...\Our school field trip!\I-I forgot all about it! response:	Episode 9: Hot Springs
context: What? B-But what about school?\School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress?\Tomorrow is...\Our school field trip!\I-I forgot all about it!\Episode 9: Hot Springs response:	Episode 9: Hot Springs
