context: Ten years ago, somewhere in Tokyo. response:	Now, let's begin.
context: Ten years ago, somewhere in Tokyo.\Now, let's begin. response:	What should I do?
context: Ten years ago, somewhere in Tokyo.\Now, let's begin.\What should I do? response:	Just sing, like you always do.
context: Ten years ago, somewhere in Tokyo.\Now, let's begin.\What should I do?\Just sing, like you always do. response:	I love your songs, Setsuna.
context: Ten years ago, somewhere in Tokyo.\Now, let's begin.\What should I do?\Just sing, like you always do.\I love your songs, Setsuna. response:	Container shields deployed.
context: Ten years ago, somewhere in Tokyo.\Now, let's begin.\What should I do?\Just sing, like you always do.\I love your songs, Setsuna.\Container shields deployed. response:	Now, let me hear you sing.
context: Ten years ago, somewhere in Tokyo.\Now, let's begin.\What should I do?\Just sing, like you always do.\I love your songs, Setsuna.\Container shields deployed.\Now, let me hear you sing. response:	Wow...
context: Ten years ago, somewhere in Tokyo.\Now, let's begin.\What should I do?\Just sing, like you always do.\I love your songs, Setsuna.\Container shields deployed.\Now, let me hear you sing.\Wow... response:	The moment she started singing,
context: Now, let's begin.\What should I do?\Just sing, like you always do.\I love your songs, Setsuna.\Container shields deployed.\Now, let me hear you sing.\Wow...\The moment she started singing, response:	the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!
context: What should I do?\Just sing, like you always do.\I love your songs, Setsuna.\Container shields deployed.\Now, let me hear you sing.\Wow...\The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits! response:	High-density libido is materializing.
context: Just sing, like you always do.\I love your songs, Setsuna.\Container shields deployed.\Now, let me hear you sing.\Wow...\The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing. response:	Activating Orgone charger.
context: I love your songs, Setsuna.\Container shields deployed.\Now, let me hear you sing.\Wow...\The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing.\Activating Orgone charger. response:	This is the next generation of energy!
context: Container shields deployed.\Now, let me hear you sing.\Wow...\The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing.\Activating Orgone charger.\This is the next generation of energy! response:	Magnificent.
context: Now, let me hear you sing.\Wow...\The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing.\Activating Orgone charger.\This is the next generation of energy!\Magnificent. response:	Good morning, Lappa.
context: Wow...\The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing.\Activating Orgone charger.\This is the next generation of energy!\Magnificent.\Good morning, Lappa. response:	Good morning, Setsuna.
context: The moment she started singing,\the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing.\Activating Orgone charger.\This is the next generation of energy!\Magnificent.\Good morning, Lappa.\Good morning, Setsuna. response:	Good morning, Mao-san.
context: the brain wave electromagnetic resonance spectrum intensity increased by twelve digits!\High-density libido is materializing.\Activating Orgone charger.\This is the next generation of energy!\Magnificent.\Good morning, Lappa.\Good morning, Setsuna.\Good morning, Mao-san. response:	The hibiscus is blooming beautifully.
context: High-density libido is materializing.\Activating Orgone charger.\This is the next generation of energy!\Magnificent.\Good morning, Lappa.\Good morning, Setsuna.\Good morning, Mao-san.\The hibiscus is blooming beautifully. response:	It's so brilliantly colored.
context: Activating Orgone charger.\This is the next generation of energy!\Magnificent.\Good morning, Lappa.\Good morning, Setsuna.\Good morning, Mao-san.\The hibiscus is blooming beautifully.\It's so brilliantly colored. response:	I'm happy.
context: This is the next generation of energy!\Magnificent.\Good morning, Lappa.\Good morning, Setsuna.\Good morning, Mao-san.\The hibiscus is blooming beautifully.\It's so brilliantly colored.\I'm happy. response:	Through the Window of Setsuna
context: Magnificent.\Good morning, Lappa.\Good morning, Setsuna.\Good morning, Mao-san.\The hibiscus is blooming beautifully.\It's so brilliantly colored.\I'm happy.\Through the Window of Setsuna response:	Huh? Where's the Vice Commander?
