context: You are to light the lanterns hidden in the forest around us. response:	They're within 500 meter radius around the camp.
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp. response:	Those who can bring back a lit lantern without the fire going out during the next three days
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days response:	will receive the permission to take part in missions.
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions. response:	However, there are only three lanterns.
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns. response:	Which means that there are only three permissions.
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions. response:	We're in a dark forest. You'll be found out right away.
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away. response:	Huh?
context: You are to light the lanterns hidden in the forest around us.\They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away.\Huh? response:	I'm telling you not to use your flames.
context: They're within 500 meter radius around the camp.\Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames. response:	This training is designed to turn us against each other.
context: Those who can bring back a lit lantern without the fire going out during the next three days\will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\This training is designed to turn us against each other. response:	But if we do that...
context: will receive the permission to take part in missions.\However, there are only three lanterns.\Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\This training is designed to turn us against each other.\But if we do that... response:	It'd be suicide.
