context: Freeze! response:	Put your hands up and slowly turn this way!
context: Freeze!\Put your hands up and slowly turn this way! response:	Damn! A contractor, huh?
context: Freeze!\Put your hands up and slowly turn this way!\Damn! A contractor, huh? response:	The suspect is moving northeast.
context: Freeze!\Put your hands up and slowly turn this way!\Damn! A contractor, huh?\The suspect is moving northeast. response:	He's a contractor.
context: Freeze!\Put your hands up and slowly turn this way!\Damn! A contractor, huh?\The suspect is moving northeast.\He's a contractor. response:	GR544 activity acknowledged.
context: Freeze!\Put your hands up and slowly turn this way!\Damn! A contractor, huh?\The suspect is moving northeast.\He's a contractor.\GR544 activity acknowledged. response:	His alias is Louis, a French agent.
context: Freeze!\Put your hands up and slowly turn this way!\Damn! A contractor, huh?\The suspect is moving northeast.\He's a contractor.\GR544 activity acknowledged.\His alias is Louis, a French agent. response:	Affirmative, direction of the wind confirmed.
context: Freeze!\Put your hands up and slowly turn this way!\Damn! A contractor, huh?\The suspect is moving northeast.\He's a contractor.\GR544 activity acknowledged.\His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed. response:	Move the police to the east to circumvent him.
context: Put your hands up and slowly turn this way!\Damn! A contractor, huh?\The suspect is moving northeast.\He's a contractor.\GR544 activity acknowledged.\His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him. response:	Roger.
context: Damn! A contractor, huh?\The suspect is moving northeast.\He's a contractor.\GR544 activity acknowledged.\His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him.\Roger. response:	Notice to all personnel: the suspect is a contractor by the name of Louis.
context: The suspect is moving northeast.\He's a contractor.\GR544 activity acknowledged.\His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him.\Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis. response:	He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.
context: He's a contractor.\GR544 activity acknowledged.\His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him.\Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted. response:	Once confirmed, fire without hesitation.
context: GR544 activity acknowledged.\His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him.\Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation. response:	So that's the price of your contract, huh?
context: His alias is Louis, a French agent.\Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him.\Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation.\So that's the price of your contract, huh? response:	Pretty troublesome.
context: Affirmative, direction of the wind confirmed.\Move the police to the east to circumvent him.\Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation.\So that's the price of your contract, huh?\Pretty troublesome. response:	Observer apparition... A Doll?
context: Move the police to the east to circumvent him.\Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation.\So that's the price of your contract, huh?\Pretty troublesome.\Observer apparition... A Doll? response:	Where is it?
context: Roger.\Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation.\So that's the price of your contract, huh?\Pretty troublesome.\Observer apparition... A Doll?\Where is it? response:	I... I don't know.
context: Notice to all personnel: the suspect is a contractor by the name of Louis.\He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation.\So that's the price of your contract, huh?\Pretty troublesome.\Observer apparition... A Doll?\Where is it?\I... I don't know. response:	I'm telling the truth... a woman has the stash.
context: He has the ability to create a gravity block, therefore the use of automatic weapons is permitted.\Once confirmed, fire without hesitation.\So that's the price of your contract, huh?\Pretty troublesome.\Observer apparition... A Doll?\Where is it?\I... I don't know.\I'm telling the truth... a woman has the stash. response:	Where is she?
context: Once confirmed, fire without hesitation.\So that's the price of your contract, huh?\Pretty troublesome.\Observer apparition... A Doll?\Where is it?\I... I don't know.\I'm telling the truth... a woman has the stash.\Where is she? response:	Which syndicate are you from?
context: So that's the price of your contract, huh?\Pretty troublesome.\Observer apparition... A Doll?\Where is it?\I... I don't know.\I'm telling the truth... a woman has the stash.\Where is she?\Which syndicate are you from? response:	Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.
context: Pretty troublesome.\Observer apparition... A Doll?\Where is it?\I... I don't know.\I'm telling the truth... a woman has the stash.\Where is she?\Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you. response:	A practical decision indeed, typical of a contractor.
context: Observer apparition... A Doll?\Where is it?\I... I don't know.\I'm telling the truth... a woman has the stash.\Where is she?\Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor. response:	Tell me more about it.
context: Where is it?\I... I don't know.\I'm telling the truth... a woman has the stash.\Where is she?\Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor.\Tell me more about it. response:	Yin, where are the police?
context: I... I don't know.\I'm telling the truth... a woman has the stash.\Where is she?\Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor.\Tell me more about it.\Yin, where are the police? response:	You have three minutes.
context: I'm telling the truth... a woman has the stash.\Where is she?\Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor.\Tell me more about it.\Yin, where are the police?\You have three minutes. response:	They're passing through Point A.
context: Where is she?\Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor.\Tell me more about it.\Yin, where are the police?\You have three minutes.\They're passing through Point A. response:	It's about time.
context: Which syndicate are you from?\Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor.\Tell me more about it.\Yin, where are the police?\You have three minutes.\They're passing through Point A.\It's about time. response:	Let's pull out.
context: Depending on the terms, I can retrieve the goods from the woman and have it delivered to you.\A practical decision indeed, typical of a contractor.\Tell me more about it.\Yin, where are the police?\You have three minutes.\They're passing through Point A.\It's about time.\Let's pull out. response:	Wait...
context: A practical decision indeed, typical of a contractor.\Tell me more about it.\Yin, where are the police?\You have three minutes.\They're passing through Point A.\It's about time.\Let's pull out.\Wait... response:	If I don't come with you, the woman won't hand over the goods...
context: Tell me more about it.\Yin, where are the police?\You have three minutes.\They're passing through Point A.\It's about time.\Let's pull out.\Wait...\If I don't come with you, the woman won't hand over the goods... response:	Hei, no!
context: Yin, where are the police?\You have three minutes.\They're passing through Point A.\It's about time.\Let's pull out.\Wait...\If I don't come with you, the woman won't hand over the goods...\Hei, no! response:	We can still use him.
context: You have three minutes.\They're passing through Point A.\It's about time.\Let's pull out.\Wait...\If I don't come with you, the woman won't hand over the goods...\Hei, no!\We can still use him. response:	People like you make me sick.
context: They're passing through Point A.\It's about time.\Let's pull out.\Wait...\If I don't come with you, the woman won't hand over the goods...\Hei, no!\We can still use him.\People like you make me sick. response:	Hei!
context: It's about time.\Let's pull out.\Wait...\If I don't come with you, the woman won't hand over the goods...\Hei, no!\We can still use him.\People like you make me sick.\Hei! response:	Boss, a star just passed by.
context: Let's pull out.\Wait...\If I don't come with you, the woman won't hand over the goods...\Hei, no!\We can still use him.\People like you make me sick.\Hei!\Boss, a star just passed by. response:	I know.
context: Wait...\If I don't come with you, the woman won't hand over the goods...\Hei, no!\We can still use him.\People like you make me sick.\Hei!\Boss, a star just passed by.\I know. response:	Ten years have passed since its appearance...
context: If I don't come with you, the woman won't hand over the goods...\Hei, no!\We can still use him.\People like you make me sick.\Hei!\Boss, a star just passed by.\I know.\Ten years have passed since its appearance... response:	It's getting difficult to remember how the scenery looked before the wall was there.
context: Hei, no!\We can still use him.\People like you make me sick.\Hei!\Boss, a star just passed by.\I know.\Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there. response:	What took place that day...
context: We can still use him.\People like you make me sick.\Hei!\Boss, a star just passed by.\I know.\Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day... response:	and what lies beyond it...
context: People like you make me sick.\Hei!\Boss, a star just passed by.\I know.\Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day...\and what lies beyond it... response:	No one knows.
context: Hei!\Boss, a star just passed by.\I know.\Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day...\and what lies beyond it...\No one knows. response:	The only thing mankind could do was build a tall wall and conceal everything.
context: Boss, a star just passed by.\I know.\Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day...\and what lies beyond it...\No one knows.\The only thing mankind could do was build a tall wall and conceal everything. response:	It was referred to as Hell's Gate.
context: I know.\Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day...\and what lies beyond it...\No one knows.\The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate. response:	Beings with unique abilities, called contractors,
context: Ten years have passed since its appearance...\It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day...\and what lies beyond it...\No one knows.\The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate.\Beings with unique abilities, called contractors, response:	and the existence of passive mediums called Dolls
context: It's getting difficult to remember how the scenery looked before the wall was there.\What took place that day...\and what lies beyond it...\No one knows.\The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate.\Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls response:	were said to have been identified one week after the appearance of the gate.
context: What took place that day...\and what lies beyond it...\No one knows.\The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate.\Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate. response:	Tokyo Metropolitan Police Hatsudai Provisional Office
context: and what lies beyond it...\No one knows.\The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate.\Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office response:	Goes by the alias of Louis, his actual name is unknown.
context: No one knows.\The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate.\Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown. response:	An agent contractor who's said to have connections with the French Foreign Security Secretariat.
context: The only thing mankind could do was build a tall wall and conceal everything.\It was referred to as Hell's Gate.\Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat. response:	His Messier code is GR554.
context: It was referred to as Hell's Gate.\Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554. response:	He has the ability to create a gravity block.
context: Beings with unique abilities, called contractors,\and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554.\He has the ability to create a gravity block. response:	At this moment in time, French authorities are denying any involvement.
context: and the existence of passive mediums called Dolls\were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554.\He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement. response:	Cause of death?
context: were said to have been identified one week after the appearance of the gate.\Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554.\He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement.\Cause of death? response:	Unknown. There were no traces of asphyxiation or reactions to chemicals.
context: Tokyo Metropolitan Police Hatsudai Provisional Office\Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554.\He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement.\Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals. response:	Do you think it's the act of a contractor?
context: Goes by the alias of Louis, his actual name is unknown.\An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554.\He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement.\Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor? response:	According to reports from the Division of Astronomy,
context: An agent contractor who's said to have connections with the French Foreign Security Secretariat.\His Messier code is GR554.\He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement.\Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor?\According to reports from the Division of Astronomy, response:	the stellar number of the prime suspect who was most active during that time was...
context: His Messier code is GR554.\He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement.\Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor?\According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was... response:	BK201, an unidentified number.
context: He has the ability to create a gravity block.\At this moment in time, French authorities are denying any involvement.\Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor?\According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number. response:	Unidentified?
