context: You've been having things your way for a while... response:	But your reign ends here.
context: You've been having things your way for a while...\But your reign ends here. response:	Take that, and that, and that!
context: You've been having things your way for a while...\But your reign ends here.\Take that, and that, and that! response:	Ogre
context: You've been having things your way for a while...\But your reign ends here.\Take that, and that, and that!\Ogre response:	Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!
context: You've been having things your way for a while...\But your reign ends here.\Take that, and that, and that!\Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape! response:	Good grief. You just don't get it.
context: You've been having things your way for a while...\But your reign ends here.\Take that, and that, and that!\Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it. response:	Home
context: You've been having things your way for a while...\But your reign ends here.\Take that, and that, and that!\Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it.\Home response:	If you want to trap someone...
context: You've been having things your way for a while...\But your reign ends here.\Take that, and that, and that!\Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it.\Home\If you want to trap someone... response:	this is how you do it.
context: But your reign ends here.\Take that, and that, and that!\Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it.\Home\If you want to trap someone...\this is how you do it. response:	Take this!
context: Take that, and that, and that!\Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it.\Home\If you want to trap someone...\this is how you do it.\Take this! response:	Bunny bun bun!
context: Ogre\Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it.\Home\If you want to trap someone...\this is how you do it.\Take this!\Bunny bun bun! response:	Home
context: Consecutive low, weak kicks! This is a strategy I figured out so you can't escape!\Good grief. You just don't get it.\Home\If you want to trap someone...\this is how you do it.\Take this!\Bunny bun bun!\Home response:	Dokishisu
context: Good grief. You just don't get it.\Home\If you want to trap someone...\this is how you do it.\Take this!\Bunny bun bun!\Home\Dokishisu response:	One more time!
context: Home\If you want to trap someone...\this is how you do it.\Take this!\Bunny bun bun!\Home\Dokishisu\One more time! response:	Bunny bun bun!
context: If you want to trap someone...\this is how you do it.\Take this!\Bunny bun bun!\Home\Dokishisu\One more time!\Bunny bun bun! response:	This is shit! This game is shit!
context: this is how you do it.\Take this!\Bunny bun bun!\Home\Dokishisu\One more time!\Bunny bun bun!\This is shit! This game is shit! response:	That's all he could say
context: Take this!\Bunny bun bun!\Home\Dokishisu\One more time!\Bunny bun bun!\This is shit! This game is shit!\That's all he could say response:	The heck is this?
context: Bunny bun bun!\Home\Dokishisu\One more time!\Bunny bun bun!\This is shit! This game is shit!\That's all he could say\The heck is this? response:	Oh, those were distributed to a handful of heroes.
context: Home\Dokishisu\One more time!\Bunny bun bun!\This is shit! This game is shit!\That's all he could say\The heck is this?\Oh, those were distributed to a handful of heroes. response:	It's apparently still a prototype, though.
context: Dokishisu\One more time!\Bunny bun bun!\This is shit! This game is shit!\That's all he could say\The heck is this?\Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though. response:	It's a terminal for receiving backup requests and the latest intel immediately.
context: One more time!\Bunny bun bun!\This is shit! This game is shit!\That's all he could say\The heck is this?\Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately. response:	I didn't get one.
context: Bunny bun bun!\This is shit! This game is shit!\That's all he could say\The heck is this?\Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one. response:	Huh?
context: This is shit! This game is shit!\That's all he could say\The heck is this?\Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one.\Huh? response:	Oh... Maybe they think you can't handle buttons and stuff very well.
context: That's all he could say\The heck is this?\Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one.\Huh?\Oh... Maybe they think you can't handle buttons and stuff very well. response:	One more time!
context: The heck is this?\Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one.\Huh?\Oh... Maybe they think you can't handle buttons and stuff very well.\One more time! response:	Next time, I'm going to use even faster consecutive low, weak kicks and win!
context: Oh, those were distributed to a handful of heroes.\It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one.\Huh?\Oh... Maybe they think you can't handle buttons and stuff very well.\One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win! response:	A message has arrived from the Monster Association!
context: It's apparently still a prototype, though.\It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one.\Huh?\Oh... Maybe they think you can't handle buttons and stuff very well.\One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association! response:	A message has arrived from the Monster Association!
context: It's a terminal for receiving backup requests and the latest intel immediately.\I didn't get one.\Huh?\Oh... Maybe they think you can't handle buttons and stuff very well.\One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association!\A message has arrived from the Monster Association! response:	He's been taken over by some parasite!
context: I didn't get one.\Huh?\Oh... Maybe they think you can't handle buttons and stuff very well.\One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association!\A message has arrived from the Monster Association!\He's been taken over by some parasite! response:	Call all the resident heroes!
context: Huh?\Oh... Maybe they think you can't handle buttons and stuff very well.\One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association!\A message has arrived from the Monster Association!\He's been taken over by some parasite!\Call all the resident heroes! response:	Hello? This is the west wing, floor 2, conference room 7!
context: Oh... Maybe they think you can't handle buttons and stuff very well.\One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association!\A message has arrived from the Monster Association!\He's been taken over by some parasite!\Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7! response:	Should I shoot?
context: One more time!\Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association!\A message has arrived from the Monster Association!\He's been taken over by some parasite!\Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7!\Should I shoot? response:	Yes, shoot!
context: Next time, I'm going to use even faster consecutive low, weak kicks and win!\A message has arrived from the Monster Association!\A message has arrived from the Monster Association!\He's been taken over by some parasite!\Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7!\Should I shoot?\Yes, shoot! response:	Wait!
context: A message has arrived from the Monster Association!\A message has arrived from the Monster Association!\He's been taken over by some parasite!\Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7!\Should I shoot?\Yes, shoot!\Wait! response:	Listen to the message!
context: A message has arrived from the Monster Association!\He's been taken over by some parasite!\Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7!\Should I shoot?\Yes, shoot!\Wait!\Listen to the message! response:	The Encircling Net of Justice
context: He's been taken over by some parasite!\Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7!\Should I shoot?\Yes, shoot!\Wait!\Listen to the message!\The Encircling Net of Justice response:	It's a pleasure to meet you, ladies and gentlemen of the Hero Association.
