context: Up you go! response:	And, again!
context: Up you go!\And, again! response:	Hang on a minute.
context: Up you go!\And, again!\Hang on a minute. response:	I'm almost done.
context: Up you go!\And, again!\Hang on a minute.\I'm almost done. response:	Get off the counter!
context: Up you go!\And, again!\Hang on a minute.\I'm almost done.\Get off the counter! response:	Morning.
context: Up you go!\And, again!\Hang on a minute.\I'm almost done.\Get off the counter!\Morning. response:	Good morning.
context: Up you go!\And, again!\Hang on a minute.\I'm almost done.\Get off the counter!\Morning.\Good morning. response:	And down you go.
context: Up you go!\And, again!\Hang on a minute.\I'm almost done.\Get off the counter!\Morning.\Good morning.\And down you go. response:	Wakana, can I get some food?
context: And, again!\Hang on a minute.\I'm almost done.\Get off the counter!\Morning.\Good morning.\And down you go.\Wakana, can I get some food? response:	In a sec. I'm feeding Dora first.
context: Hang on a minute.\I'm almost done.\Get off the counter!\Morning.\Good morning.\And down you go.\Wakana, can I get some food?\In a sec. I'm feeding Dora first. response:	For you.
context: I'm almost done.\Get off the counter!\Morning.\Good morning.\And down you go.\Wakana, can I get some food?\In a sec. I'm feeding Dora first.\For you. response:	And you.
context: Get off the counter!\Morning.\Good morning.\And down you go.\Wakana, can I get some food?\In a sec. I'm feeding Dora first.\For you.\And you. response:	What is this?
context: Morning.\Good morning.\And down you go.\Wakana, can I get some food?\In a sec. I'm feeding Dora first.\For you.\And you.\What is this? response:	Leftovers from last night.
context: Good morning.\And down you go.\Wakana, can I get some food?\In a sec. I'm feeding Dora first.\For you.\And you.\What is this?\Leftovers from last night. response:	Hey.
context: And down you go.\Wakana, can I get some food?\In a sec. I'm feeding Dora first.\For you.\And you.\What is this?\Leftovers from last night.\Hey. response:	It's because you always make too much for dinner, Dad.
context: Wakana, can I get some food?\In a sec. I'm feeding Dora first.\For you.\And you.\What is this?\Leftovers from last night.\Hey.\It's because you always make too much for dinner, Dad. response:	You could at least jazz it up with some egg or sauce, or something.
context: In a sec. I'm feeding Dora first.\For you.\And you.\What is this?\Leftovers from last night.\Hey.\It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something. response:	I have to go now,
context: For you.\And you.\What is this?\Leftovers from last night.\Hey.\It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something.\I have to go now, response:	so please wash the dishes when you're done.
context: And you.\What is this?\Leftovers from last night.\Hey.\It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something.\I have to go now,\so please wash the dishes when you're done. response:	What?
context: What is this?\Leftovers from last night.\Hey.\It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something.\I have to go now,\so please wash the dishes when you're done.\What? response:	Don't what me.
context: Leftovers from last night.\Hey.\It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something.\I have to go now,\so please wash the dishes when you're done.\What?\Don't what me. response:	And you should get up earlier.
context: Hey.\It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something.\I have to go now,\so please wash the dishes when you're done.\What?\Don't what me.\And you should get up earlier. response:	Don't click your tongue at me.
context: It's because you always make too much for dinner, Dad.\You could at least jazz it up with some egg or sauce, or something.\I have to go now,\so please wash the dishes when you're done.\What?\Don't what me.\And you should get up earlier.\Don't click your tongue at me. response:	I'm off.
context: You could at least jazz it up with some egg or sauce, or something.\I have to go now,\so please wash the dishes when you're done.\What?\Don't what me.\And you should get up earlier.\Don't click your tongue at me.\I'm off. response:	Huh?
context: I have to go now,\so please wash the dishes when you're done.\What?\Don't what me.\And you should get up earlier.\Don't click your tongue at me.\I'm off.\Huh? response:	Hey, do you know what happened to the flowers I left here?
context: so please wash the dishes when you're done.\What?\Don't what me.\And you should get up earlier.\Don't click your tongue at me.\I'm off.\Huh?\Hey, do you know what happened to the flowers I left here? response:	I planted them.
context: What?\Don't what me.\And you should get up earlier.\Don't click your tongue at me.\I'm off.\Huh?\Hey, do you know what happened to the flowers I left here?\I planted them. response:	You planted them?
context: Don't what me.\And you should get up earlier.\Don't click your tongue at me.\I'm off.\Huh?\Hey, do you know what happened to the flowers I left here?\I planted them.\You planted them? response:	In the garden.
context: And you should get up earlier.\Don't click your tongue at me.\I'm off.\Huh?\Hey, do you know what happened to the flowers I left here?\I planted them.\You planted them?\In the garden. response:	Why?
context: Don't click your tongue at me.\I'm off.\Huh?\Hey, do you know what happened to the flowers I left here?\I planted them.\You planted them?\In the garden.\Why? response:	You looked busy.
context: I'm off.\Huh?\Hey, do you know what happened to the flowers I left here?\I planted them.\You planted them?\In the garden.\Why?\You looked busy. response:	I told you I was taking those to school!
context: Huh?\Hey, do you know what happened to the flowers I left here?\I planted them.\You planted them?\In the garden.\Why?\You looked busy.\I told you I was taking those to school! response:	You did? When?
context: Hey, do you know what happened to the flowers I left here?\I planted them.\You planted them?\In the garden.\Why?\You looked busy.\I told you I was taking those to school!\You did? When? response:	I can't believe this!
context: I planted them.\You planted them?\In the garden.\Why?\You looked busy.\I told you I was taking those to school!\You did? When?\I can't believe this! response:	Have a good day.
context: You planted them?\In the garden.\Why?\You looked busy.\I told you I was taking those to school!\You did? When?\I can't believe this!\Have a good day. response:	Bye!
context: In the garden.\Why?\You looked busy.\I told you I was taking those to school!\You did? When?\I can't believe this!\Have a good day.\Bye! response:	Episode 1 Running and Inviting
context: Why?\You looked busy.\I told you I was taking those to school!\You did? When?\I can't believe this!\Have a good day.\Bye!\Episode 1 Running and Inviting response:	Sabure, whoa.
context: You looked busy.\I told you I was taking those to school!\You did? When?\I can't believe this!\Have a good day.\Bye!\Episode 1 Running and Inviting\Sabure, whoa. response:	Miyamoto!
context: I told you I was taking those to school!\You did? When?\I can't believe this!\Have a good day.\Bye!\Episode 1 Running and Inviting\Sabure, whoa.\Miyamoto! response:	Oh, good morning.
context: You did? When?\I can't believe this!\Have a good day.\Bye!\Episode 1 Running and Inviting\Sabure, whoa.\Miyamoto!\Oh, good morning. response:	On your way to practice, too?
context: I can't believe this!\Have a good day.\Bye!\Episode 1 Running and Inviting\Sabure, whoa.\Miyamoto!\Oh, good morning.\On your way to practice, too? response:	Yeah.
