context: Stella! response:	She's alive.
context: Stella!\She's alive. response:	She isn't as pale as she was before.
context: Stella!\She's alive.\She isn't as pale as she was before. response:	You must be dizzy.
context: Stella!\She's alive.\She isn't as pale as she was before.\You must be dizzy. response:	Come here.
context: Stella!\She's alive.\She isn't as pale as she was before.\You must be dizzy.\Come here. response:	It's not dead.
context: Stella!\She's alive.\She isn't as pale as she was before.\You must be dizzy.\Come here.\It's not dead. response:	Long time no see.
context: Stella!\She's alive.\She isn't as pale as she was before.\You must be dizzy.\Come here.\It's not dead.\Long time no see. response:	Joseph.
context: Stella!\She's alive.\She isn't as pale as she was before.\You must be dizzy.\Come here.\It's not dead.\Long time no see.\Joseph. response:	When did we last meet? At the graveyard?
context: She's alive.\She isn't as pale as she was before.\You must be dizzy.\Come here.\It's not dead.\Long time no see.\Joseph.\When did we last meet? At the graveyard? response:	I could never forget you after what you'd done to me.
context: She isn't as pale as she was before.\You must be dizzy.\Come here.\It's not dead.\Long time no see.\Joseph.\When did we last meet? At the graveyard?\I could never forget you after what you'd done to me. response:	He doesn't remember.
context: You must be dizzy.\Come here.\It's not dead.\Long time no see.\Joseph.\When did we last meet? At the graveyard?\I could never forget you after what you'd done to me.\He doesn't remember. response:	You always cause me so much trouble.
context: Come here.\It's not dead.\Long time no see.\Joseph.\When did we last meet? At the graveyard?\I could never forget you after what you'd done to me.\He doesn't remember.\You always cause me so much trouble. response:	Well, it's fine.
context: It's not dead.\Long time no see.\Joseph.\When did we last meet? At the graveyard?\I could never forget you after what you'd done to me.\He doesn't remember.\You always cause me so much trouble.\Well, it's fine. response:	You accepted my deal, after all.
context: Long time no see.\Joseph.\When did we last meet? At the graveyard?\I could never forget you after what you'd done to me.\He doesn't remember.\You always cause me so much trouble.\Well, it's fine.\You accepted my deal, after all. response:	You're the same as me.
context: Joseph.\When did we last meet? At the graveyard?\I could never forget you after what you'd done to me.\He doesn't remember.\You always cause me so much trouble.\Well, it's fine.\You accepted my deal, after all.\You're the same as me. response:	Your curse is as powerful as mine.
context: When did we last meet? At the graveyard?\I could never forget you after what you'd done to me.\He doesn't remember.\You always cause me so much trouble.\Well, it's fine.\You accepted my deal, after all.\You're the same as me.\Your curse is as powerful as mine. response:	I'm cursed to live on forever.
context: I could never forget you after what you'd done to me.\He doesn't remember.\You always cause me so much trouble.\Well, it's fine.\You accepted my deal, after all.\You're the same as me.\Your curse is as powerful as mine.\I'm cursed to live on forever. response:	You're cursed to die.
context: He doesn't remember.\You always cause me so much trouble.\Well, it's fine.\You accepted my deal, after all.\You're the same as me.\Your curse is as powerful as mine.\I'm cursed to live on forever.\You're cursed to die. response:	So give me your left arm.
context: You always cause me so much trouble.\Well, it's fine.\You accepted my deal, after all.\You're the same as me.\Your curse is as powerful as mine.\I'm cursed to live on forever.\You're cursed to die.\So give me your left arm. response:	It's my arm that you want?
context: Well, it's fine.\You accepted my deal, after all.\You're the same as me.\Your curse is as powerful as mine.\I'm cursed to live on forever.\You're cursed to die.\So give me your left arm.\It's my arm that you want? response:	Yeah.
context: You accepted my deal, after all.\You're the same as me.\Your curse is as powerful as mine.\I'm cursed to live on forever.\You're cursed to die.\So give me your left arm.\It's my arm that you want?\Yeah. response:	That part looks the most usable right now.
context: You're the same as me.\Your curse is as powerful as mine.\I'm cursed to live on forever.\You're cursed to die.\So give me your left arm.\It's my arm that you want?\Yeah.\That part looks the most usable right now. response:	I'll give you a part of me in exchange.
context: Your curse is as powerful as mine.\I'm cursed to live on forever.\You're cursed to die.\So give me your left arm.\It's my arm that you want?\Yeah.\That part looks the most usable right now.\I'll give you a part of me in exchange. response:	That way, you'll have a body that can never die.
context: I'm cursed to live on forever.\You're cursed to die.\So give me your left arm.\It's my arm that you want?\Yeah.\That part looks the most usable right now.\I'll give you a part of me in exchange.\That way, you'll have a body that can never die. response:	I can't trust you.
