context: Class 7 Special Hazard Organisms. response:	Everything has been thrown into chaos because of them.
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them. response:	Including your plan to liberate Dorssia?
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia? response:	I was once asked by Captain Cain to secretly investigate you since you're a formal royal.
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal. response:	Rejoice, H-neun.
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun. response:	X-eins' flesh will soon belong to my comrade.
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade. response:	Bastard!
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade.\Bastard! response:	I think it's time for a gun salute, don't you?
context: Class 7 Special Hazard Organisms.\Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade.\Bastard!\I think it's time for a gun salute, don't you? response:	Was that... It can't be!
context: Everything has been thrown into chaos because of them.\Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade.\Bastard!\I think it's time for a gun salute, don't you?\Was that... It can't be! response:	It is. It was Captain Cain who killed H-neun.
context: Including your plan to liberate Dorssia?\I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade.\Bastard!\I think it's time for a gun salute, don't you?\Was that... It can't be!\It is. It was Captain Cain who killed H-neun. response:	I want to avenge H-neun...
context: I was once asked by Captain Cain to secretly investigate you since you're a formal royal.\Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade.\Bastard!\I think it's time for a gun salute, don't you?\Was that... It can't be!\It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun... response:	I want to avenge my friend!
context: Rejoice, H-neun.\X-eins' flesh will soon belong to my comrade.\Bastard!\I think it's time for a gun salute, don't you?\Was that... It can't be!\It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun...\I want to avenge my friend! response:	It's too much for them!
context: X-eins' flesh will soon belong to my comrade.\Bastard!\I think it's time for a gun salute, don't you?\Was that... It can't be!\It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun...\I want to avenge my friend!\It's too much for them! response:	We'll make it, don't give up!
context: Bastard!\I think it's time for a gun salute, don't you?\Was that... It can't be!\It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun...\I want to avenge my friend!\It's too much for them!\We'll make it, don't give up! response:	Oh, crap!
context: I think it's time for a gun salute, don't you?\Was that... It can't be!\It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun...\I want to avenge my friend!\It's too much for them!\We'll make it, don't give up!\Oh, crap! response:	Carmilla?
context: Was that... It can't be!\It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun...\I want to avenge my friend!\It's too much for them!\We'll make it, don't give up!\Oh, crap!\Carmilla? response:	It's Unit 4!
context: It is. It was Captain Cain who killed H-neun.\I want to avenge H-neun...\I want to avenge my friend!\It's too much for them!\We'll make it, don't give up!\Oh, crap!\Carmilla?\It's Unit 4! response:	Miss Rukino's back!
context: I want to avenge H-neun...\I want to avenge my friend!\It's too much for them!\We'll make it, don't give up!\Oh, crap!\Carmilla?\It's Unit 4!\Miss Rukino's back! response:	We'll be okay now!
context: I want to avenge my friend!\It's too much for them!\We'll make it, don't give up!\Oh, crap!\Carmilla?\It's Unit 4!\Miss Rukino's back!\We'll be okay now! response:	We're saved!
context: It's too much for them!\We'll make it, don't give up!\Oh, crap!\Carmilla?\It's Unit 4!\Miss Rukino's back!\We'll be okay now!\We're saved! response:	They say that Unit 4's back!
context: We'll make it, don't give up!\Oh, crap!\Carmilla?\It's Unit 4!\Miss Rukino's back!\We'll be okay now!\We're saved!\They say that Unit 4's back! response:	I hear Tokishima's with her.
context: Oh, crap!\Carmilla?\It's Unit 4!\Miss Rukino's back!\We'll be okay now!\We're saved!\They say that Unit 4's back!\I hear Tokishima's with her. response:	Haruto? He's back?
context: Carmilla?\It's Unit 4!\Miss Rukino's back!\We'll be okay now!\We're saved!\They say that Unit 4's back!\I hear Tokishima's with her.\Haruto? He's back? response:	Looks like we made it back just in time.
context: It's Unit 4!\Miss Rukino's back!\We'll be okay now!\We're saved!\They say that Unit 4's back!\I hear Tokishima's with her.\Haruto? He's back?\Looks like we made it back just in time. response:	Yeah. All that's left is...
context: Miss Rukino's back!\We'll be okay now!\We're saved!\They say that Unit 4's back!\I hear Tokishima's with her.\Haruto? He's back?\Looks like we made it back just in time.\Yeah. All that's left is... response:	Wow, this thing really took a beating.
context: We'll be okay now!\We're saved!\They say that Unit 4's back!\I hear Tokishima's with her.\Haruto? He's back?\Looks like we made it back just in time.\Yeah. All that's left is...\Wow, this thing really took a beating. response:	That's not surprising, after fighting a Valvrave.
