context: We're going to sally. response:	I-I beg your pardon?
context: We're going to sally.\I-I beg your pardon? response:	That would be suicidal!
context: We're going to sally.\I-I beg your pardon?\That would be suicidal! response:	We should at least wait until Lady Marrine's troops get here
context: We're going to sally.\I-I beg your pardon?\That would be suicidal!\We should at least wait until Lady Marrine's troops get here response:	You would expose the Margrave of Waldlind to danger, then?
context: We're going to sally.\I-I beg your pardon?\That would be suicidal!\We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then? response:	No, I didn't intend for...
context: We're going to sally.\I-I beg your pardon?\That would be suicidal!\We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for... response:	But I believe that if you and Lady Marrine fought together, we could overcome this.
context: We're going to sally.\I-I beg your pardon?\That would be suicidal!\We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this. response:	And perhaps we could. But what would happen if we failed?
context: We're going to sally.\I-I beg your pardon?\That would be suicidal!\We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed? response:	Waldlind's Knights-at-Arms are far too slow.
context: I-I beg your pardon?\That would be suicidal!\We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow. response:	If the enemy gives chase, they can't flee.
context: That would be suicidal!\We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee. response:	However, at this rate, it's you who...
context: We should at least wait until Lady Marrine's troops get here\You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee.\However, at this rate, it's you who... response:	Don't belittle me!
context: You would expose the Margrave of Waldlind to danger, then?\No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee.\However, at this rate, it's you who...\Don't belittle me! response:	No matter how vast the enemy forces, I will not lose.
context: No, I didn't intend for...\But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee.\However, at this rate, it's you who...\Don't belittle me!\No matter how vast the enemy forces, I will not lose. response:	If they're attacking in full force, that just makes it more convenient.
context: But I believe that if you and Lady Marrine fought together, we could overcome this.\And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee.\However, at this rate, it's you who...\Don't belittle me!\No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient. response:	I beg of you!
context: And perhaps we could. But what would happen if we failed?\Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee.\However, at this rate, it's you who...\Don't belittle me!\No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient.\I beg of you! response:	I beg of you, please be patient for just a while longer.
context: Waldlind's Knights-at-Arms are far too slow.\If the enemy gives chase, they can't flee.\However, at this rate, it's you who...\Don't belittle me!\No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient.\I beg of you!\I beg of you, please be patient for just a while longer. response:	As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.
context: If the enemy gives chase, they can't flee.\However, at this rate, it's you who...\Don't belittle me!\No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient.\I beg of you!\I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily. response:	Lady Marrine will definitely turn the tide!
context: However, at this rate, it's you who...\Don't belittle me!\No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient.\I beg of you!\I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide! response:	Telius. Whose contracted mage are you?
context: Don't belittle me!\No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient.\I beg of you!\I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you? response:	Lady Marrine's.
context: No matter how vast the enemy forces, I will not lose.\If they're attacking in full force, that just makes it more convenient.\I beg of you!\I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you?\Lady Marrine's. response:	But I've been sent to serve you, Sir Milza.
context: If they're attacking in full force, that just makes it more convenient.\I beg of you!\I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you?\Lady Marrine's.\But I've been sent to serve you, Sir Milza. response:	Yes, you've served me well all this time.
context: I beg of you!\I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you?\Lady Marrine's.\But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time. response:	I've always decided everything on my own, and I've always led the charge.
context: I beg of you, please be patient for just a while longer.\As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you?\Lady Marrine's.\But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge. response:	But I know there are limits to such things.
context: As long as we're barricaded inside Castle Unicorn, we can't get captured so easily.\Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you?\Lady Marrine's.\But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things. response:	And you taught me that.
context: Lady Marrine will definitely turn the tide!\Telius. Whose contracted mage are you?\Lady Marrine's.\But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things.\And you taught me that. response:	Sir Milza.
context: Telius. Whose contracted mage are you?\Lady Marrine's.\But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things.\And you taught me that.\Sir Milza. response:	It's all my fault for lacking talent.
context: Lady Marrine's.\But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things.\And you taught me that.\Sir Milza.\It's all my fault for lacking talent. response:	I don't see it that way.
context: But I've been sent to serve you, Sir Milza.\Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things.\And you taught me that.\Sir Milza.\It's all my fault for lacking talent.\I don't see it that way. response:	My plan was to replace the Eramu mages and usher in the age of the Lords.
context: Yes, you've served me well all this time.\I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things.\And you taught me that.\Sir Milza.\It's all my fault for lacking talent.\I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords. response:	But apparently he'd sensed the advent of the age of the people.
context: I've always decided everything on my own, and I've always led the charge.\But I know there are limits to such things.\And you taught me that.\Sir Milza.\It's all my fault for lacking talent.\I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people. response:	If I do fall to Theo, it means that this era didn't choose me.
context: But I know there are limits to such things.\And you taught me that.\Sir Milza.\It's all my fault for lacking talent.\I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me. response:	Perhaps soon we'll see an age when the people choose their own Lords.
context: And you taught me that.\Sir Milza.\It's all my fault for lacking talent.\I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords. response:	But I will never acknowledge it.
context: Sir Milza.\It's all my fault for lacking talent.\I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it. response:	When you mobilize, I will accompany you, Sir.
context: It's all my fault for lacking talent.\I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it.\When you mobilize, I will accompany you, Sir. response:	Do as you like.
context: I don't see it that way.\My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it.\When you mobilize, I will accompany you, Sir.\Do as you like. response:	Understood!
context: My plan was to replace the Eramu mages and usher in the age of the Lords.\But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it.\When you mobilize, I will accompany you, Sir.\Do as you like.\Understood! response:	Charge!
context: But apparently he'd sensed the advent of the age of the people.\If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it.\When you mobilize, I will accompany you, Sir.\Do as you like.\Understood!\Charge! response:	The Dartanian forces are attacking!
context: If I do fall to Theo, it means that this era didn't choose me.\Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it.\When you mobilize, I will accompany you, Sir.\Do as you like.\Understood!\Charge!\The Dartanian forces are attacking! response:	Everybody, get into position!
context: Perhaps soon we'll see an age when the people choose their own Lords.\But I will never acknowledge it.\When you mobilize, I will accompany you, Sir.\Do as you like.\Understood!\Charge!\The Dartanian forces are attacking!\Everybody, get into position! response:	Send the signal, and notify them of the enemy attack!
context: But I will never acknowledge it.\When you mobilize, I will accompany you, Sir.\Do as you like.\Understood!\Charge!\The Dartanian forces are attacking!\Everybody, get into position!\Send the signal, and notify them of the enemy attack! response:	So he's finally coming.
context: When you mobilize, I will accompany you, Sir.\Do as you like.\Understood!\Charge!\The Dartanian forces are attacking!\Everybody, get into position!\Send the signal, and notify them of the enemy attack!\So he's finally coming. response:	He'll eventually assault this base as well.
context: Do as you like.\Understood!\Charge!\The Dartanian forces are attacking!\Everybody, get into position!\Send the signal, and notify them of the enemy attack!\So he's finally coming.\He'll eventually assault this base as well. response:	Let's settle this once and for all with Prince Milza.
context: Understood!\Charge!\The Dartanian forces are attacking!\Everybody, get into position!\Send the signal, and notify them of the enemy attack!\So he's finally coming.\He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza. response:	Just as I'd hoped.
context: Charge!\The Dartanian forces are attacking!\Everybody, get into position!\Send the signal, and notify them of the enemy attack!\So he's finally coming.\He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza.\Just as I'd hoped. response:	First, we'll strike the south!
context: The Dartanian forces are attacking!\Everybody, get into position!\Send the signal, and notify them of the enemy attack!\So he's finally coming.\He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza.\Just as I'd hoped.\First, we'll strike the south! response:	We'll slash through the enemy lines and get to Cornaro's base!
context: Everybody, get into position!\Send the signal, and notify them of the enemy attack!\So he's finally coming.\He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza.\Just as I'd hoped.\First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base! response:	Ignore the fort! We can't afford to waste any time here!
context: Send the signal, and notify them of the enemy attack!\So he's finally coming.\He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza.\Just as I'd hoped.\First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here! response:	Here they come!
context: So he's finally coming.\He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza.\Just as I'd hoped.\First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here!\Here they come! response:	Okay, we're going out.
context: He'll eventually assault this base as well.\Let's settle this once and for all with Prince Milza.\Just as I'd hoped.\First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here!\Here they come!\Okay, we're going out. response:	We'll drive the reinforcements back beyond the bridge!
context: Let's settle this once and for all with Prince Milza.\Just as I'd hoped.\First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here!\Here they come!\Okay, we're going out.\We'll drive the reinforcements back beyond the bridge! response:	Don't falter! Keep pushing forward!
context: Just as I'd hoped.\First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here!\Here they come!\Okay, we're going out.\We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward! response:	Withdraw! Withdraw at once!
context: First, we'll strike the south!\We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here!\Here they come!\Okay, we're going out.\We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward!\Withdraw! Withdraw at once! response:	Father!
context: We'll slash through the enemy lines and get to Cornaro's base!\Ignore the fort! We can't afford to waste any time here!\Here they come!\Okay, we're going out.\We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward!\Withdraw! Withdraw at once!\Father! response:	This way!
context: Ignore the fort! We can't afford to waste any time here!\Here they come!\Okay, we're going out.\We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward!\Withdraw! Withdraw at once!\Father!\This way! response:	I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...
context: Here they come!\Okay, we're going out.\We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward!\Withdraw! Withdraw at once!\Father!\This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but... response:	What do you have against the Earl of Sistina leading the Treaty?
context: Okay, we're going out.\We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward!\Withdraw! Withdraw at once!\Father!\This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty? response:	Only those who come from a long line of eminent Lords are fit to rule as leader.
context: We'll drive the reinforcements back beyond the bridge!\Don't falter! Keep pushing forward!\Withdraw! Withdraw at once!\Father!\This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader. response:	And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!
context: Don't falter! Keep pushing forward!\Withdraw! Withdraw at once!\Father!\This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner! response:	Utilizing the power of the masses to win battles has never been done before!
context: Withdraw! Withdraw at once!\Father!\This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before! response:	Doesn't it feel like a new era is coming?
context: Father!\This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming? response:	I do feel it.
context: This way!\I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming?\I do feel it. response:	That's precisely what terrifies me.
context: I hoped to distinguish myself here to increase my influence at the next Lords' summit, but...\What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming?\I do feel it.\That's precisely what terrifies me. response:	Why is that?
context: What do you have against the Earl of Sistina leading the Treaty?\Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming?\I do feel it.\That's precisely what terrifies me.\Why is that? response:	Because I don't see myself in that era.
context: Only those who come from a long line of eminent Lords are fit to rule as leader.\And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming?\I do feel it.\That's precisely what terrifies me.\Why is that?\Because I don't see myself in that era. response:	That's our next target!
context: And yet the ruler of our Treaty could soon be Theo Cornaro, a commoner!\Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming?\I do feel it.\That's precisely what terrifies me.\Why is that?\Because I don't see myself in that era.\That's our next target! response:	That's the Kilhis army, isn't it?
context: Utilizing the power of the masses to win battles has never been done before!\Doesn't it feel like a new era is coming?\I do feel it.\That's precisely what terrifies me.\Why is that?\Because I don't see myself in that era.\That's our next target!\That's the Kilhis army, isn't it? response:	They're currently led by Baron Jorgo, the son of the Theater King, Solon!
context: Doesn't it feel like a new era is coming?\I do feel it.\That's precisely what terrifies me.\Why is that?\Because I don't see myself in that era.\That's our next target!\That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon! response:	Approximately 1,000 troops!
context: I do feel it.\That's precisely what terrifies me.\Why is that?\Because I don't see myself in that era.\That's our next target!\That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops! response:	I'm going to destroy them!
context: That's precisely what terrifies me.\Why is that?\Because I don't see myself in that era.\That's our next target!\That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops!\I'm going to destroy them! response:	The Dartanian forces are headed this way!
context: Why is that?\Because I don't see myself in that era.\That's our next target!\That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops!\I'm going to destroy them!\The Dartanian forces are headed this way! response:	I guess there's no stopping them.
context: Because I don't see myself in that era.\That's our next target!\That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops!\I'm going to destroy them!\The Dartanian forces are headed this way!\I guess there's no stopping them. response:	All right, let me prepare to die.
context: That's our next target!\That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops!\I'm going to destroy them!\The Dartanian forces are headed this way!\I guess there's no stopping them.\All right, let me prepare to die. response:	Although I'd intended to live a dull life...
context: That's the Kilhis army, isn't it?\They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops!\I'm going to destroy them!\The Dartanian forces are headed this way!\I guess there's no stopping them.\All right, let me prepare to die.\Although I'd intended to live a dull life... response:	Don your masks!
context: They're currently led by Baron Jorgo, the son of the Theater King, Solon!\Approximately 1,000 troops!\I'm going to destroy them!\The Dartanian forces are headed this way!\I guess there's no stopping them.\All right, let me prepare to die.\Although I'd intended to live a dull life...\Don your masks! response:	We shall now become the founder of the Dalaras family, the Lion King!
