context: Our life of two-timing cohabitation is off to a start. response:	Right off the bat, Saki-san had suspicions about me.
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me. response:	I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours. response:	But living with Naoya-kun makes me really happy.
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy. response:	To stay together, we have to keep our relationship a secret at school.
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school. response:	Secret Two-Timing
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing response:	I have to pretend Naoya-kun and Saki-san are strangers...
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers... response:	But I accidentally made lunch for the three of us.
context: Our life of two-timing cohabitation is off to a start.\Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us. response:	We can't even eat together...
context: Right off the bat, Saki-san had suspicions about me.\I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us.\We can't even eat together... response:	We shouldn't be acting like strangers just so that we can keep our secret.
context: I saw things I shouldn't have seen, and I locked myself in the bathroom for hours.\But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us.\We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret. response:	Yeah.
context: But living with Naoya-kun makes me really happy.\To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us.\We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret.\Yeah. response:	The roof gets crowded.
