context: Isabelle... response:	I'm getting used to my new life.
context: Isabelle...\I'm getting used to my new life. response:	How about you?
context: Isabelle...\I'm getting used to my new life.\How about you? response:	Are you sleeping well?
context: Isabelle...\I'm getting used to my new life.\How about you?\Are you sleeping well? response:	That's dangerous, Ruth.
context: Isabelle...\I'm getting used to my new life.\How about you?\Are you sleeping well?\That's dangerous, Ruth. response:	S-Sorry. I was so happy, I couldn't stop myself.
context: Isabelle...\I'm getting used to my new life.\How about you?\Are you sleeping well?\That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself. response:	I'm home, Chise.
context: Isabelle...\I'm getting used to my new life.\How about you?\Are you sleeping well?\That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise. response:	Silver.
context: Isabelle...\I'm getting used to my new life.\How about you?\Are you sleeping well?\That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise.\Silver. response:	How's Elias?
context: I'm getting used to my new life.\How about you?\Are you sleeping well?\That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise.\Silver.\How's Elias? response:	Still?
context: How about you?\Are you sleeping well?\That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise.\Silver.\How's Elias?\Still? response:	Elias...
context: Are you sleeping well?\That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise.\Silver.\How's Elias?\Still?\Elias... response:	It seems like breakfast is ready.
context: That's dangerous, Ruth.\S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise.\Silver.\How's Elias?\Still?\Elias...\It seems like breakfast is ready. response:	Sorry.
context: S-Sorry. I was so happy, I couldn't stop myself.\I'm home, Chise.\Silver.\How's Elias?\Still?\Elias...\It seems like breakfast is ready.\Sorry. response:	Can you tell Silver that I don't need to eat today, either?
context: I'm home, Chise.\Silver.\How's Elias?\Still?\Elias...\It seems like breakfast is ready.\Sorry.\Can you tell Silver that I don't need to eat today, either? response:	I wonder what's wrong with him.
context: Silver.\How's Elias?\Still?\Elias...\It seems like breakfast is ready.\Sorry.\Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him. response:	It's been two weeks since we got back from the church, and he still hasn't come out of his room.
context: How's Elias?\Still?\Elias...\It seems like breakfast is ready.\Sorry.\Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room. response:	Why don't you open the door and ask?
context: Still?\Elias...\It seems like breakfast is ready.\Sorry.\Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask? response:	Let's go, Ruth.
context: Elias...\It seems like breakfast is ready.\Sorry.\Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask?\Let's go, Ruth. response:	Maybe the transformation from the fight took a toll on him.
context: It seems like breakfast is ready.\Sorry.\Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask?\Let's go, Ruth.\Maybe the transformation from the fight took a toll on him. response:	Transformation?
context: Sorry.\Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask?\Let's go, Ruth.\Maybe the transformation from the fight took a toll on him.\Transformation? response:	It takes a lot of energy to change your appearance, maybe?
context: Can you tell Silver that I don't need to eat today, either?\I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask?\Let's go, Ruth.\Maybe the transformation from the fight took a toll on him.\Transformation?\It takes a lot of energy to change your appearance, maybe? response:	Why do you say that like a question?
context: I wonder what's wrong with him.\It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask?\Let's go, Ruth.\Maybe the transformation from the fight took a toll on him.\Transformation?\It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question? response:	I can't quite remember.
context: It's been two weeks since we got back from the church, and he still hasn't come out of his room.\Why don't you open the door and ask?\Let's go, Ruth.\Maybe the transformation from the fight took a toll on him.\Transformation?\It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question?\I can't quite remember. response:	Maybe it hasn't quite hit me that I'm a fairy.
