context: That must've been hard. response:	No, Prince Zen and the people at Fort Laxdo were there with me.
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me. response:	But you did a good job.
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job. response:	Yeah, good work.
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job.\Yeah, good work. response:	You can take the rest of the day off.
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job.\Yeah, good work.\You can take the rest of the day off. response:	But everyone is still worki-
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job.\Yeah, good work.\You can take the rest of the day off.\But everyone is still worki- response:	Rest is important, too.
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job.\Yeah, good work.\You can take the rest of the day off.\But everyone is still worki-\Rest is important, too. response:	Right.
context: That must've been hard.\No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job.\Yeah, good work.\You can take the rest of the day off.\But everyone is still worki-\Rest is important, too.\Right. response:	Well, I'll leave first, then.
context: No, Prince Zen and the people at Fort Laxdo were there with me.\But you did a good job.\Yeah, good work.\You can take the rest of the day off.\But everyone is still worki-\Rest is important, too.\Right.\Well, I'll leave first, then. response:	Good work.
context: But you did a good job.\Yeah, good work.\You can take the rest of the day off.\But everyone is still worki-\Rest is important, too.\Right.\Well, I'll leave first, then.\Good work. response:	Shirayuki's working hard, huh?
context: Yeah, good work.\You can take the rest of the day off.\But everyone is still worki-\Rest is important, too.\Right.\Well, I'll leave first, then.\Good work.\Shirayuki's working hard, huh? response:	Yeah.
context: You can take the rest of the day off.\But everyone is still worki-\Rest is important, too.\Right.\Well, I'll leave first, then.\Good work.\Shirayuki's working hard, huh?\Yeah. response:	Speaking of which, I wonder if she knows...?
context: But everyone is still worki-\Rest is important, too.\Right.\Well, I'll leave first, then.\Good work.\Shirayuki's working hard, huh?\Yeah.\Speaking of which, I wonder if she knows...? response:	About what?
context: Rest is important, too.\Right.\Well, I'll leave first, then.\Good work.\Shirayuki's working hard, huh?\Yeah.\Speaking of which, I wonder if she knows...?\About what? response:	About Prince Izana.
context: Right.\Well, I'll leave first, then.\Good work.\Shirayuki's working hard, huh?\Yeah.\Speaking of which, I wonder if she knows...?\About what?\About Prince Izana. response:	Led to an encounter...
context: Well, I'll leave first, then.\Good work.\Shirayuki's working hard, huh?\Yeah.\Speaking of which, I wonder if she knows...?\About what?\About Prince Izana.\Led to an encounter... response:	Ahead on the road I've reached...
context: Good work.\Shirayuki's working hard, huh?\Yeah.\Speaking of which, I wonder if she knows...?\About what?\About Prince Izana.\Led to an encounter...\Ahead on the road I've reached... response:	This is the place I have chosen...
context: Shirayuki's working hard, huh?\Yeah.\Speaking of which, I wonder if she knows...?\About what?\About Prince Izana.\Led to an encounter...\Ahead on the road I've reached...\This is the place I have chosen... response:	Where my desires become reality...
