context: Midterms Day 1 Science response:	All right, time's up.
context: Midterms Day 1 Science\All right, time's up. response:	It's not over.
context: Midterms Day 1 Science\All right, time's up.\It's not over. response:	You still have tomorrow.
context: Midterms Day 1 Science\All right, time's up.\It's not over.\You still have tomorrow. response:	How did you do?
context: Midterms Day 1 Science\All right, time's up.\It's not over.\You still have tomorrow.\How did you do? response:	Terrible.
context: Midterms Day 1 Science\All right, time's up.\It's not over.\You still have tomorrow.\How did you do?\Terrible. response:	Come with us, Akanecchi.
context: Midterms Day 1 Science\All right, time's up.\It's not over.\You still have tomorrow.\How did you do?\Terrible.\Come with us, Akanecchi. response:	Shopping.
context: Midterms Day 1 Science\All right, time's up.\It's not over.\You still have tomorrow.\How did you do?\Terrible.\Come with us, Akanecchi.\Shopping. response:	The school trip is coming up.
context: All right, time's up.\It's not over.\You still have tomorrow.\How did you do?\Terrible.\Come with us, Akanecchi.\Shopping.\The school trip is coming up. response:	When exams are over.
context: It's not over.\You still have tomorrow.\How did you do?\Terrible.\Come with us, Akanecchi.\Shopping.\The school trip is coming up.\When exams are over. response:	I have practice today.
context: You still have tomorrow.\How did you do?\Terrible.\Come with us, Akanecchi.\Shopping.\The school trip is coming up.\When exams are over.\I have practice today. response:	Oh, okay.
context: How did you do?\Terrible.\Come with us, Akanecchi.\Shopping.\The school trip is coming up.\When exams are over.\I have practice today.\Oh, okay. response:	Is it language arts tomorrow?
context: Terrible.\Come with us, Akanecchi.\Shopping.\The school trip is coming up.\When exams are over.\I have practice today.\Oh, okay.\Is it language arts tomorrow? response:	Yeah.
context: Come with us, Akanecchi.\Shopping.\The school trip is coming up.\When exams are over.\I have practice today.\Oh, okay.\Is it language arts tomorrow?\Yeah. response:	What do you think will be on it?
context: Shopping.\The school trip is coming up.\When exams are over.\I have practice today.\Oh, okay.\Is it language arts tomorrow?\Yeah.\What do you think will be on it? response:	Kota!
context: The school trip is coming up.\When exams are over.\I have practice today.\Oh, okay.\Is it language arts tomorrow?\Yeah.\What do you think will be on it?\Kota! response:	Hey, don't ignore me. Kota!
context: When exams are over.\I have practice today.\Oh, okay.\Is it language arts tomorrow?\Yeah.\What do you think will be on it?\Kota!\Hey, don't ignore me. Kota! response:	What do you want?
context: I have practice today.\Oh, okay.\Is it language arts tomorrow?\Yeah.\What do you think will be on it?\Kota!\Hey, don't ignore me. Kota!\What do you want? response:	How was the test?
context: Oh, okay.\Is it language arts tomorrow?\Yeah.\What do you think will be on it?\Kota!\Hey, don't ignore me. Kota!\What do you want?\How was the test? response:	No good.
context: Is it language arts tomorrow?\Yeah.\What do you think will be on it?\Kota!\Hey, don't ignore me. Kota!\What do you want?\How was the test?\No good. response:	You're totally out of it.
context: Yeah.\What do you think will be on it?\Kota!\Hey, don't ignore me. Kota!\What do you want?\How was the test?\No good.\You're totally out of it. response:	Yeah.
context: What do you think will be on it?\Kota!\Hey, don't ignore me. Kota!\What do you want?\How was the test?\No good.\You're totally out of it.\Yeah. response:	Want to see my new move?
context: Kota!\Hey, don't ignore me. Kota!\What do you want?\How was the test?\No good.\You're totally out of it.\Yeah.\Want to see my new move? response:	Do it, do it!
context: Hey, don't ignore me. Kota!\What do you want?\How was the test?\No good.\You're totally out of it.\Yeah.\Want to see my new move?\Do it, do it! response:	Please don't.
context: What do you want?\How was the test?\No good.\You're totally out of it.\Yeah.\Want to see my new move?\Do it, do it!\Please don't. response:	Ogasawara Dynamic!
context: How was the test?\No good.\You're totally out of it.\Yeah.\Want to see my new move?\Do it, do it!\Please don't.\Ogasawara Dynamic! response:	Stop it!
