context: Fukiyama Daigo response:	To Be Transferred
context: Fukiyama Daigo\To Be Transferred response:	My head is full of things
context: Fukiyama Daigo\To Be Transferred\My head is full of things response:	My head is full of things
context: Fukiyama Daigo\To Be Transferred\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: Fukiyama Daigo\To Be Transferred\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: Fukiyama Daigo\To Be Transferred\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: Fukiyama Daigo\To Be Transferred\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
context: Fukiyama Daigo\To Be Transferred\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
context: To Be Transferred\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	The impossible is holding sway over me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me response:	The impossible is holding sway over me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me response:	All I know of the world is what I can see
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see response:	All I know of the world is what I can see
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see response:	Is that enough to find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults? response:	Is that enough to find its faults?
context: I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults? response:	Artificial, artificial
context: I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial response:	Artificial, artificial
context: The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial response:	Hey, how can they stay so sane?
context: The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane? response:	Hey, how can they stay so sane?
context: All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane? response:	This is their artificial world
context: All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world response:	This is their artificial world
context: Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world response:	In this beautiful world
context: Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world response:	In this beautiful world
context: Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world response:	there is something
context: Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something response:	there is something
