context: I wonder why the sky looks so lonely? response:	This is Edolas after Natsu and the others left.
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left. response:	Hey, bring me some more bricks!
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left.\Hey, bring me some more bricks! response:	That Great Demon Lord sure did a number on us...
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left.\Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us... response:	Things are destroyed all over!
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left.\Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us...\Things are destroyed all over! response:	Well, now...
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left.\Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us...\Things are destroyed all over!\Well, now... response:	Anyway, now we have to rebuild the city, right?
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left.\Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us...\Things are destroyed all over!\Well, now...\Anyway, now we have to rebuild the city, right? response:	Let's work hard, everyone! We might not have magic, but we can still do this!
context: I wonder why the sky looks so lonely?\This is Edolas after Natsu and the others left.\Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us...\Things are destroyed all over!\Well, now...\Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this! response:	That's an excellent spirit they have.
context: This is Edolas after Natsu and the others left.\Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us...\Things are destroyed all over!\Well, now...\Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have. response:	He Who Erases Life.
context: Hey, bring me some more bricks!\That Great Demon Lord sure did a number on us...\Things are destroyed all over!\Well, now...\Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have.\He Who Erases Life. response:	I've brought him.
context: That Great Demon Lord sure did a number on us...\Things are destroyed all over!\Well, now...\Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have.\He Who Erases Life.\I've brought him. response:	Hey, hey, hey! Hold it a sec!
