context: Your lives...? Hey... response:	This is getting vicious.
context: Your lives...? Hey...\This is getting vicious. response:	Even though that's not something you bet on...
context: Your lives...? Hey...\This is getting vicious.\Even though that's not something you bet on... response:	That's our Yukino-kun!
context: Your lives...? Hey...\This is getting vicious.\Even though that's not something you bet on...\That's our Yukino-kun! response:	That's why she's part of Sabertooth!
context: Your lives...? Hey...\This is getting vicious.\Even though that's not something you bet on...\That's our Yukino-kun!\That's why she's part of Sabertooth! response:	Good luck, Yukino!
context: Your lives...? Hey...\This is getting vicious.\Even though that's not something you bet on...\That's our Yukino-kun!\That's why she's part of Sabertooth!\Good luck, Yukino! response:	This is getting interesting.
context: Your lives...? Hey...\This is getting vicious.\Even though that's not something you bet on...\That's our Yukino-kun!\That's why she's part of Sabertooth!\Good luck, Yukino!\This is getting interesting. response:	Does that Yukino chick have all her marbles?
context: Your lives...? Hey...\This is getting vicious.\Even though that's not something you bet on...\That's our Yukino-kun!\That's why she's part of Sabertooth!\Good luck, Yukino!\This is getting interesting.\Does that Yukino chick have all her marbles? response:	Kagura-san...
context: This is getting vicious.\Even though that's not something you bet on...\That's our Yukino-kun!\That's why she's part of Sabertooth!\Good luck, Yukino!\This is getting interesting.\Does that Yukino chick have all her marbles?\Kagura-san... response:	Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,
context: Even though that's not something you bet on...\That's our Yukino-kun!\That's why she's part of Sabertooth!\Good luck, Yukino!\This is getting interesting.\Does that Yukino chick have all her marbles?\Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel, response:	it seems she's got confidence to spare.
context: That's our Yukino-kun!\That's why she's part of Sabertooth!\Good luck, Yukino!\This is getting interesting.\Does that Yukino chick have all her marbles?\Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare. response:	If you are sincerely prepared to do this,
context: That's why she's part of Sabertooth!\Good luck, Yukino!\This is getting interesting.\Does that Yukino chick have all her marbles?\Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare.\If you are sincerely prepared to do this, response:	then accepting it is the proper thing to do.
context: Good luck, Yukino!\This is getting interesting.\Does that Yukino chick have all her marbles?\Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare.\If you are sincerely prepared to do this,\then accepting it is the proper thing to do. response:	Fine. Come and get me.
context: This is getting interesting.\Does that Yukino chick have all her marbles?\Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare.\If you are sincerely prepared to do this,\then accepting it is the proper thing to do.\Fine. Come and get me. response:	Kagura versus Yukino!
context: Does that Yukino chick have all her marbles?\Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare.\If you are sincerely prepared to do this,\then accepting it is the proper thing to do.\Fine. Come and get me.\Kagura versus Yukino! response:	Seriously?!
context: Kagura-san...\Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare.\If you are sincerely prepared to do this,\then accepting it is the proper thing to do.\Fine. Come and get me.\Kagura versus Yukino!\Seriously?! response:	They bet their lives, so whoever loses dies, right?!
context: Even though her opponent is Kagura, the strongest wizard of Mermaid Heel,\it seems she's got confidence to spare.\If you are sincerely prepared to do this,\then accepting it is the proper thing to do.\Fine. Come and get me.\Kagura versus Yukino!\Seriously?!\They bet their lives, so whoever loses dies, right?! response:	Can they do that?!
context: it seems she's got confidence to spare.\If you are sincerely prepared to do this,\then accepting it is the proper thing to do.\Fine. Come and get me.\Kagura versus Yukino!\Seriously?!\They bet their lives, so whoever loses dies, right?!\Can they do that?! response:	Well, things have taken a serious turn.
context: If you are sincerely prepared to do this,\then accepting it is the proper thing to do.\Fine. Come and get me.\Kagura versus Yukino!\Seriously?!\They bet their lives, so whoever loses dies, right?!\Can they do that?!\Well, things have taken a serious turn. response:	Just what's going on here?!
context: then accepting it is the proper thing to do.\Fine. Come and get me.\Kagura versus Yukino!\Seriously?!\They bet their lives, so whoever loses dies, right?!\Can they do that?!\Well, things have taken a serious turn.\Just what's going on here?! response:	This is not cool!
