context: What will they be? Red-hot anger? Deep-blue sadness? response:	Are they red-hot anger? Deep blue sadness?
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness? response:	Or perhaps pitch black despair.
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair. response:	Sturcadeus.
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair.\Sturcadeus. response:	As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair.\Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit. response:	I always admired your magic.
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair.\Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic. response:	But you no longer believe in it.
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair.\Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic.\But you no longer believe in it. response:	Oh, but I do.
context: What will they be? Red-hot anger? Deep-blue sadness?\Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair.\Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic.\But you no longer believe in it.\Oh, but I do. response:	And I will make it stronger, through the power of science!
context: Are they red-hot anger? Deep blue sadness?\Or perhaps pitch black despair.\Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic.\But you no longer believe in it.\Oh, but I do.\And I will make it stronger, through the power of science! response:	And I will make it stronger through the power of science.
context: Or perhaps pitch black despair.\Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic.\But you no longer believe in it.\Oh, but I do.\And I will make it stronger, through the power of science!\And I will make it stronger through the power of science. response:	That is the true future of magic.
context: Sturcadeus.\As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic.\But you no longer believe in it.\Oh, but I do.\And I will make it stronger, through the power of science!\And I will make it stronger through the power of science.\That is the true future of magic. response:	Do you really think things will go as you wish?
context: As long as I keep my emotions under control, you can't absorb them for your Fuel Spirit.\I always admired your magic.\But you no longer believe in it.\Oh, but I do.\And I will make it stronger, through the power of science!\And I will make it stronger through the power of science.\That is the true future of magic.\Do you really think things will go as you wish? response:	It seems we must make it clear, once and for all, which of us is right.
context: I always admired your magic.\But you no longer believe in it.\Oh, but I do.\And I will make it stronger, through the power of science!\And I will make it stronger through the power of science.\That is the true future of magic.\Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right. response:	It seems we must make it clear which of us is right once and for all.
context: But you no longer believe in it.\Oh, but I do.\And I will make it stronger, through the power of science!\And I will make it stronger through the power of science.\That is the true future of magic.\Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all. response:	As I thought, you were hit with the pollen.
context: Oh, but I do.\And I will make it stronger, through the power of science!\And I will make it stronger through the power of science.\That is the true future of magic.\Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen. response:	What is this incredible energy?
context: And I will make it stronger, through the power of science!\And I will make it stronger through the power of science.\That is the true future of magic.\Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen.\What is this incredible energy? response:	We need to call in the military to get them under control!
context: And I will make it stronger through the power of science.\That is the true future of magic.\Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen.\What is this incredible energy?\We need to call in the military to get them under control! response:	It looks like they're going towards the Leyline.
context: That is the true future of magic.\Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen.\What is this incredible energy?\We need to call in the military to get them under control!\It looks like they're going towards the Leyline. response:	It's strange.
context: Do you really think things will go as you wish?\It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen.\What is this incredible energy?\We need to call in the military to get them under control!\It looks like they're going towards the Leyline.\It's strange. response:	I never expected so much energy to be collected. The folly of man knows no limits.
context: It seems we must make it clear, once and for all, which of us is right.\It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen.\What is this incredible energy?\We need to call in the military to get them under control!\It looks like they're going towards the Leyline.\It's strange.\I never expected so much energy to be collected. The folly of man knows no limits. response:	There was no need for me to activate itthe Noir Rod has started itself!
context: It seems we must make it clear which of us is right once and for all.\As I thought, you were hit with the pollen.\What is this incredible energy?\We need to call in the military to get them under control!\It looks like they're going towards the Leyline.\It's strange.\I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself! response:	Unfortunately for you, magic can no longer be used in this location without a router.
context: As I thought, you were hit with the pollen.\What is this incredible energy?\We need to call in the military to get them under control!\It looks like they're going towards the Leyline.\It's strange.\I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router. response:	Stop!
context: What is this incredible energy?\We need to call in the military to get them under control!\It looks like they're going towards the Leyline.\It's strange.\I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router.\Stop! response:	The Leyline!
context: We need to call in the military to get them under control!\It looks like they're going towards the Leyline.\It's strange.\I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router.\Stop!\The Leyline! response:	You're pretty stubborn to follow me all the way here.
context: It looks like they're going towards the Leyline.\It's strange.\I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router.\Stop!\The Leyline!\You're pretty stubborn to follow me all the way here. response:	You are right. This is where the Grand Triskelion is sealed.
