context: In order to protect something, you need power response:	and to obtain something requires even greater power.
context: In order to protect something, you need power\and to obtain something requires even greater power. response:	If you have no power, giving it up is the only option.
context: In order to protect something, you need power\and to obtain something requires even greater power.\If you have no power, giving it up is the only option. response:	And to recover what you've lost...
context: In order to protect something, you need power\and to obtain something requires even greater power.\If you have no power, giving it up is the only option.\And to recover what you've lost... response:	Yo, so you're Irene Urzaiz, huh?
context: In order to protect something, you need power\and to obtain something requires even greater power.\If you have no power, giving it up is the only option.\And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh? response:	See what you can do with that.
context: In order to protect something, you need power\and to obtain something requires even greater power.\If you have no power, giving it up is the only option.\And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh?\See what you can do with that. response:	You pass.
context: In order to protect something, you need power\and to obtain something requires even greater power.\If you have no power, giving it up is the only option.\And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh?\See what you can do with that.\You pass. response:	Fine, tell me what it is you want.
context: In order to protect something, you need power\and to obtain something requires even greater power.\If you have no power, giving it up is the only option.\And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh?\See what you can do with that.\You pass.\Fine, tell me what it is you want. response:	Sister...
context: and to obtain something requires even greater power.\If you have no power, giving it up is the only option.\And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh?\See what you can do with that.\You pass.\Fine, tell me what it is you want.\Sister... response:	Sister?
context: If you have no power, giving it up is the only option.\And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh?\See what you can do with that.\You pass.\Fine, tell me what it is you want.\Sister...\Sister? response:	Sister?
context: And to recover what you've lost...\Yo, so you're Irene Urzaiz, huh?\See what you can do with that.\You pass.\Fine, tell me what it is you want.\Sister...\Sister?\Sister? response:	Priscilla?
context: Yo, so you're Irene Urzaiz, huh?\See what you can do with that.\You pass.\Fine, tell me what it is you want.\Sister...\Sister?\Sister?\Priscilla? response:	It's almost time.
context: See what you can do with that.\You pass.\Fine, tell me what it is you want.\Sister...\Sister?\Sister?\Priscilla?\It's almost time. response:	All right, then!
context: You pass.\Fine, tell me what it is you want.\Sister...\Sister?\Sister?\Priscilla?\It's almost time.\All right, then! response:	How about we get this task out of the way?
context: Fine, tell me what it is you want.\Sister...\Sister?\Sister?\Priscilla?\It's almost time.\All right, then!\How about we get this task out of the way? response:	S-Sister...
context: Sister...\Sister?\Sister?\Priscilla?\It's almost time.\All right, then!\How about we get this task out of the way?\S-Sister... response:	There's nothing to worry about.
context: Sister?\Sister?\Priscilla?\It's almost time.\All right, then!\How about we get this task out of the way?\S-Sister...\There's nothing to worry about. response:	Just handle everything like you always do.
context: Sister?\Priscilla?\It's almost time.\All right, then!\How about we get this task out of the way?\S-Sister...\There's nothing to worry about.\Just handle everything like you always do. response:	You can leave the fighting to me.
context: Priscilla?\It's almost time.\All right, then!\How about we get this task out of the way?\S-Sister...\There's nothing to worry about.\Just handle everything like you always do.\You can leave the fighting to me. response:	Well, not like we won't have to come out guns blazing...
