context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights, response:	who protect the kingdom under the Wizard King, had begun.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun. response:	In the final part of the exam, the candidates were paired off
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun.\In the final part of the exam, the candidates were paired off response:	to battle using their grimoires.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun.\In the final part of the exam, the candidates were paired off\to battle using their grimoires. response:	Begin!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun.\In the final part of the exam, the candidates were paired off\to battle using their grimoires.\Begin! response:	No holding back, all right?
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun.\In the final part of the exam, the candidates were paired off\to battle using their grimoires.\Begin!\No holding back, all right? response:	Let's do this, Asta! Bah-ha!
context: He was called the Wizard King, and he became a legend.\At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun.\In the final part of the exam, the candidates were paired off\to battle using their grimoires.\Begin!\No holding back, all right?\Let's do this, Asta! Bah-ha! response:	Bronze Creation Magic: Sekke Magnum Cannonball!
context: At the royal capital of the Clover Kingdom, the entrance exam for the Magic Knights,\who protect the kingdom under the Wizard King, had begun.\In the final part of the exam, the candidates were paired off\to battle using their grimoires.\Begin!\No holding back, all right?\Let's do this, Asta! Bah-ha!\Bronze Creation Magic: Sekke Magnum Cannonball! response:	How do you like my magic?
