context: So it's not in bloom yet. response:	I told you that it was too early.
context: So it's not in bloom yet.\I told you that it was too early. response:	But I really wanted to see it in bloom...
context: So it's not in bloom yet.\I told you that it was too early.\But I really wanted to see it in bloom... response:	Since today's my last look at it.
context: So it's not in bloom yet.\I told you that it was too early.\But I really wanted to see it in bloom...\Since today's my last look at it. response:	Rin.
context: So it's not in bloom yet.\I told you that it was too early.\But I really wanted to see it in bloom...\Since today's my last look at it.\Rin. response:	What is it?
context: So it's not in bloom yet.\I told you that it was too early.\But I really wanted to see it in bloom...\Since today's my last look at it.\Rin.\What is it? response:	Are you going to follow your dad's dream?
context: So it's not in bloom yet.\I told you that it was too early.\But I really wanted to see it in bloom...\Since today's my last look at it.\Rin.\What is it?\Are you going to follow your dad's dream? response:	I'm not sure yet.
context: So it's not in bloom yet.\I told you that it was too early.\But I really wanted to see it in bloom...\Since today's my last look at it.\Rin.\What is it?\Are you going to follow your dad's dream?\I'm not sure yet. response:	Hey, there's stuff written on the bricks.
context: I told you that it was too early.\But I really wanted to see it in bloom...\Since today's my last look at it.\Rin.\What is it?\Are you going to follow your dad's dream?\I'm not sure yet.\Hey, there's stuff written on the bricks. response:	For graduation, we made this garden
context: But I really wanted to see it in bloom...\Since today's my last look at it.\Rin.\What is it?\Are you going to follow your dad's dream?\I'm not sure yet.\Hey, there's stuff written on the bricks.\For graduation, we made this garden response:	and wrote our favorite phrases on the bricks.
context: Since today's my last look at it.\Rin.\What is it?\Are you going to follow your dad's dream?\I'm not sure yet.\Hey, there's stuff written on the bricks.\For graduation, we made this garden\and wrote our favorite phrases on the bricks. response:	Here's mine.
context: Rin.\What is it?\Are you going to follow your dad's dream?\I'm not sure yet.\Hey, there's stuff written on the bricks.\For graduation, we made this garden\and wrote our favorite phrases on the bricks.\Here's mine. response:	I swim.
context: What is it?\Are you going to follow your dad's dream?\I'm not sure yet.\Hey, there's stuff written on the bricks.\For graduation, we made this garden\and wrote our favorite phrases on the bricks.\Here's mine.\I swim. response:	Here's mine.
context: Are you going to follow your dad's dream?\I'm not sure yet.\Hey, there's stuff written on the bricks.\For graduation, we made this garden\and wrote our favorite phrases on the bricks.\Here's mine.\I swim.\Here's mine. response:	What does it say?
context: I'm not sure yet.\Hey, there's stuff written on the bricks.\For graduation, we made this garden\and wrote our favorite phrases on the bricks.\Here's mine.\I swim.\Here's mine.\What does it say? response:	For the team.
context: Hey, there's stuff written on the bricks.\For graduation, we made this garden\and wrote our favorite phrases on the bricks.\Here's mine.\I swim.\Here's mine.\What does it say?\For the team. response:	For the team.
context: For graduation, we made this garden\and wrote our favorite phrases on the bricks.\Here's mine.\I swim.\Here's mine.\What does it say?\For the team.\For the team. response:	Oh, this must be Haru-chan's.
context: and wrote our favorite phrases on the bricks.\Here's mine.\I swim.\Here's mine.\What does it say?\For the team.\For the team.\Oh, this must be Haru-chan's. response:	Haru-chan!
context: Here's mine.\I swim.\Here's mine.\What does it say?\For the team.\For the team.\Oh, this must be Haru-chan's.\Haru-chan! response:	Hurry up!
context: I swim.\Here's mine.\What does it say?\For the team.\For the team.\Oh, this must be Haru-chan's.\Haru-chan!\Hurry up! response:	I'm coming!
context: Here's mine.\What does it say?\For the team.\For the team.\Oh, this must be Haru-chan's.\Haru-chan!\Hurry up!\I'm coming! response:	What's he doing?
context: What does it say?\For the team.\For the team.\Oh, this must be Haru-chan's.\Haru-chan!\Hurry up!\I'm coming!\What's he doing? response:	Oh, is that tree...
context: For the team.\For the team.\Oh, this must be Haru-chan's.\Haru-chan!\Hurry up!\I'm coming!\What's he doing?\Oh, is that tree... response:	Ah...
context: For the team.\Oh, this must be Haru-chan's.\Haru-chan!\Hurry up!\I'm coming!\What's he doing?\Oh, is that tree...\Ah... response:	It looks just like that tree.
context: Oh, this must be Haru-chan's.\Haru-chan!\Hurry up!\I'm coming!\What's he doing?\Oh, is that tree...\Ah...\It looks just like that tree. response:	Distant Free!
context: Haru-chan!\Hurry up!\I'm coming!\What's he doing?\Oh, is that tree...\Ah...\It looks just like that tree.\Distant Free! response:	It's so big.
context: Hurry up!\I'm coming!\What's he doing?\Oh, is that tree...\Ah...\It looks just like that tree.\Distant Free!\It's so big. response:	And it's packed.
