context: That's my swing, loser. response:	What did you do to him?
context: That's my swing, loser.\What did you do to him? response:	What's it to you?!
context: That's my swing, loser.\What did you do to him?\What's it to you?! response:	Sis...
context: That's my swing, loser.\What did you do to him?\What's it to you?!\Sis... response:	Maybe we could've moved the audience more if we'd had the whole choir...
context: That's my swing, loser.\What did you do to him?\What's it to you?!\Sis...\Maybe we could've moved the audience more if we'd had the whole choir... response:	Sis, about the choir club!
context: That's my swing, loser.\What did you do to him?\What's it to you?!\Sis...\Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club! response:	Perv!
context: That's my swing, loser.\What did you do to him?\What's it to you?!\Sis...\Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club!\Perv! response:	I'm quitting.
context: That's my swing, loser.\What did you do to him?\What's it to you?!\Sis...\Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club!\Perv!\I'm quitting. response:	What?
context: What did you do to him?\What's it to you?!\Sis...\Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club!\Perv!\I'm quitting.\What? response:	The recital's over.
context: What's it to you?!\Sis...\Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club!\Perv!\I'm quitting.\What?\The recital's over. response:	Are you kidding me?
context: Sis...\Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club!\Perv!\I'm quitting.\What?\The recital's over.\Are you kidding me? response:	We're just getting started.
context: Maybe we could've moved the audience more if we'd had the whole choir...\Sis, about the choir club!\Perv!\I'm quitting.\What?\The recital's over.\Are you kidding me?\We're just getting started. response:	Go right ahead and tell mom about my books.
context: Sis, about the choir club!\Perv!\I'm quitting.\What?\The recital's over.\Are you kidding me?\We're just getting started.\Go right ahead and tell mom about my books. response:	I don't even have them anymore.
context: Perv!\I'm quitting.\What?\The recital's over.\Are you kidding me?\We're just getting started.\Go right ahead and tell mom about my books.\I don't even have them anymore. response:	Oh, and my friends are all quitting, too.
context: I'm quitting.\What?\The recital's over.\Are you kidding me?\We're just getting started.\Go right ahead and tell mom about my books.\I don't even have them anymore.\Oh, and my friends are all quitting, too. response:	You've got to get real members, on your own.
context: What?\The recital's over.\Are you kidding me?\We're just getting started.\Go right ahead and tell mom about my books.\I don't even have them anymore.\Oh, and my friends are all quitting, too.\You've got to get real members, on your own. response:	Want me to tell you how I found out
context: The recital's over.\Are you kidding me?\We're just getting started.\Go right ahead and tell mom about my books.\I don't even have them anymore.\Oh, and my friends are all quitting, too.\You've got to get real members, on your own.\Want me to tell you how I found out response:	where you stash your dirty books?
context: Are you kidding me?\We're just getting started.\Go right ahead and tell mom about my books.\I don't even have them anymore.\Oh, and my friends are all quitting, too.\You've got to get real members, on your own.\Want me to tell you how I found out\where you stash your dirty books? response:	I asked mom.
context: We're just getting started.\Go right ahead and tell mom about my books.\I don't even have them anymore.\Oh, and my friends are all quitting, too.\You've got to get real members, on your own.\Want me to tell you how I found out\where you stash your dirty books?\I asked mom. response:	Episode 3 Swinging and Meeting
context: Go right ahead and tell mom about my books.\I don't even have them anymore.\Oh, and my friends are all quitting, too.\You've got to get real members, on your own.\Want me to tell you how I found out\where you stash your dirty books?\I asked mom.\Episode 3 Swinging and Meeting response:	Let me have a look at that for you.
context: I don't even have them anymore.\Oh, and my friends are all quitting, too.\You've got to get real members, on your own.\Want me to tell you how I found out\where you stash your dirty books?\I asked mom.\Episode 3 Swinging and Meeting\Let me have a look at that for you. response:	Thank you very much.
context: Oh, and my friends are all quitting, too.\You've got to get real members, on your own.\Want me to tell you how I found out\where you stash your dirty books?\I asked mom.\Episode 3 Swinging and Meeting\Let me have a look at that for you.\Thank you very much. response:	No problem.
