context: Okay! Cut! response:	Wow, the staff around Yunosagi are very capable.
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable. response:	I hadn't expected you to
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable.\I hadn't expected you to response:	bring such large-scale equipment with you.
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable.\I hadn't expected you to\bring such large-scale equipment with you. response:	The cameraman works in the special effects department,
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable.\I hadn't expected you to\bring such large-scale equipment with you.\The cameraman works in the special effects department, response:	so he's actually better at filming stunts like this.
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable.\I hadn't expected you to\bring such large-scale equipment with you.\The cameraman works in the special effects department,\so he's actually better at filming stunts like this. response:	All right! Let's film the next scene!
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable.\I hadn't expected you to\bring such large-scale equipment with you.\The cameraman works in the special effects department,\so he's actually better at filming stunts like this.\All right! Let's film the next scene! response:	Do you have a moment, Madam Manager?
context: Okay! Cut!\Wow, the staff around Yunosagi are very capable.\I hadn't expected you to\bring such large-scale equipment with you.\The cameraman works in the special effects department,\so he's actually better at filming stunts like this.\All right! Let's film the next scene!\Do you have a moment, Madam Manager? response:	Come in.
context: Wow, the staff around Yunosagi are very capable.\I hadn't expected you to\bring such large-scale equipment with you.\The cameraman works in the special effects department,\so he's actually better at filming stunts like this.\All right! Let's film the next scene!\Do you have a moment, Madam Manager?\Come in. response:	Thanks.
context: I hadn't expected you to\bring such large-scale equipment with you.\The cameraman works in the special effects department,\so he's actually better at filming stunts like this.\All right! Let's film the next scene!\Do you have a moment, Madam Manager?\Come in.\Thanks. response:	Take this.
context: bring such large-scale equipment with you.\The cameraman works in the special effects department,\so he's actually better at filming stunts like this.\All right! Let's film the next scene!\Do you have a moment, Madam Manager?\Come in.\Thanks.\Take this. response:	Thanks!
context: The cameraman works in the special effects department,\so he's actually better at filming stunts like this.\All right! Let's film the next scene!\Do you have a moment, Madam Manager?\Come in.\Thanks.\Take this.\Thanks! response:	Hello?
context: so he's actually better at filming stunts like this.\All right! Let's film the next scene!\Do you have a moment, Madam Manager?\Come in.\Thanks.\Take this.\Thanks!\Hello? response:	Oh, Mom?
context: All right! Let's film the next scene!\Do you have a moment, Madam Manager?\Come in.\Thanks.\Take this.\Thanks!\Hello?\Oh, Mom? response:	Well, well...
context: Do you have a moment, Madam Manager?\Come in.\Thanks.\Take this.\Thanks!\Hello?\Oh, Mom?\Well, well... response:	Are you feeling homesick,
context: Come in.\Thanks.\Take this.\Thanks!\Hello?\Oh, Mom?\Well, well...\Are you feeling homesick, response:	after your recent visit home?
context: Thanks.\Take this.\Thanks!\Hello?\Oh, Mom?\Well, well...\Are you feeling homesick,\after your recent visit home? response:	Let me get straight to the point.
context: Take this.\Thanks!\Hello?\Oh, Mom?\Well, well...\Are you feeling homesick,\after your recent visit home?\Let me get straight to the point. response:	You received an offer for a movie to be shot at the inn, didn't you?
