context: Hey, hey! A human's transformed into a monster! response:	There's no way I can punish him!
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him! response:	It's a first time experience for Sailor Moon.
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him!\It's a first time experience for Sailor Moon. response:	This is no time for that kind of talk!
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him!\It's a first time experience for Sailor Moon.\This is no time for that kind of talk! response:	Oh, I'm just gonna toss all the rules out the window!
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him!\It's a first time experience for Sailor Moon.\This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window! response:	In the name of the moon, I will punish you!
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him!\It's a first time experience for Sailor Moon.\This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him!\It's a first time experience for Sailor Moon.\This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Hey, hey! A human's transformed into a monster!\There's no way I can punish him!\It's a first time experience for Sailor Moon.\This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: There's no way I can punish him!\It's a first time experience for Sailor Moon.\This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: It's a first time experience for Sailor Moon.\This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: This is no time for that kind of talk!\Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: Oh, I'm just gonna toss all the rules out the window!\In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, I will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	Jupiter, the Brawny Girl In Love
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love response:	Awaken, oh great ruler.
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love\Awaken, oh great ruler. response:	With this supremely blissful energy,
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love\Awaken, oh great ruler.\With this supremely blissful energy, response:	return to life, my great ruler!
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love\Awaken, oh great ruler.\With this supremely blissful energy,\return to life, my great ruler! response:	The energy of humans has revived me from my long sleep.
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love\Awaken, oh great ruler.\With this supremely blissful energy,\return to life, my great ruler!\The energy of humans has revived me from my long sleep. response:	I have long awaited this day!
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love\Awaken, oh great ruler.\With this supremely blissful energy,\return to life, my great ruler!\The energy of humans has revived me from my long sleep.\I have long awaited this day! response:	But at times,
context: But anyway, I just have to do my best!\Jupiter, the Brawny Girl In Love\Awaken, oh great ruler.\With this supremely blissful energy,\return to life, my great ruler!\The energy of humans has revived me from my long sleep.\I have long awaited this day!\But at times, response:	my consciousness is still drawn into the depths of slumber.
