context: The Third Dish response:	Six
context: The Third Dish\Six response:	Joichiro.
context: The Third Dish\Six\Joichiro. response:	High School Division, 2nd Year Saiba Joichiro
context: The Third Dish\Six\Joichiro.\High School Division, 2nd Year Saiba Joichiro response:	Huh?
context: The Third Dish\Six\Joichiro.\High School Division, 2nd Year Saiba Joichiro\Huh? response:	Gin?
context: The Third Dish\Six\Joichiro.\High School Division, 2nd Year Saiba Joichiro\Huh?\Gin? response:	High School Division, 2nd Year Dojima Gin
context: The Third Dish\Six\Joichiro.\High School Division, 2nd Year Saiba Joichiro\Huh?\Gin?\High School Division, 2nd Year Dojima Gin response:	It's you.
context: The Third Dish\Six\Joichiro.\High School Division, 2nd Year Saiba Joichiro\Huh?\Gin?\High School Division, 2nd Year Dojima Gin\It's you. response:	Why are you here?
context: Six\Joichiro.\High School Division, 2nd Year Saiba Joichiro\Huh?\Gin?\High School Division, 2nd Year Dojima Gin\It's you.\Why are you here? response:	Oh, I had a meeting with our corporate partners.
context: Joichiro.\High School Division, 2nd Year Saiba Joichiro\Huh?\Gin?\High School Division, 2nd Year Dojima Gin\It's you.\Why are you here?\Oh, I had a meeting with our corporate partners. response:	I'm here for work, too.
context: High School Division, 2nd Year Saiba Joichiro\Huh?\Gin?\High School Division, 2nd Year Dojima Gin\It's you.\Why are you here?\Oh, I had a meeting with our corporate partners.\I'm here for work, too. response:	I'm cooking.
context: Huh?\Gin?\High School Division, 2nd Year Dojima Gin\It's you.\Why are you here?\Oh, I had a meeting with our corporate partners.\I'm here for work, too.\I'm cooking. response:	What a coincidence.
context: Gin?\High School Division, 2nd Year Dojima Gin\It's you.\Why are you here?\Oh, I had a meeting with our corporate partners.\I'm here for work, too.\I'm cooking.\What a coincidence. response:	The hell it's a coincidence!
context: High School Division, 2nd Year Dojima Gin\It's you.\Why are you here?\Oh, I had a meeting with our corporate partners.\I'm here for work, too.\I'm cooking.\What a coincidence.\The hell it's a coincidence! response:	You didn't even write!
context: It's you.\Why are you here?\Oh, I had a meeting with our corporate partners.\I'm here for work, too.\I'm cooking.\What a coincidence.\The hell it's a coincidence!\You didn't even write! response:	I've been so worried you might just die in a ditch somewhere!
context: Why are you here?\Oh, I had a meeting with our corporate partners.\I'm here for work, too.\I'm cooking.\What a coincidence.\The hell it's a coincidence!\You didn't even write!\I've been so worried you might just die in a ditch somewhere! response:	I met Yukihira Soma.
context: Oh, I had a meeting with our corporate partners.\I'm here for work, too.\I'm cooking.\What a coincidence.\The hell it's a coincidence!\You didn't even write!\I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma. response:	Oh, yeah?
context: I'm here for work, too.\I'm cooking.\What a coincidence.\The hell it's a coincidence!\You didn't even write!\I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma.\Oh, yeah? response:	It's really been a while, Joichiro.
context: I'm cooking.\What a coincidence.\The hell it's a coincidence!\You didn't even write!\I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma.\Oh, yeah?\It's really been a while, Joichiro. response:	Yeah.
context: What a coincidence.\The hell it's a coincidence!\You didn't even write!\I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma.\Oh, yeah?\It's really been a while, Joichiro.\Yeah. response:	Planned Site of Polar Star Dormitory Annex
context: The hell it's a coincidence!\You didn't even write!\I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma.\Oh, yeah?\It's really been a while, Joichiro.\Yeah.\Planned Site of Polar Star Dormitory Annex response:	These are the Polar Star Dormitory's Grounds
context: You didn't even write!\I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma.\Oh, yeah?\It's really been a while, Joichiro.\Yeah.\Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds response:	Anyway, we should celebrate our reunion!
context: I've been so worried you might just die in a ditch somewhere!\I met Yukihira Soma.\Oh, yeah?\It's really been a while, Joichiro.\Yeah.\Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion! response:	Let's go drinking!
context: I met Yukihira Soma.\Oh, yeah?\It's really been a while, Joichiro.\Yeah.\Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion!\Let's go drinking! response:	Wait, I have to go to a meeting.
context: Oh, yeah?\It's really been a while, Joichiro.\Yeah.\Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion!\Let's go drinking!\Wait, I have to go to a meeting. response:	Who cares!
context: It's really been a while, Joichiro.\Yeah.\Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion!\Let's go drinking!\Wait, I have to go to a meeting.\Who cares! response:	Skip it!
context: Yeah.\Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion!\Let's go drinking!\Wait, I have to go to a meeting.\Who cares!\Skip it! response:	That's now how this works, idiot!
context: Planned Site of Polar Star Dormitory Annex\These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion!\Let's go drinking!\Wait, I have to go to a meeting.\Who cares!\Skip it!\That's now how this works, idiot! response:	It's me.
context: These are the Polar Star Dormitory's Grounds\Anyway, we should celebrate our reunion!\Let's go drinking!\Wait, I have to go to a meeting.\Who cares!\Skip it!\That's now how this works, idiot!\It's me. response:	Is something wrong?
context: Anyway, we should celebrate our reunion!\Let's go drinking!\Wait, I have to go to a meeting.\Who cares!\Skip it!\That's now how this works, idiot!\It's me.\Is something wrong? response:	Wait a minute.
context: Let's go drinking!\Wait, I have to go to a meeting.\Who cares!\Skip it!\That's now how this works, idiot!\It's me.\Is something wrong?\Wait a minute. response:	Senzaemon-dono is going to retire?
context: Wait, I have to go to a meeting.\Who cares!\Skip it!\That's now how this works, idiot!\It's me.\Is something wrong?\Wait a minute.\Senzaemon-dono is going to retire? response:	Azami?!
context: Who cares!\Skip it!\That's now how this works, idiot!\It's me.\Is something wrong?\Wait a minute.\Senzaemon-dono is going to retire?\Azami?! response:	First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year
context: Skip it!\That's now how this works, idiot!\It's me.\Is something wrong?\Wait a minute.\Senzaemon-dono is going to retire?\Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year response:	That Nakamura Azami?
context: That's now how this works, idiot!\It's me.\Is something wrong?\Wait a minute.\Senzaemon-dono is going to retire?\Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami? response:	Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year
context: It's me.\Is something wrong?\Wait a minute.\Senzaemon-dono is going to retire?\Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year response:	He's going to be the new director?!
context: Is something wrong?\Wait a minute.\Senzaemon-dono is going to retire?\Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?! response:	Second Seat Saiba Joichiro High School Division, Third Year
context: Wait a minute.\Senzaemon-dono is going to retire?\Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year response:	First Seat Dojima Gin High School Division, Third Year
context: Senzaemon-dono is going to retire?\Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year response:	Third Seat Nakamura Azami High School Division, First Year
context: Azami?!\First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year response:	Food Wars
context: First Seat Dojima Gin High School Division, Third Year Second Seat Saiba Joichiro High School Division, Third Year\That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year\Food Wars response:	The Third Plate
context: That Nakamura Azami?\Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year\Food Wars\The Third Plate response:	The Imprisoned Queen
context: Second Seat Saiba Joichiro High School Division, Third Year Third Seat Nakamura Azami High School Division, First Year\He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year\Food Wars\The Third Plate\The Imprisoned Queen response:	With this vote, The Totsuki Elite Ten Council
context: He's going to be the new director?!\Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year\Food Wars\The Third Plate\The Imprisoned Queen\With this vote, The Totsuki Elite Ten Council response:	formally supports Director Nakiri Azami.
context: Second Seat Saiba Joichiro High School Division, Third Year\First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year\Food Wars\The Third Plate\The Imprisoned Queen\With this vote, The Totsuki Elite Ten Council\formally supports Director Nakiri Azami. response:	Our meeting is over.
context: First Seat Dojima Gin High School Division, Third Year\Third Seat Nakamura Azami High School Division, First Year\Food Wars\The Third Plate\The Imprisoned Queen\With this vote, The Totsuki Elite Ten Council\formally supports Director Nakiri Azami.\Our meeting is over. response:	New Director Assumes Position!!
context: Third Seat Nakamura Azami High School Division, First Year\Food Wars\The Third Plate\The Imprisoned Queen\With this vote, The Totsuki Elite Ten Council\formally supports Director Nakiri Azami.\Our meeting is over.\New Director Assumes Position!! response:	New Director Assumes Position!!
context: Food Wars\The Third Plate\The Imprisoned Queen\With this vote, The Totsuki Elite Ten Council\formally supports Director Nakiri Azami.\Our meeting is over.\New Director Assumes Position!!\New Director Assumes Position!! response:	Isshiki-senpai!
context: The Third Plate\The Imprisoned Queen\With this vote, The Totsuki Elite Ten Council\formally supports Director Nakiri Azami.\Our meeting is over.\New Director Assumes Position!!\New Director Assumes Position!!\Isshiki-senpai! response:	New Director Assumes Position!!
