context: Once upon a time, there was a young woman. response:	The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved. response:	She knew that her groom loved her very much, but did her sweetheart care for her even more than that?
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that? response:	The young woman wasn't certain.
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain. response:	In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved. response:	In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me. response:	The Forgotten Story
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story response:	So why do I choose only books whose endings are missing?
context: Once upon a time, there was a young woman.\The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story\So why do I choose only books whose endings are missing? response:	Why?
context: The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.\She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story\So why do I choose only books whose endings are missing?\Why? response:	What meaning is there to these torn up books? I...
context: She knew that her groom loved her very much, but did her sweetheart care for her even more than that?\The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story\So why do I choose only books whose endings are missing?\Why?\What meaning is there to these torn up books? I... response:	Found you!
context: The young woman wasn't certain.\In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story\So why do I choose only books whose endings are missing?\Why?\What meaning is there to these torn up books? I...\Found you! response:	Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?
context: In the end, after wavering between the two of them, the young woman even became unsure which one of them she really loved.\In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story\So why do I choose only books whose endings are missing?\Why?\What meaning is there to these torn up books? I...\Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty? response:	Of course, she can't!
context: In searching for a way to return Mytho to the story, I just took to hand whatever books struck me.\The Forgotten Story\So why do I choose only books whose endings are missing?\Why?\What meaning is there to these torn up books? I...\Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't! response:	I'm sorry.
context: The Forgotten Story\So why do I choose only books whose endings are missing?\Why?\What meaning is there to these torn up books? I...\Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't!\I'm sorry. response:	Seriously, I'm telling you...
context: So why do I choose only books whose endings are missing?\Why?\What meaning is there to these torn up books? I...\Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't!\I'm sorry.\Seriously, I'm telling you... response:	Ugh!
context: Why?\What meaning is there to these torn up books? I...\Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't!\I'm sorry.\Seriously, I'm telling you...\Ugh! response:	No way!
context: What meaning is there to these torn up books? I...\Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't!\I'm sorry.\Seriously, I'm telling you...\Ugh!\No way! response:	Huh? What?
context: Found you!\Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't!\I'm sorry.\Seriously, I'm telling you...\Ugh!\No way!\Huh? What? response:	Ahiru, you mustn't look right now!
context: Jeez, Ahiru, can't you even go a day without getting yourself put on cleaning duty?\Of course, she can't!\I'm sorry.\Seriously, I'm telling you...\Ugh!\No way!\Huh? What?\Ahiru, you mustn't look right now! response:	This is a shock.
context: Of course, she can't!\I'm sorry.\Seriously, I'm telling you...\Ugh!\No way!\Huh? What?\Ahiru, you mustn't look right now!\This is a shock. response:	That's definitely...
