context: Shinjurou... response:	I can't hold on any longer...
context: Shinjurou...\I can't hold on any longer... response:	Bettenou...
context: Shinjurou...\I can't hold on any longer...\Bettenou... response:	Oh great Bettenou!
context: Shinjurou...\I can't hold on any longer...\Bettenou...\Oh great Bettenou! response:	Bettenou
context: Shinjurou...\I can't hold on any longer...\Bettenou...\Oh great Bettenou!\Bettenou response:	Inga
context: Shinjurou...\I can't hold on any longer...\Bettenou...\Oh great Bettenou!\Bettenou\Inga response:	Detective's Assistant
context: Shinjurou...\I can't hold on any longer...\Bettenou...\Oh great Bettenou!\Bettenou\Inga\Detective's Assistant response:	It wasn't supposed to be like this, head in my hands
context: Shinjurou...\I can't hold on any longer...\Bettenou...\Oh great Bettenou!\Bettenou\Inga\Detective's Assistant\It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: I can't hold on any longer...\Bettenou...\Oh great Bettenou!\Bettenou\Inga\Detective's Assistant\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world response:	Time passes like whispering sand
context: Bettenou...\Oh great Bettenou!\Bettenou\Inga\Detective's Assistant\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand response:	These circumstances, unchanging
context: Oh great Bettenou!\Bettenou\Inga\Detective's Assistant\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging response:	gazing out at a dreamless tomorrow
context: Bettenou\Inga\Detective's Assistant\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow response:	Wanna say goodbye to the confusion of yesterday
context: Inga\Detective's Assistant\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday response:	I try reaching out, as if to resist
context: Detective's Assistant\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist response:	We cry millions of times and then get born again
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again response:	Let's go with these red eyes
context: Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes response:	to that pictured future
context: Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future response:	Come here right by me, I'm clapping my hands
context: These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands response:	Where are you? Who are you?
context: gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you? response:	Strain my eyes in the darkness
context: Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness response:	Can't see anything, don't know anything, but I'll still go
context: I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go response:	To the place of shining light in which you wait
context: We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait response:	Episode Eleven
context: Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eleven response:	I'm Just Searching
context: to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eleven\I'm Just Searching response:	Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason
context: Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eleven\I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason response:	I thought Kaishou wasn't on any cameras at the TV station...
context: Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eleven\I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station... response:	That's what Diet Member Kuramitsu had us say.
context: Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eleven\I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say. response:	AD
