context: Miketsukami response:	This is Darjeeling.
context: Miketsukami\This is Darjeeling. response:	Oh, I'm fine...
context: Miketsukami\This is Darjeeling.\Oh, I'm fine... response:	There's no reason to be so timid.
context: Miketsukami\This is Darjeeling.\Oh, I'm fine...\There's no reason to be so timid. response:	You look like a small animal, trapped by a fox.
context: Miketsukami\This is Darjeeling.\Oh, I'm fine...\There's no reason to be so timid.\You look like a small animal, trapped by a fox. response:	Perhaps this is the first time you've been bewitched.
context: Miketsukami\This is Darjeeling.\Oh, I'm fine...\There's no reason to be so timid.\You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched. response:	Madam, it would be cruel
context: Miketsukami\This is Darjeeling.\Oh, I'm fine...\There's no reason to be so timid.\You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched.\Madam, it would be cruel response:	to laugh too much.
context: Miketsukami\This is Darjeeling.\Oh, I'm fine...\There's no reason to be so timid.\You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched.\Madam, it would be cruel\to laugh too much. response:	Each supernaturally descended house
context: This is Darjeeling.\Oh, I'm fine...\There's no reason to be so timid.\You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched.\Madam, it would be cruel\to laugh too much.\Each supernaturally descended house response:	Kagerou
context: Oh, I'm fine...\There's no reason to be so timid.\You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched.\Madam, it would be cruel\to laugh too much.\Each supernaturally descended house\Kagerou response:	was quite wealthy.
context: There's no reason to be so timid.\You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched.\Madam, it would be cruel\to laugh too much.\Each supernaturally descended house\Kagerou\was quite wealthy. response:	Those children were to be treated
context: You look like a small animal, trapped by a fox.\Perhaps this is the first time you've been bewitched.\Madam, it would be cruel\to laugh too much.\Each supernaturally descended house\Kagerou\was quite wealthy.\Those children were to be treated response:	as literal reincarnations of the ancestors,
context: Perhaps this is the first time you've been bewitched.\Madam, it would be cruel\to laugh too much.\Each supernaturally descended house\Kagerou\was quite wealthy.\Those children were to be treated\as literal reincarnations of the ancestors, response:	and were to be carefully raised, to bring more fortune to the family.
context: Madam, it would be cruel\to laugh too much.\Each supernaturally descended house\Kagerou\was quite wealthy.\Those children were to be treated\as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family. response:	At least, that was the common belief.
context: to laugh too much.\Each supernaturally descended house\Kagerou\was quite wealthy.\Those children were to be treated\as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief. response:	However, there was another, darker belief.
context: Each supernaturally descended house\Kagerou\was quite wealthy.\Those children were to be treated\as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief.\However, there was another, darker belief. response:	In the Miketsukami family,
context: Kagerou\was quite wealthy.\Those children were to be treated\as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief.\However, there was another, darker belief.\In the Miketsukami family, response:	which carries the blood of the evil nine-tailed fox, kyuubi,
context: was quite wealthy.\Those children were to be treated\as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief.\However, there was another, darker belief.\In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi, response:	the family believed that it would gain power through the control
context: Those children were to be treated\as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief.\However, there was another, darker belief.\In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control response:	of the reincarnation housing this immense power.
