context: What's up, Kazuya? You know her? response:	Huh? No...
context: What's up, Kazuya? You know her?\Huh? No... response:	Who is that, even?
context: What's up, Kazuya? You know her?\Huh? No...\Who is that, even? response:	I think it's Ichi... Ichi-something... from the literature department.
context: What's up, Kazuya? You know her?\Huh? No...\Who is that, even?\I think it's Ichi... Ichi-something... from the literature department. response:	So what's the story? Felt like something was up between you two.
context: What's up, Kazuya? You know her?\Huh? No...\Who is that, even?\I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two. response:	Yeah, tell us.
context: What's up, Kazuya? You know her?\Huh? No...\Who is that, even?\I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two.\Yeah, tell us. response:	No... I think I mistook her for someone else.
context: What's up, Kazuya? You know her?\Huh? No...\Who is that, even?\I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two.\Yeah, tell us.\No... I think I mistook her for someone else. response:	What?!
context: What's up, Kazuya? You know her?\Huh? No...\Who is that, even?\I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two.\Yeah, tell us.\No... I think I mistook her for someone else.\What?! response:	The heck? Don't get our hopes up like that.
context: Huh? No...\Who is that, even?\I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two.\Yeah, tell us.\No... I think I mistook her for someone else.\What?!\The heck? Don't get our hopes up like that. response:	Any girl you see makes you think you've met her before?
context: Who is that, even?\I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two.\Yeah, tell us.\No... I think I mistook her for someone else.\What?!\The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before? response:	Virgins gonna virgin.
context: I think it's Ichi... Ichi-something... from the literature department.\So what's the story? Felt like something was up between you two.\Yeah, tell us.\No... I think I mistook her for someone else.\What?!\The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before?\Virgins gonna virgin. response:	Speak for yourself!
