context: Body improvement! response:	Fight on! Fight on! Fight on! Fight!
context: Body improvement!\Fight on! Fight on! Fight on! Fight! response:	Psychic powers don't make a man appealing.
context: Body improvement!\Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing. response:	And so, in order to change myself,
context: Body improvement!\Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing.\And so, in order to change myself, response:	I joined the Body Improvement Club.
context: Body improvement!\Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing.\And so, in order to change myself,\I joined the Body Improvement Club. response:	Body improvement!
context: Body improvement!\Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing.\And so, in order to change myself,\I joined the Body Improvement Club.\Body improvement! response:	Fight on! Fight on! Fight on!
context: Body improvement!\Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing.\And so, in order to change myself,\I joined the Body Improvement Club.\Body improvement!\Fight on! Fight on! Fight on! response:	Body improvement!
context: Body improvement!\Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing.\And so, in order to change myself,\I joined the Body Improvement Club.\Body improvement!\Fight on! Fight on! Fight on!\Body improvement! response:	Fight... on... Fight... on...
context: Fight on! Fight on! Fight on! Fight!\Psychic powers don't make a man appealing.\And so, in order to change myself,\I joined the Body Improvement Club.\Body improvement!\Fight on! Fight on! Fight on!\Body improvement!\Fight... on... Fight... on... response:	This isn't good.
context: Psychic powers don't make a man appealing.\And so, in order to change myself,\I joined the Body Improvement Club.\Body improvement!\Fight on! Fight on! Fight on!\Body improvement!\Fight... on... Fight... on...\This isn't good. response:	He must be anemic.
context: And so, in order to change myself,\I joined the Body Improvement Club.\Body improvement!\Fight on! Fight on! Fight on!\Body improvement!\Fight... on... Fight... on...\This isn't good.\He must be anemic. response:	Sh-Showwy...
context: I joined the Body Improvement Club.\Body improvement!\Fight on! Fight on! Fight on!\Body improvement!\Fight... on... Fight... on...\This isn't good.\He must be anemic.\Sh-Showwy... response:	Mob's Stamina: 0
context: Body improvement!\Fight on! Fight on! Fight on!\Body improvement!\Fight... on... Fight... on...\This isn't good.\He must be anemic.\Sh-Showwy...\Mob's Stamina: 0 response:	Mob Psycho 100
context: Fight on! Fight on! Fight on!\Body improvement!\Fight... on... Fight... on...\This isn't good.\He must be anemic.\Sh-Showwy...\Mob's Stamina: 0\Mob Psycho 100 response:	There's definitely something wrong with him.
context: Body improvement!\Fight... on... Fight... on...\This isn't good.\He must be anemic.\Sh-Showwy...\Mob's Stamina: 0\Mob Psycho 100\There's definitely something wrong with him. response:	Who would choose the Body Improvement Club in that situation?
context: Fight... on... Fight... on...\This isn't good.\He must be anemic.\Sh-Showwy...\Mob's Stamina: 0\Mob Psycho 100\There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation? response:	Come train! The Body Improvement Club wants you!
context: This isn't good.\He must be anemic.\Sh-Showwy...\Mob's Stamina: 0\Mob Psycho 100\There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you! response:	Well, let's not dwell on the past.
context: He must be anemic.\Sh-Showwy...\Mob's Stamina: 0\Mob Psycho 100\There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past. response:	Come on. It's your turn, President Kurata.
context: Sh-Showwy...\Mob's Stamina: 0\Mob Psycho 100\There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past.\Come on. It's your turn, President Kurata. response:	Hey.
context: Mob's Stamina: 0\Mob Psycho 100\There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past.\Come on. It's your turn, President Kurata.\Hey. response:	Body Improvement!! Lower Body Strengthening Month!!
context: Mob Psycho 100\There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past.\Come on. It's your turn, President Kurata.\Hey.\Body Improvement!! Lower Body Strengthening Month!! response:	Ah, Musashi-san!
context: There's definitely something wrong with him.\Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past.\Come on. It's your turn, President Kurata.\Hey.\Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san! response:	Thank you so much for letting us use this room!
context: Who would choose the Body Improvement Club in that situation?\Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past.\Come on. It's your turn, President Kurata.\Hey.\Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san!\Thank you so much for letting us use this room! response:	You don't have to grovel...
context: Come train! The Body Improvement Club wants you!\Well, let's not dwell on the past.\Come on. It's your turn, President Kurata.\Hey.\Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san!\Thank you so much for letting us use this room!\You don't have to grovel... response:	All we want the room for is to store our equipment.
context: Well, let's not dwell on the past.\Come on. It's your turn, President Kurata.\Hey.\Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san!\Thank you so much for letting us use this room!\You don't have to grovel...\All we want the room for is to store our equipment. response:	What's with him?
context: Come on. It's your turn, President Kurata.\Hey.\Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san!\Thank you so much for letting us use this room!\You don't have to grovel...\All we want the room for is to store our equipment.\What's with him? response:	Oh, Kageyama passed out.
context: Hey.\Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san!\Thank you so much for letting us use this room!\You don't have to grovel...\All we want the room for is to store our equipment.\What's with him?\Oh, Kageyama passed out. response:	Sorry, but could you watch over him?
context: Body Improvement!! Lower Body Strengthening Month!!\Ah, Musashi-san!\Thank you so much for letting us use this room!\You don't have to grovel...\All we want the room for is to store our equipment.\What's with him?\Oh, Kageyama passed out.\Sorry, but could you watch over him? response:	Seriously, dude.
context: Ah, Musashi-san!\Thank you so much for letting us use this room!\You don't have to grovel...\All we want the room for is to store our equipment.\What's with him?\Oh, Kageyama passed out.\Sorry, but could you watch over him?\Seriously, dude. response:	Why did you join the Body Improvement Club?
context: Thank you so much for letting us use this room!\You don't have to grovel...\All we want the room for is to store our equipment.\What's with him?\Oh, Kageyama passed out.\Sorry, but could you watch over him?\Seriously, dude.\Why did you join the Body Improvement Club? response:	I've never been the most athletic guy.
context: You don't have to grovel...\All we want the room for is to store our equipment.\What's with him?\Oh, Kageyama passed out.\Sorry, but could you watch over him?\Seriously, dude.\Why did you join the Body Improvement Club?\I've never been the most athletic guy. response:	And I'm a really slow runner.
context: All we want the room for is to store our equipment.\What's with him?\Oh, Kageyama passed out.\Sorry, but could you watch over him?\Seriously, dude.\Why did you join the Body Improvement Club?\I've never been the most athletic guy.\And I'm a really slow runner. response:	It's because I've relied on my psychic powers for everything.
context: What's with him?\Oh, Kageyama passed out.\Sorry, but could you watch over him?\Seriously, dude.\Why did you join the Body Improvement Club?\I've never been the most athletic guy.\And I'm a really slow runner.\It's because I've relied on my psychic powers for everything. response:	Huh? What kind of excuse is that?
context: Oh, Kageyama passed out.\Sorry, but could you watch over him?\Seriously, dude.\Why did you join the Body Improvement Club?\I've never been the most athletic guy.\And I'm a really slow runner.\It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that? response:	If you actually have psychic powers, I'd love to see them, jeez.
context: Sorry, but could you watch over him?\Seriously, dude.\Why did you join the Body Improvement Club?\I've never been the most athletic guy.\And I'm a really slow runner.\It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez. response:	Is that enough for you to believe me?
context: Seriously, dude.\Why did you join the Body Improvement Club?\I've never been the most athletic guy.\And I'm a really slow runner.\It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me? response:	This is heavy!
