context: Take the weretiger alive? response:	Take the weretiger alive?
context: Take the weretiger alive?\Take the weretiger alive? response:	What are you after?
context: Take the weretiger alive?\Take the weretiger alive?\What are you after? response:	What are you after?
context: Take the weretiger alive?\Take the weretiger alive?\What are you after?\What are you after? response:	My target has always been...
context: Take the weretiger alive?\Take the weretiger alive?\What are you after?\What are you after?\My target has always been... response:	My target has always been you and you alone, weretiger.
context: Take the weretiger alive?\Take the weretiger alive?\What are you after?\What are you after?\My target has always been...\My target has always been you and you alone, weretiger. response:	Your fellow agents lying there just got caught in the crossfire.
context: Take the weretiger alive?\Take the weretiger alive?\What are you after?\What are you after?\My target has always been...\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire. response:	This is because of me?
context: Take the weretiger alive?\Take the weretiger alive?\What are you after?\What are you after?\My target has always been...\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me? response:	Indeed.
context: Take the weretiger alive?\What are you after?\What are you after?\My target has always been...\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed. response:	That is your karma, weretiger.
context: What are you after?\What are you after?\My target has always been...\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger. response:	You will cause ill for everyone around you, just by being alive.
context: What are you after?\My target has always been...\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive. response:	My karma?
context: My target has always been...\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\My karma? response:	Rashoumon
context: My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\My karma?\Rashoumon response:	Rashoumon.
context: Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\My karma?\Rashoumon\Rashoumon. response:	Where... am I?
context: This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\My karma?\Rashoumon\Rashoumon.\Where... am I? response:	I see you've come to, brat.
context: Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\My karma?\Rashoumon\Rashoumon.\Where... am I?\I see you've come to, brat. response:	Kunikida... san?
