context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	Oh, hello.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\Oh, hello. response:	I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today. response:	A healthy soul,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul, response:	I've folded the toilet paper.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul,\I've folded the toilet paper. response:	Clean and perfect.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul,\I've folded the toilet paper.\Clean and perfect. response:	The picture frame is perfectly leveled with the ground.
context: Late Night Show\Bones 10th anniversary project\Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul,\I've folded the toilet paper.\Clean and perfect.\The picture frame is perfectly leveled with the ground. response:	Clean and perfect.
context: Bones 10th anniversary project\Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul,\I've folded the toilet paper.\Clean and perfect.\The picture frame is perfectly leveled with the ground.\Clean and perfect. response:	The lengths of the right and left candles are the same.
context: Oh, hello.\I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul,\I've folded the toilet paper.\Clean and perfect.\The picture frame is perfectly leveled with the ground.\Clean and perfect.\The lengths of the right and left candles are the same. response:	Clean and perfect.
context: I'm Shinigami-sama's son, Death the Kid, who'll be attending Shibusen starting today.\A healthy soul,\I've folded the toilet paper.\Clean and perfect.\The picture frame is perfectly leveled with the ground.\Clean and perfect.\The lengths of the right and left candles are the same.\Clean and perfect. response:	Perfect bilateral symmetry...
context: A healthy soul,\I've folded the toilet paper.\Clean and perfect.\The picture frame is perfectly leveled with the ground.\Clean and perfect.\The lengths of the right and left candles are the same.\Clean and perfect.\Perfect bilateral symmetry... response:	That is what I enjoy aesthetically.
context: I've folded the toilet paper.\Clean and perfect.\The picture frame is perfectly leveled with the ground.\Clean and perfect.\The lengths of the right and left candles are the same.\Clean and perfect.\Perfect bilateral symmetry...\That is what I enjoy aesthetically. response:	It's time for school.
context: Clean and perfect.\The picture frame is perfectly leveled with the ground.\Clean and perfect.\The lengths of the right and left candles are the same.\Clean and perfect.\Perfect bilateral symmetry...\That is what I enjoy aesthetically.\It's time for school. response:	We're leaving. Liz, Patty.
context: The picture frame is perfectly leveled with the ground.\Clean and perfect.\The lengths of the right and left candles are the same.\Clean and perfect.\Perfect bilateral symmetry...\That is what I enjoy aesthetically.\It's time for school.\We're leaving. Liz, Patty. response:	We're leaving. Liz, Patty.
context: Clean and perfect.\The lengths of the right and left candles are the same.\Clean and perfect.\Perfect bilateral symmetry...\That is what I enjoy aesthetically.\It's time for school.\We're leaving. Liz, Patty.\We're leaving. Liz, Patty. response:	Cut it out, Kid.
context: The lengths of the right and left candles are the same.\Clean and perfect.\Perfect bilateral symmetry...\That is what I enjoy aesthetically.\It's time for school.\We're leaving. Liz, Patty.\We're leaving. Liz, Patty.\Cut it out, Kid. response:	We're three hours late already.
context: Clean and perfect.\Perfect bilateral symmetry...\That is what I enjoy aesthetically.\It's time for school.\We're leaving. Liz, Patty.\We're leaving. Liz, Patty.\Cut it out, Kid.\We're three hours late already. response:	This is a free fansub. Not for sale or rent.
context: Perfect bilateral symmetry...\That is what I enjoy aesthetically.\It's time for school.\We're leaving. Liz, Patty.\We're leaving. Liz, Patty.\Cut it out, Kid.\We're three hours late already.\This is a free fansub. Not for sale or rent. response:	Today is Kid's first day of school.
context: That is what I enjoy aesthetically.\It's time for school.\We're leaving. Liz, Patty.\We're leaving. Liz, Patty.\Cut it out, Kid.\We're three hours late already.\This is a free fansub. Not for sale or rent.\Today is Kid's first day of school. response:	Will he be able to make a hundred friends?
context: It's time for school.\We're leaving. Liz, Patty.\We're leaving. Liz, Patty.\Cut it out, Kid.\We're three hours late already.\This is a free fansub. Not for sale or rent.\Today is Kid's first day of school.\Will he be able to make a hundred friends? response:	No, I don't think...
context: We're leaving. Liz, Patty.\We're leaving. Liz, Patty.\Cut it out, Kid.\We're three hours late already.\This is a free fansub. Not for sale or rent.\Today is Kid's first day of school.\Will he be able to make a hundred friends?\No, I don't think... response:	That a hundred is possible...
context: We're leaving. Liz, Patty.\Cut it out, Kid.\We're three hours late already.\This is a free fansub. Not for sale or rent.\Today is Kid's first day of school.\Will he be able to make a hundred friends?\No, I don't think...\That a hundred is possible... response:	And today's lesson is...
context: Cut it out, Kid.\We're three hours late already.\This is a free fansub. Not for sale or rent.\Today is Kid's first day of school.\Will he be able to make a hundred friends?\No, I don't think...\That a hundred is possible...\And today's lesson is... response:	Some sort of a dissection experiment.
context: We're three hours late already.\This is a free fansub. Not for sale or rent.\Today is Kid's first day of school.\Will he be able to make a hundred friends?\No, I don't think...\That a hundred is possible...\And today's lesson is...\Some sort of a dissection experiment. response:	Again?
context: This is a free fansub. Not for sale or rent.\Today is Kid's first day of school.\Will he be able to make a hundred friends?\No, I don't think...\That a hundred is possible...\And today's lesson is...\Some sort of a dissection experiment.\Again? response:	Excuse me...
context: Today is Kid's first day of school.\Will he be able to make a hundred friends?\No, I don't think...\That a hundred is possible...\And today's lesson is...\Some sort of a dissection experiment.\Again?\Excuse me... response:	But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...
context: Will he be able to make a hundred friends?\No, I don't think...\That a hundred is possible...\And today's lesson is...\Some sort of a dissection experiment.\Again?\Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons... response:	I'm telling you...
context: No, I don't think...\That a hundred is possible...\And today's lesson is...\Some sort of a dissection experiment.\Again?\Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you... response:	We'll be investigating something different from the usual frogs and mice today.
context: That a hundred is possible...\And today's lesson is...\Some sort of a dissection experiment.\Again?\Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you...\We'll be investigating something different from the usual frogs and mice today. response:	Tokiko-san, a souvenir of the natural world.
context: And today's lesson is...\Some sort of a dissection experiment.\Again?\Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you...\We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world. response:	A souvenir of the natural world?!
context: Some sort of a dissection experiment.\Again?\Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you...\We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?! response:	Excuse me...
context: Again?\Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you...\We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?!\Excuse me... response:	It'd be a problem if it goes extinct before I dissect it.
context: Excuse me...\But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you...\We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?!\Excuse me...\It'd be a problem if it goes extinct before I dissect it. response:	This guy's impossible! He's completely crazy...
context: But since Dr. Stein became our homeroom teacher, we've had nothing but dissection lessons...\I'm telling you...\We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?!\Excuse me...\It'd be a problem if it goes extinct before I dissect it.\This guy's impossible! He's completely crazy... response:	By the way, Soul and Black Star aren't present...
context: I'm telling you...\We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?!\Excuse me...\It'd be a problem if it goes extinct before I dissect it.\This guy's impossible! He's completely crazy...\By the way, Soul and Black Star aren't present... response:	Did something happen?
context: We'll be investigating something different from the usual frogs and mice today.\Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?!\Excuse me...\It'd be a problem if it goes extinct before I dissect it.\This guy's impossible! He's completely crazy...\By the way, Soul and Black Star aren't present...\Did something happen? response:	They're slacking off, as usual.
context: Tokiko-san, a souvenir of the natural world.\A souvenir of the natural world?!\Excuse me...\It'd be a problem if it goes extinct before I dissect it.\This guy's impossible! He's completely crazy...\By the way, Soul and Black Star aren't present...\Did something happen?\They're slacking off, as usual. response:	Really, that combo of stupidity...
context: A souvenir of the natural world?!\Excuse me...\It'd be a problem if it goes extinct before I dissect it.\This guy's impossible! He's completely crazy...\By the way, Soul and Black Star aren't present...\Did something happen?\They're slacking off, as usual.\Really, that combo of stupidity... response:	Sorry, Tsubaki, but I'll be Soul's Technician from now on.
context: Excuse me...\It'd be a problem if it goes extinct before I dissect it.\This guy's impossible! He's completely crazy...\By the way, Soul and Black Star aren't present...\Did something happen?\They're slacking off, as usual.\Really, that combo of stupidity...\Sorry, Tsubaki, but I'll be Soul's Technician from now on. response:	If they want to be together so badly, they might as well become a team.
