context: W- why do we have to wait for Kakarrot!? response:	Because he is a traitor to us Saiyans.
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans. response:	We have to punish traitors. We're going to kill his son and his friends...
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends... response:	After that, we're going to deal with him, nice and slow.
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow. response:	We're going to make him aware of just how powerless he is, as he writhes in agony.
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony. response:	And today, after another three or four hours...
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours... response:	I get it! So that's why! That sounds great!
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours...\I get it! So that's why! That sounds great! response:	That's all assuming that he gets here in the next three hours.
context: W- why do we have to wait for Kakarrot!?\Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours...\I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours. response:	I'll leave Kakarrot to you, but please let me take those other three!
context: Because he is a traitor to us Saiyans.\We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours...\I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three! response:	Do as you like. However,
context: We have to punish traitors. We're going to kill his son and his friends...\After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours...\I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However, response:	do it after we get the Namekian to tell us about the Dragon Balls.
context: After that, we're going to deal with him, nice and slow.\We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours...\I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls. response:	I sure hope that Kakarrot does come!
context: We're going to make him aware of just how powerless he is, as he writhes in agony.\And today, after another three or four hours...\I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come! response:	Kuririn- san...
context: And today, after another three or four hours...\I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come!\Kuririn- san... response:	Dammit, what are you doing, Goku? Has he really come back to life?
context: I get it! So that's why! That sounds great!\That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come!\Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life? response:	Say, at this point, what if we ran away?
context: That's all assuming that he gets here in the next three hours.\I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come!\Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away? response:	There's no way we can win. This is no time to be stubborn!
context: I'll leave Kakarrot to you, but please let me take those other three!\Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come!\Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn! response:	Fool! They plan on wiping out all of humanity in any case.
context: Do as you like. However,\do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come!\Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case. response:	Even if you run away now, you'll end up the same.
